ShaShiYaYi 	parece que ya está muy lejos de Kako	Moabiresronki Kakonko kikin ani peixobo irabeke
ShaShiYaYi 	Dicen que se llevó su mitad y su mitad	Kakinronki boa iki jawen chikaro itan mabocho
ShaShiYaYi 	les gusta esta comida a orillas del mar	Ani paro kexa jabaon kenn riki nato piti
ShaShiYaYi 	y él se fue y le preguntó: « ¿Qué es esto que me dices? Estoy seguro de que vas a tener muchos pescaditos.	Jain kaxonki bonsiman yokata iki - Jochipapa eara mia shinan joke, mi jan yapa biti ichaya iketian, min mishkitshoko shinan- akin
ShaShiYaYi 	dile a Reshin que haga las preguntas	Min ini Reshin Benxo Yokabo yoiwe
ShaShiYaYi 	las que tenían canastas estaban pintadas de negro y las quebradas de negro	Kentibora keneoma ikatiai ikaxbi nakomeyares, jawen napo wisoshaman
ShaShiYaYi 	con esto el padre dice a su marido	Papa yoyo ikai joiboribi ja ainbo baken jawen bene yoiai
ShaShiYaYi 	el padre de uno de ellos dijo	Jaakayaronki ichinka jonin papan meraa iki
ShaShiYaYi 	el padre levanta la voz y la pone al este	Jaskaaxonra xewakin timaaboti itan esteabokin
ShaShiYaYi 	¿Cómo se origina el nacimiento?	¿Jawekeskarainoax kené pikotarin?
ShaShiYaYi 	estos hombres se han dispersado por las montañas	Nato jonibo riki keya manan main kikini janbiskanabo
ShaShiYaYi 	Cuando amaneció, vio que se hallaba muy mal, y que no podía pasar desapercibido, sino que tenía unos treinta y tres años.	Moa nete xabaketianki ika iki naman paketi, jainxon oinabironki ika iki, kikinshaman moa onantima janshaman kati, jaabiki aka iki bari oinkin, jainxonki shinana iki, bari kaikiri jawen xobo, jaaki oinparia iki jaa bari keyatai, ikaxbironkimika iki jawen shinan moa jakoma, mapon chexakin, jaaki aka iki nishi jeshoko xatetaanan xeakin, moakayaki 38 jawekiakasi, moa rabe nete jawekiama ikax
ShaShiYaYi 	les daré todas las cosas por el bien de sus obras	Kenaxonra en jato pakexbo meniai jaton bekeboribi akinti kopi
ShaShiYaYi 	la mujer se preparaba para la boda pensando en su cuerpo	Ja namawana shinantaanan yamekiri ainbaon jawen sawetiain akatiai
ShaShiYaYi 	su ancho es de 60 metros	Jawen naxba riki 60 mitoro
ShaShiYaYi 	el Inca dijo que los demonios estaban por todos lados y que cuando los demonios no sabían que jesús estaba haciendo esto el Inca tomó un poco de leña y lo ató con un cuchillo	Moatiaronki shipibobaon yomerati onanyamaa ipaonike, papa Inkan anike, komari risbikanshoko "mawis" xeta bitaanan ja komarinin nexakin
ShaShiYaYi 	cuál de los dos te ha gustado más	Jaweratoboki min kenshaman ika ja ribojanxon sikawe
ShaShiYaYi 	estos hombres son amantes del valle y de isán	Nato jonibo iki wanin itan isanman keenbo
ShaShiYaYi 	haz que tomen el plátano shero y lo miren	Paranta shero biamawe satan oinxon biwe
ShaShiYaYi 	¿Conocen ustedes el mundo para reconstruirlo después de haber capturado al arco iris?	¿Matonki onana mishkikin Konin ewa biax ja nete yopati?
ShaShiYaYi 	no te des por vencido ni te des por vencido	Mia jaskati ika itan mia jaskati iama ashtawe
ShaShiYaYi 	Ahora bien, como a aquellos[ hombres] no se les permitía tocar a la higuera y a los árboles frondosos, no se les permitía tocarlos.	Ramatiankayara jiwi aniboyabi mebiabo keyobotankanaitian, moa ochókana iki, raketi
ShaShiYaYi 	ordena la mitad de los cuerpos de estos	C Nato yorabo benkexmatia nakoshki axonpakewe
ShaShiYaYi 	Rona es una mujer rubia y aquimista	Pakan Rona riki raya itan akimis ainbo
ShaShiYaYi 	comí un pedazo de carne	pakex jatiobires ikainoa en kokoke
ShaShiYaYi 	y sopló sobre una roca inmensa con un resplandor tan grande que hasta las profundidades de la tierra no podían contener el rocío y la lluvia era tan intensa que ya era muy tarde.	Jainoaxki neeta iki westiora ani xonakan, jawen poyan techabo icha iketian, jainxon ninkatabi kikinshaman oi beimabi onsati tirin iki, jaabiki ika iki jenejenepaketi, ikaxbiki ika moa kikinshaman yantan
ShaShiYaYi 	el pene está debajo de la serpiente de sardinas y en medio de las garzas	Penpen riki bawa rono naman, maxó manaon, manxan betan tsonkíro xaran
ShaShiYaYi 	Lo que se entierra es despreciable; lo que se entierra es despreciable.	Neskara pianra yomerakanai yawa, jono, chaxo, awa
ShaShiYaYi 	no pierdan la vida ni se la pierdan unos a otros; al contrario, crezcan en el Señor y sean hijos de su padre	anon akanwe, jaa maxkoshoko reteyamakanwe jaabo ibanon anii non wetsabatian jawen bakebo bii noa jotira jake akin
ShaShiYaYi 	¡Mira a mi hijo!	¡En atsa mexabanon nokon bake ea oinxontaniwe!
ShaShiYaYi 	dicen que al hombre lo colgaban de la manta	Akironki ikatikanai taxbameran tonkon tonkon iakebaini
ShaShiYaYi 	la mujer que asoma para el banquete del banquete le dice a su marido	Jan jawekiati mapo anoxon bii kakaskinra akai ainbaon jawen bene bimai kati yoikin
ShaShiYaYi 	muéstrales diferentes hojas de plantas y hazles preguntas en la mano: ¿Cómo se ve el piñón?	Mesko rao peibo jato oimaxon meko yokabo awe: ¿Jawekeskara jisarin pionis?
ShaShiYaYi 	jesús le dijo entonces en su rodilla que le diera un poco de pan y luego le dio un poco de pan y todos los demás que había en él, y se sentó debajo del árbol	Jainxonronki aka iki yosin jawen rome tian akin, tian ataananki jatokiriakin xon akin, japekao jaabe kaabo jatibi jato xon apakekin, jainoaxki ikanke jaa jiwi namanbipari yakabaini
ShaShiYaYi 	los de Kokamari son mercaderes	Kokama Kokamiria jonibora Ini Yaraki yoimekanai mecha jonibo ikax
ShaShiYaYi 	en el lugar correcto escribe una dispersión, dibuja y dibuja en ella	Chite ikain westiora janbirokoti wishawe, tsaka itan ribojawe jaki min akaki
ShaShiYaYi 	debemos tener muy en cuenta la escritura que escribió	Jaskaribi non onanti jake tsaka aka pekao ani wishakan ati
ShaShiYaYi 	Ahora bien, hay entre nosotros tres mil hombres, de los cuales hay dos mil cinco mil.	Ramabira jake kimisha pacha rarebobira, jainoax rabé waranka pichika pacha jonibobira
ShaShiYaYi 	escribe en un papelote lo que dices y también lo que dice la escritura	Yoyo axon ani tsaka wishawe jaskaribiakin tsaka awe wisha keyotain
ShaShiYaYi 	¿A quién quieres escribir?	¿Tsoaboki min wishaxonkasai?
ShaShiYaYi 	en qué lugar de la mesa están cantando y escuchando	Jaskarainko mewebo ikanara yoiai itan ninkatai
ShaShiYaYi 	el que edificó la casa está lleno de leña	Jara karoati itan jan xoboati jakon iki
ShaShiYaYi 	¿Qué son los animales que todos recuerdan?	¿Jawe jawekiborin yoinabo ixonki ashaninkabaon shinanai?
ShaShiYaYi 	Jane: coge la resina de 147 Pionis y explícale al profesor cómo debe realizar el trabajo con los alumnos antes de visitar a una anciana	Jane: 147 Pionis bepon bikin jaskakin yokawe Axeamisnin jaskaxon bakebobetan tee ati yoiya Westiora yoxanbetan yoyo iwe meranoxon
ShaShiYaYi 	no nos queda más remedio que dar	Jakopira jaweki meniax noa manayamai jaweshoko menikantin
ShaShiYaYi 	¿Qué podemos hacer con la cabeza?	¿Jaweboki non mapokan atipana?
ShaShiYaYi 	¿Está debajo o debajo del barro?	¿Bebonkiai iamax namankiai ja mapo tonkobo ixon?
ShaShiYaYi 	¿Cuánto queda de fruta en la canasta?	¿Jaweti pochareski tasain baneta?
ShaShiYaYi 	¿Qué debería haber hecho?	¿Jaweki ikamein iti iki?
ShaShiYaYi 	escribir?	wishati iki?
ShaShiYaYi 	el niño prepara la leche de su madre	Bakenra jawen titan xoma akai
ShaShiYaYi 	¿Qué cosas voy a hacer si mi yuca está arrancada?	¿Jaweboki en seneanti iki nokon atsa taponon ixon?
ShaShiYaYi 	una vez que se haya atado la edad de cada año entrégales a los niños sus tamales y córtelos	Moa wata pekao bakebo jaton taxomabo menixon mishkin petsokinwe
ShaShiYaYi 	por eso te quiero mucho	Jakopira en mia rama akonbireskin noiai
ShaShiYaYi 	explica los dibujos	Ribojobo oinax yoyo iwe
ShaShiYaYi 	¿Qué cosas hay en el agua negra?	¿Jaweboki wiso jenemeran ja?
ShaShiYaYi 	luego les explican cómo deben realizar su trabajo para que puedan seguir conversando con sus maestros	Jainxon jato yoiai jaskaaxon jaton tee akabo yoi pikokanti, jaskatax jabe axeaibobetan yoyo ikanti kopi
ShaShiYaYi 	recorta los dibujos y pégalos	Jati ribojo oinxon xatebo sikawe
ShaShiYaYi 	¿De dónde los sacan?, ¿cómo les va?	¿Senpaki jaweranoa bikanai?, ¿jawekeska axon?
ShaShiYaYi 	Un poco de levadura fermenta toda la masa.	Jakoma yoshinbo nokoxon, inobaon itan sinpibaon pikatiai
ShaShiYaYi 	en un chacra sembramos estos alimentos: diferentes tipos de plátano, dulce, dulce o maduro	Westiora wainko ikainra non banati iki nato yoabo: meskokeska paranta, poa, sio, kari iamax kankan
ShaShiYaYi 	A ellos les suplicaban que les permitiera tocar siquiera el borde de su manto, y así se lo daban a quienes lo tocaban.	Jaskara mesko jawekishokobo jato menikana ikatikanai, paka ayananbi chititi
ShaShiYaYi 	Estos son los que van camino a la destrucción: una nube que los cubre con su sombra.	Nato joniboki iki kenkinmabi jotiabo, wetsabaon akai koin xeteai ikax
ShaShiYaYi 	Y el nombre de la ciudad es Aquél que tiene que ver con la promesa de su vida eterna.	Neskatax jati jawekinin jane ika iki ayne, ja joi senen akanai ikax
ShaShiYaYi 	el lugar de la excavación, el lugar de la ceniza, el lugar de la ceniza y el lugar de la ceniza;	Arakanai peota ocho kax iti, mapo ati xobo, toro xobo itan kosina
ShaShiYaYi 	Ya estás acostado, y has quedado sano! ¡Ya has quedado sano!	Chanshoko, mia moa oxai iki, jatian xawaman jen aka iki, moara ea tanti nokon naa ikai itinke
ShaShiYaYi 	me fui a la ciudad de Mai Yoshian	Jaskatax ea kaa iki Mai Yoshian jeman
ShaShiYaYi 	estos son los que se han dispersado por las montañas	Nato jonibo riki keya manan main kikini janbiskana jonibo
ShaShiYaYi 	En una bandeja hay un huevo de 100 patas, ¿cómo es que la caña de azúcar es tan grande como las 9?	Westiora bantijaninra jake 100 ipon bachi napokana, ¿jaweti ipon bachiki ja 9 bantija jatio anibires ikain?
ShaShiYaYi 	dices que los piojos de los pichones te quitarán la vida	Pichika minotoboronki min rome jotia min jati nete bichinai
ShaShiYaYi 	ahora escribe cómo se recoge el huevo de cacahuate y el niño	Rama wishawe jaskaaxon maxan bachi biti betan wapawapa bake biti
ShaShiYaYi 	cantando de esta manera: Tú eres nuestro padre; sálvate a ti mismo y a tu descendencia	Neskaakinra apaokanike bewaxonkin: Mia riki non papa, koshi shinanbeiranwen Shinantaanan min rawi kopiwe Min bakebaonra mia yoiai akin
ShaShiYaYi 	haz el trabajo mirando los peces que están en el dibujo: viendo los peces que no tienen escamas, coge sus escamas y pégalos en las orillas de los peces, luego dibuja los peces que no tienen escamas	Yapabo ribojana oinxon tee awe: yapa xakaoma oinxon, rama jawen xaka bixon raxkaya yapa ikainko rao awe, jainxon raxakaoma yapa sikawe
ShaShiYaYi 	dicen que aquel hombre era jesús el que estaba parado ahí	Ja jonironki ikatiai ianman yomerai chankaresa
ShaShiYaYi 	comencemos a hablar	Non shinanabo yoikin peoti
ShaShiYaYi 	Estos son los querubines que unen a sus hijos desde la mañana hasta la noche,	Natobo iki ja esebo: Nete xabati ochoma, rekeni atapa keotaitian, oxa ratexon jaton bakebo nashiti rankatikanai
ShaShiYaYi 	¿Para construir una casa así?	¿Jaskaakin pei xobo axon xewati?
ShaShiYaYi 	mamá se pone triste cuando el padre va a la fiesta	Titara papa reboki kaketian onis onisai
ShaShiYaYi 	pregúntale a qué se refiere	Yoirai jawekeskaborin jain yoyo ikaibo ixon
ShaShiYaYi 	abraham tomó el manto de jesús	Moatianra akatikanai jaa chopabi timakin petokin
ShaShiYaYi 	¿Qué cosas son visibles para nosotros?	¿Jawe jawekiborin nonabi oinkanabo iki?
ShaShiYaYi 	vimos el mango y el plátano	Mankoa betan paranta non oinbekona
ShaShiYaYi 	quiero explicar aquí cuántos son	Nenora en yoikasai jawetires
ShaShiYaYi 	por qué debemos pedir permiso a los hombres de nuestras comunidades para que se acerquen o llamen a las aulas para que no nos conozcan y así puedan curarse después de sembrar la yuca	Jaskaribiakin non yokati jake tsoaborin non jemankoniabo raya jonibo ixon, benabainxon iamax axeti xobonko kenamaxon, noa onamatikopi, jaskatax raometi raya inox, jainxonribi non yokati iki atsa bana pekao samati itan meketibo
ShaShiYaYi 	los primeros hijos de dios se juntan con sus parientes cercanos	Moatian reken shipibobora ipaonike jaton ochoma rarebo betan tsinkitax jaa jonibo
ShaShiYaYi 	toma el nombre de la familia de los jebuseos	Jemabo Yoabo Jonibo Rama janepakeabinoa westiora katowe
ShaShiYaYi 	jesús lo dejó allí	Jaskaaxonki aka iki jain potabainkin
ShaShiYaYi 	contar bien para que no les falte comida	Yoa menikin jato maxkamanaketian jakon akin toponti
ShaShiYaYi 	¿Por qué leo este libro?	¿Jaweatiki nato wisha en yoyo akai?
ShaShiYaYi 	el hombre se fue rápidamente a su casa	Jainoaxki joni joa iki kikin ishton jawen xobonko
ShaShiYaYi 	podemos volver a plantearnos cómo será en el pasado	Jainxon non yokaribiti atipanke, moatianki noa jawekeskabo japaokani ixon
ShaShiYaYi 	al llegar a tu casa estas cosas tu padre o tu madre	Xobon kaxon nato jawekibo min papa iamax
ShaShiYaYi 	expliquen lo que dicen los niños	Bakebaon yoiaibo nato chitemeran onantiakin joyonkanwe
ShaShiYaYi 	cómo podemos darles de comer los alimentos	Jawekeskaaxonboki yoabo non jato jawekiamati iki
ShaShiYaYi 	llamaron a sus familiares y se los entregaron	Bexonra jaton kaibobo kenaxon pakexbo menipakekanke
ShaShiYaYi 	Era como la hora sexta en que el gallo cantó y dijo: « ¡Miren! Su voz se hizo como el rugido de un gallo, y salió como el rugido de un gallo. » Era como la voz de un gallo que caminaba sobre la tierra sin poder moverse.	Jaa yantanki ika iki moa rome jotijotiwanaxki rakati jawen bachin, Jainxon ninkataronki ika iki riroki keoti Jii joashi, jii joashi iki, jaa kaimito joshin iwanainoax, jatianki joni ika iki jakoma shinani rakata, jaabiki jonin ninkaresa iki
ShaShiYaYi 	haz también un cofre de madera conocido como el arca del pacto,	Topona tsama: Ronanra 43 chopa kewe ake
ShaShiYaYi 	Tikon.- La pequeña dentadura es roja	Ti Tikon.- Isa maxkotani xeta joshinshoko,rabebo jishti
ShaShiYaYi 	era uno de ellos	Tsonkíroki joni iká iki
ShaShiYaYi 	la joven siguió las instrucciones de su madre	Jaskaakin jawen titan yoia xontakonin jeneyamaa iki
ShaShiYaYi 	al verlo con sus propios ojos y con los de otros escribe con más detenimiento	Moa atipanabo Jawen onanainxonbi itan wetsabaon aka oinxon mesko kirikabo jakonshamaankin wishai
ShaShiYaYi 	¿Qué aspecto tenías?	¿Jawe jawekinin jisa yoiaki min ninkata?
ShaShiYaYi 	ordenamos y escuchamos que se hagan diferentes plantas	Mesko waibo atira non yoiai itan ninkatai
ShaShiYaYi 	llamaron a uno de los discípulos y le pidieron que les preparara el masato y lo celebraran mañana	Jainxonki mari joni kenaxon yoikana iki jato atsa xeatiaxonti bakish nete mananxawe kananxon rarokin xeati
ShaShiYaYi 	este año nuestros rebaños no se han reubicado en muchos	Ja pekao yoiai: neskaakin non yoinabo akara wetsa nato baritian moa ichashaman bachiayamakanke
ShaShiYaYi 	lo quemaron todo	Senen axon menokana iki
ShaShiYaYi 	se fue y lo recogió de nuevo	Kaxon biaxki joribaa iki
ShaShiYaYi 	pero Jesús le dijo: « ¡No lo permitas! ¡Claro que no!	Jainxonki yoia iki Chaikoni minra ea atipayamake, moa jenenon awe akin
ShaShiYaYi 	los peces se amontonan en sus lugares	Yapabora jaton itinkobo tsamakanai
ShaShiYaYi 	esto lo escribió nuestro antepasado	Nawabaon onanti kopi wishaa riki nato
ShaShiYaYi 	al amanecer o al atardecer	Yomerakatikanai nete xabataitian iamax yantanxokores
ShaShiYaYi 	ahora los niños deben aprender a burlarse de dios	Ramatian bakebora shirobewa axeti jake
ShaShiYaYi 	mi mamá hace el masato y mi hermana se alegra de la alegría	Nokon titanra atsa xeati akai, nokon poi sontaro joa rarokin xeati
ShaShiYaYi 	después se vistió	Jaskaatanan koshona iki
ShaShiYaYi 	también debe tener en cuenta la cantidad de animales que crían y la cantidad de animales que crían	Itanribi jaskaaxon jain yoinabo nami jati kopi, itanribi jainoa yoinabo nami ati jati kopi
ShaShiYaYi 	mi padre ya tiene una semilla de plátano en su chacra	Epanra jawen wainko paranta banakin moa nabesa iki
ShaShiYaYi 	y cuando la madre de ustedes levantó los pescados, los recogió y los alimentó con toda su fuerza	Kaketianki aka iki, jawen titan biboanxonki yapabo potepakexon xoikin jatiribibo kobiankin
ShaShiYaYi 	se van a quedar con mucho	Moa icha biax ikanai baneti
ShaShiYaYi 	¿Cuándo le pregunté?	¿Jawetian akinki en yokata?
ShaShiYaYi 	conversemos sobre la superficie de la tierra	Mapo bikin peokaniki yoyo inon ikanwe
ShaShiYaYi 	¿Cómo se puede construir una casa para cada uno?	¿Jawekeskara jiwiboki xoboati iki?
ShaShiYaYi 	Llama a cada uno lo que le dice y dile	Jaki yoyo ikain jane: Yokabo yoiatonin jane: Yokabo
ShaShiYaYi 	coordina las dos cosas	Rabe rabexonbo yoyo akin jakon akin awe
ShaShiYaYi 	al ver esto se han puesto de acuerdo para no volver a sembrar	Jaskarabo winotai oinxon rama shinankanai moa wai atima
ShaShiYaYi 	entonces le dijeron al muchacho que estaba muerto lo agarraron y lo enterraron a orillas del lago	Jaskaraton notsikinronki akana iki ja bake yatanxon jiriabi manomeran ian kexa miinkin
ShaShiYaYi 	¿Dónde estarán?	¿Jaweranomein ikanai?
ShaShiYaYi 	papá se cura con su res	Papanra jawen tsewe raonai
ShaShiYaYi 	ven a la canasta de mi sobrino y ponle su dedo encima para que se haga una corona de espinas y se haga una corona con mi dedo	(Rabeti iti) Niwe tanpora Nokon niwe tanpora Axonyontaanan, jawen inin kanora kanoatoninra oka reshin kaini, kaini okabo soi paoti, nokon inin paoti paoyontanan jeee paoyontaanan enki kanoabanon
ShaShiYaYi 	lee la escritura que conoces y escríbela en el libro	Wisha yoyo axon min onanabo, chitemeran wishawe
ShaShiYaYi 	Digan qué personas están cultivando la chacra.	Yoyo inon ikanwe ¿Jaweti jonibomein wai oroi itinke?
ShaShiYaYi 	Ahora bien, en el primer[ compartimiento de la] tienda había cuatro salas; en el segundo[ compartimiento de la] tienda había cuatro personas.	Pekon Sinanra 4 xobo anishamanbo apakeke, 1 xobonra jakanke 4 jonibo
ShaShiYaYi 	el que habla en nombre de dios habla en nombre de dios	Jaa Koshinra tsoapariki yoyo ikai ixon jato joiai
ShaShiYaYi 	Debe tener una vara de medir para medir, con una vara de medir y con la vara de medir.	Atsa banakin neskara taxo iti jake: xate nenkeiramabo, xoxoti toxpi onantibiresbo, benashamanbo itan tanomabo
ShaShiYaYi 	este es uno de los libros más antiguos que tenían que escribirse	Ja riki jaton joi moatianbires wishatiainbo winó winókirana kopí
ShaShiYaYi 	si alguien habla en una lengua escríbelo en el libro	Wetsa join yoyo ikaibo jain ikana onanxon ja chitemeran wishawe
ShaShiYaYi 	ellos querían saber si podían hablar como un hombre enfermo	Jabaon onankasa iki westíora isoki joni ikai keskati yoyo iti atipana ixon
ShaShiYaYi 	que tengas miedo y no te desanimes	Jakonmanin amis, jaki raketi
ShaShiYaYi 	en nuestro libro se puede leer Toponti Toponti. Se pueden compilar en 5 y 6 cursos para los alumnos y en 6 estudios para los estudiantes	Non atinbiri Toponti Toponti Toponti Ja axetibo Moa atipanabo 5in itan 6in axeaibaon ati 5in axeaibaon ati 6in axeaibaon ati Ichabo, nenkebo itan ani jawekibo shinaman toponti axeai
ShaShiYaYi 	Levantaba las manos para que no se rompiera el hielo y así evitara que se le agripara el pan.	Kaxonki jakonshamankin tsakati bixon jainmashaman ninia iki, payari tsekenaketian
ShaShiYaYi 	por qué están discutiendo	Imaa yoikin tanakanai
ShaShiYaYi 	Ahora bien, en cuanto a las cosas que se consideran, este es el punto principal:	Non onantibo: Joibo itipanke taponres iamax tapon ikaxbi jawen tekiyabo
ShaShiYaYi 	al oír esto el hombre se fue tras él	Ja ninkaxon jonin chibanai jabe kaa jonira ibirai ixon
ShaShiYaYi 	¿Cómo se llama el anciano?	¿Jawekeskara yosi yoiarin?
ShaShiYaYi 	por eso él no se atreve a hablar mal de los hombres	Jakopironki joni yoi yoyo irestima, jakomakin shinankanaketian
ShaShiYaYi 	dicen los hijos de dios que las muchachas bonitas del mundo son	Ja yosin bababoronki ipaonike metsashoko xontakobo
ShaShiYaYi 	¿Saben ustedes cuántos otros alimentos se pueden recoger?	¿Matonki onana jawetianboki yoabo biti iki?
ShaShiYaYi 	el capítulo 14 dice que conocen a los animales	Shipibo 14 Kaxon yoina onanabo yoiai
ShaShiYaYi 	mira con qué letras tan grandes has comenzado y con qué letras tan grandes has escrito	Mibe axeaibetan oinwe, ani wishakanki min peoa ixon itan yoia joi wisha keyotiainki wisha tsosa min aka ixon
ShaShiYaYi 	Del mismo modo, hasta el día de hoy, toda familia humana ha quedado fuera del campamento.	Jaskaribira jake Pano jonibo rama kamanbi raekanamabo, jaton keemanbiribi nii meran jaa jonibo
ShaShiYaYi 	las mujeres deben traer la yuca	Ainbobaonra bekanti jake atsaxeati
ShaShiYaYi 	y le rogó que le diera un poco más de tiempo. Ella le dijo que le diera un poco más de tiempo, y que le diera un poco de tiempo para que pudiera atenderlo.	Jaa yanatnki aka iki oxe neten yakaxon rome jotianan yoikin, Akonkin aka ibirai non bake ainbo yoyo akin, jatian nokon bake sontakoribi mion kenkin noa yoia iki, jaskarainra non ranwanke mia biti, mia jakon shinanya iketian akinki akana iki
ShaShiYaYi 	por qué tienes tantos huevos	Jaskaaxon icha bachi min biti kopi
ShaShiYaYi 	en nuestra comunidad se preparan diferentes alimentos	Non jemanbora mesko akin axon yoabo benxoakanai
ShaShiYaYi 	coge las hojas de los dibujos y pégalas en la boca para que las peinen al barrer hasta que se seque una semana	Jaskaribiakin pei bixon non petsosti iki jaskaaxon non pepipanan akin tipinai bariankin westiora simana choshiai kaman
ShaShiYaYi 	y empezaron a vestirse de lino fino	Iikin mesko akin itan mesko chopabaon sereakin, metsa akinbo peokana iki
ShaShiYaYi 	mientras yo estaba con ustedes escuchando lo que me decían	Ebe exeaibo yoyo ikanaitianra en netexonshaman ninkake
ShaShiYaYi 	el niño se sentó en el árbol a lavar los pescados con sus cabellos y las bolitas y las pipas	Jainxon Korin Niwenbiribi jiwinko peyakaxon tekenai yapabo chachikin, moxobaton, boe itan picha
ShaShiYaYi 	para saber cuándo podremos salvarnos	Jaska axon non onanti kopi, jawetianboki non mishkiti atipana ixon
ShaShiYaYi 	Same Bawan Kate y Soi Sani Xetan ¿qué dijiste al respecto?	Soi Sani Xetan Same Bawan Kate y ¿Jaweshaman yoiyaki ika min yoyo akainko?
ShaShiYaYi 	¿Qué sigue después?	¿Jawenki ja pekao chibanai?
ShaShiYaYi 	saqué un buen pescador del aula y lo saqué	Metsa Katera shimon tsekai Axeti xobokoniax pikoxonra en kake
ShaShiYaYi 	jesús estaba hablando al jojo y éste le decía jojo le decía jojo y jojo le decía jojo y jojo le contestaba jojo y jojo le contestaba jojo y jojo le contestaba jojo y jojo le contestaba	Oinwe: JASKAAKI WISHAT JASKAAKI WISHATIM yoyo akai yoyo ixonra jen aká iki jojo ikai yoyoakai yoyoixonra jenaka iki jojoikai sion sion ianabi sion sioianabi Jatian Xawan Pikon jen aká iki
ShaShiYaYi 	qué hacer	Jaskaakin ati
ShaShiYaYi 	debemos escribir un texto distinto de los jefes de jerusalén	Jemabaon jane jaskaakin koshibaon kirikain wishaakeskaakin non wishati jake
ShaShiYaYi 	Wesna trajo un huingo que tenía en la cabeza	Wesnanra, jawen benen nabiro axonatonin nane beke
ShaShiYaYi 	¿Cómo se recogen los peces rojos en la pesca?	¿Jawekeska mishkitinin bitirin xetaya yapabo?
ShaShiYaYi 	por eso no lo dejaron poner diseño	Jakopira jan ayamakanai keneakin
ShaShiYaYi 	el hombre se fue para ver quién era el que estaba allí	Jainxon iki ninkataronki ichairari chachinon bekanwe- joni kaa iki tsoarin jain ixon oini
ShaShiYaYi 	este es el padre que vio la flor de imiria	Neskara: Papanra nawa Imirian joa oinyatanke
ShaShiYaYi 	¿Por qué los llaman?	¿Jawekopi jato kenamakanai?
ShaShiYaYi 	¿Qué pasa?	¿Jawe ikiai?
ShaShiYaYi 	debemos ayudar a nuestro prójimo para que su casa se destruya pronto	Non kaibora non akinti jake jawen yami xobo ishton keyoti kopi
ShaShiYaYi 	esa misma capa roja que tiene el hijo bajista va a la fiesta de la fiesta	Jaskaribi joshin tari komo komo bashaka atiya ipaonike jaya ani xeatiain kaati
ShaShiYaYi 	cómo es	Jawekeska jisarin ixon
ShaShiYaYi 	que se apresuró a dar a luz, y tomó su camilla y se sentó sobre la mesa, y oró diciendo: “ ¡Vamos, hombre de las tinieblas!	Joketianki aka iki ishton jato ainbonin jawekiamakin, iki -Oa atsapoto yakata jawekiaymakawe, jaara ja wiso jonin xetebainke, noara jawekeskanake- akin
ShaShiYaYi 	Te parece bien no haber pescado hoy en día,	¿Min shinanki jakon iki moa ramatian pian yomerayamakanaitian?
ShaShiYaYi 	¿Qué tipos de cuidadores son nuestros primeros alumnos?	¿Niibo jawekeskaakin koiranaiboki ipaoni non reken shipibobo?
ShaShiYaYi 	¿Qué tipo de letra debemos leer?	¿Jawekeska wishaki non yoyo akai?
ShaShiYaYi 	ellos pondrán la vara debajo de la vara de jesús y echarán las hojas de los pescados y las echarán debajo de los maderos	Jaskarabaonra akatikanai kebepa naman nakokin yapa anichabo chachikin itanribi taxa tsamatainko nakokin piro itan bawin chachikin paro nawekinimea
ShaShiYaYi 	reflexiona con los niños sobre la tarea que deben cumplir antes de llevarles los saborizantes	Bakebobetan seneanti joibo shinankinwe jan piti noeatibo jato banakin iwenoxon
ShaShiYaYi 	quiere comprar dos litros por su precio	Jara bikasai 2 mari, jawen kopi riki 78 soro
ShaShiYaYi 	por qué el hacha de dios no se detiene y es débil	Jawekopiki kayanari nobe senen yomerai kayamai itan kikin ochamashoko kai ixon
ShaShiYaYi 	ahí estaba un hombre	merakin -Oin oa joni chankata
ShaShiYaYi 	escribe aquí cómo está tu casa	Neno wishawe jawekeskarin min xobo ixon
ShaShiYaYi 	un metro de río	Westiora mitoro paroya iken
ShaShiYaYi 	El total de la camilla se ha pegado y ha sido tallada en nueve pedazos. ¿Cómo es que no hay para talar y pegar?	Jati paketa: Moa kexexon taxnanke 9 rakoti maxko, ¿jaweti rakoti maxkoki kexexon taxnanti maxkata?
ShaShiYaYi 	entonces le dijeron	Jaskaketianki jawen patoron yoikana iki
ShaShiYaYi 	el anciano no debe dejar a su esposa en paz, para que no se case con ella;	Moa jiwi rerai kanox ipaonike joni jawen awinbetanpari yoran yamakin, paketi kaxkenaketian
ShaShiYaYi 	me alegra saber que me encuentras bien	Mewe onan iketianra ea raroai
ShaShiYaYi 	podemos ir a pescar con sal, carbón, anaconda y diferentes colores	Iti atipanke: manon, tsisten, rapisen, mesko sikatinin
ShaShiYaYi 	el anciano lo llevó a jesús	Jainxonki bonsiman boa iki
ShaShiYaYi 	¿Has visto en otra parte cómo se han reído de él?	¿Wetsankoxonki jaskati jawekinin meniananaiboribi min oina iki?
