Extra_Educational 	finalmente, cuenta con los niños cuántas salieron al contar prueba a  un niño para que cuente 	seneanxon bakebo toponkinwe jawetirin ixon westiora bakebo tanakin toponti yoiwe
Extra_Religious 	ellos se quedaron callados pues habían discutido entre sí sobre quién era el más importante de todos	jato jaskáabi jawebi yoyo iamakana iki ja jatobiresbiribi tsoamein iki nooxaran noa xewina kikin iki iibeirawankana ikax
Extra_Religious 	el señor se enteró de que los fariseos tenían noticias de él se decía que jesús bautizaba y atraía más discípulos que juan	fariseobaonra yoikanai ninkaxon onankana iki ja jesussen jaonmea onannaibo itiakin jato biboresai itan juanman jato imai bebonbiresibi jato bautizanai
Extra_Religious 	anda al corral y tráeme dos cabritos de los mejores que haya con ellos haré un guiso como le gusta a tu padre	ramabira ja yoinabo ikain mia kati jake jain kaxonra rabé karnero bake jakonshaman min ea bexonti jake enra onanke jawekeska pitishamankayaki min papan keen iki ixon en axonbanon jawen keenshaman pitiaxonkin
Extra_Religious 	apenas se presentó los judíos que habían bajado de jerusalén lo acosaron con numerosas y graves acusaciones	jatian moa bexonkanketianra ja jerusalénhainoax bekana judíobaon nokobainxon ja icha jakonmabires jawéki pablon akábo festo yoikana iki
Extra_Religious 	les he dicho todas estas cosas para que mi alegría esté en ustedes y su alegría sea completa	jaskakinra en mato yoiai ebetan mato raronon ixon itan ikoni mato raroti kopí
Extra_Religious 	ada dio a luz a jabel que fue el padre de los que habitan en cabañas y cuidan rebaños	adakan bakeara jabal iká iki ja jabalnin chiní bakebora karpa xobon jaabo iká iki jainoaxa yoina kaiaibo ikana iki
Extra_Religious 	les he dicho todo esto mientras estaba con ustedes	jatíbi neskarabora en mato yoiai mato betanbipari ixon
Extra_Religious 	guarden pues estas palabras y confórtense unos a otros	jaskara iken wetsabo betanribi nato joibaon shinan meran koshianankanwe
Extra_Religious 	da al que te pide y al que te quita lo tuyo no se lo reclames	wetsabaonbires mato jayata jawéki mato yokákana meniresnoxikanwe jatian jaweratobaonki matona ikenbi mato jawéki bichinai moa yokáyamakanwe
Extra_Religious 	después de haber investigado cui dadosamente todo desde el principio también a mí me ha parecido bueno escribir un relato ordenado para ti ilustre teófilo	enribira ja peokootainoabi kikinshamanhakinbo onanboxon jakonshamanhakin en mia wishaxonai nokon keen teófilo
Extra_Religious 	y tú cafarnaúm crees que te elevarás hasta el cielo no serás precipitada hasta el lugar de los muertos	jatian mato kapernaúm jonibaonra noara naikan kanoxiki ixonbira maton shinannai matora kayamanoxiki kikinbires yamé kini meranra mato potakaanoxiki
Extra_Religious 	al dar a luz uno de ellos sacó una mano y la partera la agarró y ató a ella un hilo rojo diciendo	jatian moa pikókinra westioratonin jawen meken pikoa iki jatianra ja bakenmaitonin joshin kintan menexa iki jaskaaxa neskata iki
Extra_Religious 	enviándoles al mesías que les ha sido destinado que es jesús	ja moabi kristo mato raanxonti shinanna ixon raanxontaanan ja iki jesús
Extra_Religious 	al contrario sufre por el evangelio sostenido por la fuerza de dios	jaskayamakinkaya ja diossen mia menia koshi shinanya ixon ja kishpinti joi yoiai kopí mia onitsapitaibo tenewe
Extra_Religious 	el ahora al recordar la obediencia de todos y el respeto lleno de humildad con que lo recibieron siente mucho más cariño por ustedes	jatian jain kaketian maton jatíxonbi jawen joi senenhaxona iketian itan jakonhakinribi maton biantana shinanreskinra rama mato jan kikinhakin noike
Extra_Religious 	aunque los hijos de is rael fueran tan numerosos como la arena del mar sólo un resto se salvará	ja judíobaon chiní bakebo kaita aniparo kexá iká mashi keska icha ikaxbira inóxiki jawetiishokores kishpinmeeti
Extra_Religious 	del trono salen relámpagos voces y truenos	jatian ja ani yakátinimeax kaná biri ika iki riri ika iki itan tirin iká iki
Extra_Religious 	pues yavé dios del cielo y de la tierra que me sacó de la familia de mi padre y del país donde nací me prometió con juramento que entregaría este país a mis descendientes	ja naikanmea ibo diossenra ea pikoa iki nokon papan xobonkonia jainoax nokon rarebobaon mainmea jainxonra nato mai nokon chiní bakebo meniti ea yoia iki
Extra_Religious 	dame la parte de la hacienda que me corresponde	papá ja ea jayáti min meniti jawékibo ea meniwe akin
Extra_Religious 	soy hija de batuel el hijo que milcá le dio a najor	ea riki betuelnin bake ainbo ja iki milka betan nakornin bake
Extra_Religious 	que yavé te recompense tus buenas obras y que el dios de israel bajo cuyas alas te has cobijado te dé el premio que mereces	mia diossen kopíabanon abánon israelbaon ibo diossen min jaki koshinoxon benaa iketian jatíbi min aká kopí mia jan kopíakin akin
Extra_Religious 	el que tenga oídos escuche este mensaje del espíritu a las iglesias	ninkataibaon ninkakanwe ja diossen shinanman jawen joi akaibo yoiai iki filadelfia jemamea joi akaiboki kirika bomaa
Extra_Religious 	tus descendientes de la cuarta generación volverán a esta tierra que no te puedo entregar ahora pues hasta entonces no se colmará la maldad de los amorreos	nenoax jawen chosko itin iká min chiní bakebora jakiribi nato main benóxikanai
Extra_Religious 	jesús les contestó si fueran ciegos no tendrían pecado pero ustedes dicen vemos y ésa es la prueba de su pecado	jatian jesussen jato yoia iki ja mato benchebo iwanaxa mato ochakanamabo ikeanke ikaxbi nonra oinke iki ikaibo ikaxa mato ochakanabobires iki akin jato aká iki
Extra_Religious 	no se oirán más en ti los cantos del novio y de la novia porque tus comerciantes eran los magnates de la tierra y con tus hechicerías se extraviaron las naciones	jainra jawetianbi moa westíora lanparinbi joéyamanoxiki jainxon ja wanoti fiesta akanai jatsanboribi moa ninkáyamanoxikanai ja jain iká jatíbinin maroaibora ikana iki jatíbi nato nete jan koshia jonibo itan jatíbiainoa jonibo min yobekanbo jato parana iki
Extra_Religious 	un ángel del señor se presentó a felipe y le dijo	jainxon ja ibon ángelnin felipe yoia iki
Extra_Religious 	aunque había hecho tantas señales delante de ellos no creían en él	ichabiresakin jesussen ja oinxon onanti ratéti jawékibo jato bebonxon akenbira já ikonhayamakana iki
Extra_Religious 	yo veía a satanás caer del cielo como un rayo	ikon riki enra oinna iki naikanmeax joí satanás kaná ikai keskati paketaitian
Extra_Religious 	en eso vio dos barcas amarradas al borde del lago los pescadores habían bajado y lavaban las redes	jainxonra jesussen oinna iki ja rikanaibaon rabé bote jawebioma mashin repia ja bote ibobo ikana iki mapéxon jaton rika chokai tsamákana
Extra_Religious 	eran asiduos a la enseñanza de los apóstoles a la convivencia fraterna a la fracción del pan y a las oraciones	jaskataxa ja raana jonibaon jato esé onanmaa keskatibo jaai jenéyamakana iki ja rarebobires keska shinanmeekin tsinkíxonbo kriston yora shinankin jawékiakatikanai itan orankinribi jeneyamakatikanai reken diossen joi akaibo jaskati jakana
Extra_Religious 	cuando alguien te invite a un banquete de bodas no escojas el mejor lugar	ja wanokanai fiestanko chanikana joáx ja kikinbo iti akana yakátiainbo mato yakátima iki
Extra_Religious 	ya que no me diste descendencia tendré por heredero a uno de mis sirvientes	jainxon abramman yoiribia iki
Extra_Religious 	tenía rebaños de ovejas rebaños de vacas y numerosos criados por lo que los filisteos empezaron a mirarlo con envidia	jaskati ja isaaknin ovejaboyabi wakabo kaiketian icha yoinaya baneta iki jainoax jawen yonotiboribi kikin icha iká iki jatian ja isaak jaskáyoraitian oinnax filisteo jonibo moa jaki notsiresi itan jaki ramiti peokookana iki
Extra_Religious 	por eso rogué a tito que habiendo él comenzado entre ustedes esta obra de caridad la llevara también a cabo	jaskara kopíra ja tito non yoia iki jato akinti shinanxon mato koríki tsinkikin peokinni mato chibankiinresnon ixon
Extra_Religious 	en cambio la jerusalén de arriba es libre y es nuestra madre	ikaxbi ja naikanmea jerusalén ikainra tsoa inakaatabo yamake jatian noa iki ja jemamea bakebo
Extra_Religious 	siempre tienen a los pobres con ustedes pero a mí no me tendrán siempre	ja jawékiomabora jatíbitian mato xaran janoxiki ikaxbi eara jatíbitian mato betan iamai
Extra_Religious 	a consecuencia de esto todos los enfermos de la isla acudieron a él y fueron sanados	jaskáaketianra ja nasin ikana wetsa isinai joniboribi pablo bexonkana jato benxoa iki
Extra_Religious 	y si el toque de la trompeta no se parece a nada quién correrá a su puesto de combate	jatian ja reteananti iketian jakonishaman trompeta xoon iamaitianra ja reteanani kati kopí tsoabi benxokaatima iki
Extra_Religious 	somos partícipes de la naturaleza divina	diossen kenaabo ikax jaki koshii jenétima
Extra_Religious 	tampoco yo te condeno	jaskara ikenra enribi mia jaweayamai
Extra_Religious 	este es uno de ellos	natora jesussen joniribi iki akin
Extra_Religious 	toma lo que te corresponde y márchate	natoriki ja min koríki ja biax moa katanwe
Extra_Religious 	al llegar jesús a la casa del jefe vio a los flautistas y el alboroto de la gente	jatian moa joni koshin xobon nokóxon jesussen oinna iká iki jayá maiai bonox ja kena xoon akaibo jain tsamákana itan icha joniboribi winii saa iki
Extra_Religious 	mientras tanto los pecadores y los embusteros irán de mal en peor engañando y engañados a la vez	ikaxbi ja jakonma shinanya joniboyabi ja paranmisbora bebon jakonmaibiresbo inoxikanai jato parani itan jatoribi parankana
Extra_Religious 	pero los judíos se opusieron y me vi obligado a apelar al césar sin la menor intención de acusar a las autoridades de mi pueblo	ikaxbira ja judío jonibo keenyamakana iki jaskákanaitianra ja icha mai iboaa romamea apon nokon ikábo yoixontin keenkin en jato yokata iki jain kaxon ja nokon kaibobo jato jakonmaati shinanyaxonma
Extra_Religious 	cuando reu contaba treinta y dos años fue padre de serug	reu kimisha chonka rabé baritiaya iketianra jawen benbo bake serug pikota iki
Extra_Religious 	esto es lo que decía jesús y muchos creyeron en él	jato jaskáakin yoia ninkaxon icha judío koshibaon já ikonhakana iki diossen bakebo itan ochan iboa jonibo
Extra_Religious 	el padre que invocan no hace diferencias entre personas sino que juzga a cada uno según sus obras tomen pues en serio estos años en que viven fuera de la patria	ja non papa akin maton akai diossenra senenbires jaton aká jawékibo jato yoixonai jaskara kopí ja nato neten mato winotai keskábores jaai kaman jan yoiai keskatibores mato ikanti jake
Extra_Religious 	no se dan cuenta de que es mejor que muera un solo hombre por el pueblo y no que perezca toda la nación	matonara bebon jakon iti iki westíora jonibichores jema kopi mawáti
Extra_Religious 	los romanos querían dejarme en libertad después de haberme interrogado pues no encontraban en mí nada que mereciera la muerte	jatian jabaonra kikinhakin yokáyona pekáo ea píkokaskana iki ja aká kopíshaman ea reteti yamaketian
Extra_Religious 	le mostraron un denario y jesús les preguntó	bexonkanketian oinxon jato yokata iki
Extra_Religious 	a efeso esmirna pérgamo tiatira sardes filadelfia y laodicea	ja min oinnaibo kirikanin wishaxon ja asia main iká kanchis jemabaon ikana joi akaibo jato bomawe
Extra_Religious 	es mi hermana porque tenía miedo a decir que era su esposa para que no lo fueran a matar por causa de rebeca que era muy bonita	nokon awinma riki nokon poi riki akin jatora jaskáakin yoia iki ja jawen awin rebeka kikinbires metsáshoko ainbo iketian
Extra_Religious 	salió otra vez al mediodía y luego a las tres de la tarde e hizo lo mismo	jainoax bariapan jakiribi karibaa iki iiwanax yantanpake karibaxon jato jaskáaribia iki
Extra_Religious 	su fama se extendió por toda siria la gente le traía todos sus enfermos y cuantos estaban aquejados por algún mal endemoniados lunáticos y paralíticos y él los sanaba a todos	jaskarabora jatíbi siria main ninkakaata iki jaskara ninkáxonra meskó isinyabo bexonkana iki yoshin naikiabo maxkaibo yora koshiamaibo jainoax meskó keskati chexakaati isinaibo jaskarabora jato jesussen benxoaa iki
Extra_Religious 	carta de pablo y timoteo siervos de cristo jesús a los filipenses a todos ustedes con sus obispos y sus diáconos que en cristo jesús son santos	noa pablo betan timoteo riki kristo jesussen yonoti ja filipossain iká jatíbi joi akaibo itan jatíbi ankianoboyabi diákonobora non jato saludo bomai
Extra_Religious 	un solo dios y padre de todos que está por encima de todo lo penetra todo y está en todo	westíora diosbicho jatíbibaon papa jatíbi jato xewina jatíbi meranoax teetai itan jatíbiain
Extra_Religious 	está llegando la hora y ya ha llegado en que se dispersarán cada uno por su lado y me dejarán solo	jaskara ikenbira moa nete nokotai itan rama riki ja nete
Extra_Religious 	señor cuándo te vimos hambriento y te dimos de comer o sediento y te dimos de beber	jawetianki mia pikasai oinxon non mia pimaa iki ibó jawetianki mia nomiaitian oinxon non mia xeamaa iki
Extra_Religious 	quien cree en este jesús es liberado de todo esto	ja ochabora moiséssen esekan soati atipanyamaa iketian mato diossen jakonhakin ointi atipanyamaa iki ikaxbi jatíbi já ikonhaibora diossen ja ochabo moa jato shinanxonyamai
Extra_Religious 	durante los siete años de abundancia hubo grandes cosechas	ja josé egiptonko joni koshi inontianra kanchis baritia senen kikinbiresi banábo jakonshamani xoxoax ikonbiresi bimia iki
Extra_Religious 	y si en algún lugar no los reciben ni los escuchan no se alejen de allí sin haber sacudido el polvo de sus pies con esto darán testimonio contra ellos	jatian jaweranoxonki mato bikashamakanai itan maton yoiai joibo ninkákashamakanai jainoaxa moa mato pikóti iki
Extra_Religious 	a su paso animaban a los discípulos y los invitaban a perseverar en la fe les decían es necesario que pasemos por muchas pruebas para entrar en el reino de dios	ja jemabaonra ja joi akaibo koshi shinan bimaxon dioski koshii jenéyamakanon ixon jato esebokana iki
Extra_Religious 	al llegar a las escalinatas los soldados tuvieron que levantarlo y llevarlo a hombros a causa de la violencia de la multitud	jatian moa xobo tapitiain nokóxon sontárobaon pablo iabainkana iki jonibo jaki tsokasi jakonmaakanaitian oinxon
Extra_Religious 	pues del señor es la tierra y todo lo que contiene	jatiobi nato mai jatíbi nato netemea jaa jawékibora non ibonabires iki
Extra_Religious 	por aquellos días enfermó y murió después de lavar su cuerpo lo pusieron en la habitación del piso superior	ja netebaonribira isinax dorkas mawata iki jatian chokaxon ja kikin bochiki xobo chité ikainko bokana iki
Extra_Religious 	los pensamientos malos salen de dentro del corazón	ja jonin shinan meranoaxkayara ikai jakonma shinanbo pikoti ja shinanbo riki neskara
Extra_Religious 	pues ahora la mano del señor va a caer sobre ti quedarás ciego y no verás la luz del sol por cierto tiempo al instante quedó envuelto en oscuridad y tinieblas y daba vueltas buscando a alguien que lo llevase de la mano	mia jaskata kopíra rama non ibon jawetio basikamanres mia masá tenemai nete oinyamaira mia benche banetai akin jaskáatianbi yamekan mapókiranxon moa jawe netebi oinyamaa iki jaskatax metsonxon iwekanon ikax meshkáaketana iki moa benche ikax
Extra_Religious 	cuando venga el protector que les enviaré desde el padre por ser él el espíritu de verdad que procede del padre dará testimonio de mí	ikaxbi jan mato ikinti ja ikon shinan mato akinnon ixon nokon papaibaxon en raana joxonra ekiriakin jakonhakin mato onanmanoxiki
Extra_Religious 	me alegré mucho al encontrar algunos hijos tuyos que viven según la verdad de acuerdo con el mandato que recibimos del padre	eara ikonbiresi raroke jatíribi mibé joi akaiboribi ja ikon join yoiai keskatishaman jaax ja non papa diossen noa yoiai keskati jakanabo jato nokoax
Extra_Religious 	sobre qué discutían ustedes con ellos	jawe yoiiki mato jabo betan join iananani iitai
Extra_Religious 	ustedes no entienden nada	matonra jawebi onanyamake
Extra_Religious 	al enterarse jacob de que había trigo en egipto mandó allí a nuestros padres una primera vez	jatian jakobnin ninkata iki egiptonko icha jawékiati jaa jaskáakinra jawen bakebo jain jato raana iki ja non reken papashokobo jaskataxa peokooti bokana iki
Extra_Religious 	hubo mujeres que recobraron resucitados a sus muertos pero también hubo otros que en vista de una resurrección mejor no buscaron salvarse a cualquier precio de la tortura	jatíribi ainbobaonra jaton rarebo jirikanaboribi oinkana iki jatíribibora rishkixonbo retekanainbi jato jenemakantininbo keenyamai mawákana iki jaskata pekáo jakonhirai janox jakiribi jiribiti onannax
Extra_Religious 	un prestamista tenía dos deudores	jatian jesussen yoia iki
Extra_Religious 	todos quedaron muy atemorizados y el nombre del señor jesús fue tenido en gran consideración	jaskaxon ja non ibo jesussen jane moa iresama jatíbiainxon onankana iki
Extra_Religious 	cuando llegaron los samaritanos donde él le pidieron que se quedara con ellos	jato jaskáaka bexon jain nokóxon ja samaria jonibaon jesús yoikana iki jatoibapari baneti
Extra_Religious 	pero se levantaron algunos del grupo de los fariseos que habían abrazado la fe y dijeron	ikenbi ja joi ikonhai jawetii fariseobaon weniinabainxon jato neskáakin yoikana iki
Extra_Religious 	compró por cien monedas de plata a los hijos de hamor que era padre de siquem el pedazo de tierra en que había instalado sus tiendas	jain iakeaxa hamor jonibaon bakebaon main maroa iki pacha koríki kopía ja hamor iká iki sikemman papa jaskati ja mai jato maroataananra moa jainbi jatiaa iki
Extra_Religious 	te hago padre de muchas naciones	enra mia imaa iki icha jonibaon papa iti iki
Extra_Religious 	y dios descansó de todas sus obras el día séptimo	ja kanchis nete itinra jatíbi jawen teebo senenhayontaanan dios tantia iki iki
Extra_Religious 	juan era una antorcha que ardía e iluminaba y ustedes por un tiempo se sintieron a gusto con su luz	juanra iká iki lamparin joekan mato tenai keská jaskara ikaxa jan jaskáakin yoiai ninkatax mato jawetio basishokores rarokana iki
Extra_Religious 	sus cabellos son como los de mujer y sus dientes como los de leones	jaton boo iká iki ainbaon boo keska jaton xetabo iká iki leónman xeta keska
Extra_Religious 	he decidido acabar con todos los seres vivos pues la tierra está llena de violencia por culpa de ellos y los voy a suprimir de la tierra	enra shinanke jatíbi jonibo keyonoxon jaton jakonma kopíra nato neten ikonbiresi onsati reteanankanai jaskara iketianra en jato keyoai jatíbi nato neten ikáboyabi
Extra_Religious 	mientras pablo los esperaba en atenas su espíritu hervía viendo la ciudad plagada de ídolos	jatian ja atenas jeman nokóxon silas betan timoteo manaai iikin ja jemamea ikonma diosbo oinyaketanax pablo sinata iki
Extra_Religious 	el que guarda mis mandamientos después de recibirlos ése es el que me ama el que me ama a mí será amado por mi padre y yo también lo amaré y me manifestaré a él	ja nokon joi ninkaxon en yoia keská akaira onanti iki ea akonkin noia jan ea jaskáakin noiara nokon papan noishokoti iki jatianra enribi noiax moa ea jaki onantiti iki akin jesussen jato aká iki
Extra_Religious 	tú eres sacerdote para siempre a semejanza de melquisedec	mia riki jatíbitian sakerdote ja melkisedek iní betan senenribi iki
Extra_Religious 	el camino de la cruz	jaskáatanan moa korosen akanon ixon jato menia iki
Extra_Religious 	los jefes de los sacerdotes y el consejo supremo andaban buscando alguna declaración falsa contra jesús para poderlo condenar a muerte	jatian ja sakerdotebaon koshi itan ja jema koshibaonra jaskáaxon jesús reteti kopí janso joi benakana iki
Extra_Religious 	señor hasta los demonios nos obedecen al invocar tu nombre	ibó min janenko non jato notsinara yoshinboribi non yoiai joibo ninkáxoni jokonkanke akin
Extra_Religious 	quién acusará a los elegidos de dios dios mismo los declara justos	ramara ja diossen katotabora jakonmabo iki akin tsonbi jato yoiti atipanyamake diossenbi moa ocha ayosma keskáakin jato oinna iketian
Extra_Religious 	crucemos a la otra orilla del lago	ian keiba bonon bokanwe akin
Extra_Religious 	pedro pues lo llevó aparte y comenzó a reprenderlo	jatian pedron jabichobiribi okeshoko boxon notsina iki
Extra_Religious 	en verdad les digo que algunos de los aquí presentes no morirán sin antes haber visto el reino de dios la transfiguración de jesús	enra mato ikonshaman yoiai jatíribi neno ikábora ja diossen ikinaton jati oinnamatianbipari mawákantima iki akin jesús wetsaresibia
Extra_Religious 	dentro de un año volveré por aquí y para entonces sara tu mujer tendrá un hijo	oa wetsa baritia joaitonra ea miiba merati joribai jatianra min awin sara moa westíora benbo bakeya inóxiki akin
Extra_Religious 	eran como las cuatro de la tarde	jaskatax jabébi jain iibaikana iki jatian iká iki moa yantan
Extra_Religious 	por eso tuvo que hacerse semejante en todo a sus hermanos y llegó a ser el sumo sacerdote lleno de comprensión pero también fiel en el servicio de dios que les consigue el perdón	jatian jaskáakin jato akinti kopíra jawen wetsabo keskáribi itoshia iki jaskatax jawen atibo senenhai itan noibataanan akinmis diossen tee axonai sakerdotebaon koshi inox itan jato kopi mawáxon jonibaon ocha akábo shinanxonyamanox
Extra_Religious 	los saludan erasto tesorero de la ciudad y nuestro hermano cuarto	eara keenai non ibo jesukriston jatíbibo mato jakon shinanxontin mato jaskáabanon senentiainbi pablon dios rabia
Extra_Religious 	saulo cada vez con más vigor demostraba que jesús era el mesías y refutaba todas las objeciones de los judíos de damasco	ikaxbi saulon koshi shinanyaxon joi yoikin jeneyamaa iki jesús riki kristo iki ixon jato onanmakin jato jaskáabi ja damaskoain jakana judíobaon moa jaskashamaanti onanyamakana iki judíobaon retekasa saulo jabata
Extra_Religious 	tus hermanos están cuidando las ovejas en los pastos de siquem ven que quiero mandarte donde ellos	min wetsabora sikemhain yoinabo koirani bokana iki
Extra_Religious 	veo que el padre de ustedes no me mira con buenos ojos como antes pero el dios de mi padre ha estado conmigo	rama netebaon maton papa en oinna riki ea joá benátian iantana keskáma eki jakonmarestaniara en oinnai jaskara ikenbira ja nokon anibaon dios ebébi iki
Extra_Religious 	los que quieren ser ricos caen en tentaciones y trampas un montón de ambiciones locas y dañinas los hunden en la ruina hasta perderlos	ikaxbi ja icha jawékia itin keenaibaonra tanakaatibo joketian teneyamakanai jaskatira icha jakonma jawékibo ati shinanyabo ikax jakonmaatax manótiain bokanti atipanke
Extra_Religious 	no lo hagas yo no soy más que un servidor como tú y como tus hermanos que transmiten las declaraciones de jesús son declaraciones de jesús las que vienen del espíritu de los profetas sólo debes adorar a dios el triunfo de la palabra de dios	ea jaskáyamawe eara mia keska diossen tee akairibi iki itan ja jesukristo ikábo yoikin jeneyamai min wetsabo keskáribi dioskaya rabiwe akin ja jesúskiriti iká joibo riki ja profetabo jan shinan meniai joxo kabáyonin joni peyakaa
Extra_Religious 	este montón de piedras va a quedar aquí como una prueba del acuerdo entre tú y yo	nato makanbo non jaskáakin tsamana riki ja oinnaitiibi non jaskáakin shinanbekoni jawéki noa jan shinanmati
Extra_Religious 	por eso el hombre deja a su padre y a su madre para unirse a su mujer y pasan a ser una sola carne	jaskara iketianra jonin jawen papa betan jawen tita jenetaanan jawen awin betanbiribi jati iki jaskataxa ja rabé westíora yorabicho keská iti iki
Extra_Religious 	mientras navegaban jesús se durmió de repente se desencadenó una tempestad sobre el lago y la barca se fue llenando de agua a tal punto que peligraban	jatian moa ian shitai ikanaitian jesús moa oxaa iki jainoaxa ja ianman niwe koshi paketa iki jatianra jaton boteribi moa jene weiti peokootax reokooti onsá meran ikana iki
Extra_Religious 	porque hablando de méritos humanos yo también tendría con qué sentirme seguro	eabira jaskara jawékiboki koshiti atipanke
Extra_Religious 	y se fue de efeso por mar	jato jaskáabaini ja efesoainoax wapóronin nanetax moa kaa iki
Extra_Religious 	cómo es que su maestro come con cobradores de impuestos y pecadores	jaweatiki maton maestron ja apo kopí yokáxonaibo itan ja ochayabo betan jawékiai
Extra_Religious 	de qué le serviría a uno ganar el mundo entero si se destruye a sí mismo	jakonmein iti iki nato netemea jawékibo kaiaa ikátiibi jati neteoma joni iká
Extra_Religious 	después jacob volvió a bendecir a faraón y se retiró de su presencia	jaskáakin yoitaanan moa faraónhibakeax jakob pikókaina iki
Extra_Religious 	ustedes han escuchado lo que se dijo a sus antepasados	matonra onanke ja moatian moiséssen yoini joi ja iki
Extra_Religious 	cuando vuelva a visitarlos ustedes se sentirán más orgullosos de mí en cristo jesús sigan firmes en la fe	jaskati ea mato betan jakiribi nokoananketianra mato ibirestiki ea kopi kristo jesúski raroi
Extra_Religious 	entonces fa raón se despertó	jaskarabo namá meran ointaanan moa faraón besoa iki
Extra_Religious 	todo empezó por causa de unos judíos de asia que hoy deberían estar aquí para acusarme si es que tienen algo contra mí	jatian ea jan jaskáakin oinnabora iká iki ja asia mainmea jawetii judíobo jatian jabokayara ikanti iki neno mato bebon ja en jakonma akábo iketian mato yoii
Extra_Religious 	y después de azotarlo lo matarán pero al tercer día resucitará	jatian rishkihonkana pekáora ea retekanti iki jaskáakanabira jawen kimisha nete itin ea jiriribiti iki akin jato aká iki
Extra_Religious 	preocúpense por las cosas de arriba no por las de la tierra	nato netemea jawékibo shinanyamakinkaya ja naikanmea jawékibores shinankanwe
Extra_Religious 	nicodemo volvió a preguntarle	jainxon nikodemon yokáribia iki
Extra_Religious 	el primer día de la semana muy temprano fueron las mujeres al sepulcro llevando los perfumes que habían preparado	jatian moa domingo nete xabatai yamékirishoko ja mawá kini oinni boribakana iki kakin ja ininti meskoibakanabo bokana iki
Extra_Religious 	estaré todavía de duelo cuando descienda donde mi hijo al lugar de las sombras y su padre lo lloró	nokon bake kopíra ea meketai ja mawábo ikain jabé iki ea kaai kamanra ikai ikinbo
Extra_Religious 	qué victoria tan grande la muerte ha sido devorada	ja mawáti jawékira moa keyota iki iki
Extra_Religious 	en cambio el que calumnie al espíritu santo no tendrá jamás perdón pues se queda con un pecado que nunca lo dejará	ikaxbi jaweratoboki ja diossen shinanki jakonmaibires yoyo ikax ochai jabora jawetianbi jato diossen shinanxonkin jenetima iki
Extra_Religious 	después de un rato los que estaban allí dijeron de nuevo a pedro	jaskákenbi jain charotabaon jakiribi yoikana iki
Extra_Religious 	el se ha ido al cielo y está a la derecha de dios después de someter a los ángeles a las dominaciones y las potestades	jara naikan kaax diossen mekayao yakata iki jaskara kopíra ja ángelbo itan jatíbi koshi shinanya koshibo jaki koshikana baneta iki
Extra_Religious 	ustedes que recibieron la ley por medio de ángeles pero que no la han cumplido	ja ángelbo meranxon diossen esé meniara maton bia iki ikaxbi maton senenhayamaa iki akin esteban retekana
Extra_Religious 	entonces dejaron partir a su hermana rebeca y a su nodriza con el servidor de abraham y sus hombres	jatian moa rebeka raankana iki jatíbitian jan koirana ainbo betan jainoax ja abrahamman yonoti beabo betan
Extra_Religious 	volvió a llamar el angel de dios a abraham desde el cielo	jawen rabé itin naikanxonbi ibon ángelnin abraham kenaa iki
Extra_Religious 	si uno escucha estas palabras mías y las pone en práctica dirán de él aquí tienen al hombre sabio y prudente que edificó su casa sobre roca	jaskara iken ja nokon joi ninkáxon en yoia keská ea axonaibo riki shinanti onan ixon shanka main jonin xoboani keská
Extra_Religious 	así se podrán quedar ustedes en esta tierra de gosén ya que los egipcios aborrecen a todos los pastores de ovejas	jatian jaskáakin maton yoiara gosén mainshaman mato imatiki
Extra_Religious 	me cuidé de ser un peso para ustedes y todavía me cuidaré	ja makedoniainoax bekana non wetsabaonra joxon ea maxkata jawékibo ea menikana iki maton akinnon ikaxa ea matokibichoira manáyamaa iki jatíbitianra ea jaskara iti jake
Extra_Religious 	este es mi trabajo al que me entrego con la energía que viene de cristo y que obra poderosamente en mí	neskarabo kopíra jatíbi nokon koshiabi ea teetai ja kriston jawen atipana koshi ea meniaton
Extra_Religious 	por medio de él muchos hijos de israel volverán al señor su dios	janra icha israel jonibo jaton ibo dioski jato banémaribanoxiki
Extra_Religious 	lo costeamos con dificultad y llegamos a un lugar llamado puertos buenos cerca de la ciudad de lasea	jatian masábires mehananbi ja nasi kexabi ochó kaax ja buenos puertos akin akanainko noa nokota iki ja iká iki lasea jema ochóma
Extra_Religious 	si el dueño de casa supiera a qué hora va a llegar el ladrón ustedes entienden que se mantendría despierto y no le dejaría romper el muro	jainxon neskara jawéki rama onankanwe yamé ja hora yometso jawen xobon joái onanaxa ja joni moa oxatima iki jawen jawékibo yometsoanaketian koirani
Extra_Religious 	ustedes con todo aspiren a los carismas más elevados y yo quisiera mostrarles un camino que los supera a todos	ja kikin jakonhira diossen onan shinanyabo itikayara maton shinanti jake ramara ja en mato yoipakea bebonbires jakon jawékibo en mato yoiai
Extra_Religious 	levántate de ahí y arrójate al mar si no duda en su corazón y cree que sucederá como dice se le concederá	nenoax tsekékaini kaax aniparon pakétanwe akin jatianra diossen imaxonti iki ponté shinanxon ja en yoia keskára ea imaxonai ixon ikonhaketian
Extra_Religious 	pues las locuras de dios tienen más sabiduría que los hombres y la debilidad de dios es más fuerte que los hombres	ja diossen shinanna jawékibo iresa keská ikaxbira jákaya jatíbi jonibo xewina onan iki jatian dios yosma keska shinankanabira jawen koshi jonibaon koshi betan senenyamake
