Wixarika_Corpora 	 Muchacha de cabello largo	Uka maka t+t+ 
Mexican_constitution 	IV. Desempeñar los cargos de elección popular de la Federación o de los Estados, que en ningún caso serán gratuitos; y 	IV. Titaki nemititahiawarieni tinakemeki ya nemitikayani ‘etsitaru ya tini Mekiku kiekarieya mixeiya, netikupitiariwati metá; 
Mexican_constitution 	V. Desempeñar los cargos concejiles del municipio donde resida, las funciones electorales y las de jurado. 	V. Munitsipiyu xika ‘utahiawarieni tinakemeki ya katinikayeimiki hakewa mirekuyineni. 
Mexican_constitution 	Artículo 37. 	‘Aritikuru 37. 
Mexican_constitution 	A) Ningún mexicano por nacimiento podrá ser privado de su nacionalidad. 	A) Mekiku nuiwakame wakapeukahiiyaka Mekiku kename kiekame katiniumatiwamiki. 
Mexican_constitution 	B) La nacionalidad mexicana por naturalización se perderá en los siguientes casos: 	B) Mekiku kiekame ri kapuyuxatani xika tixewititsie ‘ena mika’utika tiuyini: 
Mexican_constitution 	I. Por adquisición voluntaria de una nacionalidad extranjera, por hacerse pasar en cualquier instrumento público como extranjero, por usar un pasaporte extranjero, o por aceptar o usar títulos nobiliarios que impliquen sumisión a un Estado extranjero, y 	I. Hawai pita kiekame xika hayuyeitiani hawai pita mirenakeki xapa hawai pita mieme hurimiti ya tini hawai kiekame nepirawitikikai ‘ayumieme muwa pita pireyani, metá 
Mexican_constitution 	II. Por residir durante cinco años continuos en el extranjero. 	II. Tewa paiti xika ‘auxuwi witari ‘utayerini. 
Mexican_constitution 	C) La ciudadanía mexicana se pierde: 	C) Mekiku kiekame kename ri kaneuyewemiki: 
Mexican_constitution 	I. Por aceptar o usar títulos nobiliarios de gobiernos extranjeros; 	I. Hawai kiekame xika nehawitikikaitini; 
Mexican_constitution 	II. Por prestar voluntariamente servicios o funciones oficiales a un gobierno extranjero, sin permiso del Ejecutivo Federal; 	II. Xika tewa reparewiekaitini nekiekari ya kara’eriwakaku; 
Mexican_constitution 	III. Por aceptar o usar condecoraciones extranjeras sin permiso del Ejecutivo Federal. 	III. Tixaiti memiteyetuayani ‘ahetsie mieme ‘itsikate ya mekateha’eriwakaku. 
Mexican_constitution 	El Presidente de la República, los senadores y diputados al Congreso de la Unión y los ministros de la Suprema Corte de Justicia de la Nación podrán libremente aceptar y usar condecoraciones extranjeras; 	‘Itsikame Mekiku paiti makawe, texaxatamete metá xeputaritsixi mirewatixeiritire miwima, metá minitsiteriyutsixi xanetsitiariwametexi memanutinanati memiwayeteitsie `ena Mekiku metetixatame ya mekatenitanaki’eriexiamiki hipame tixaiti memitewayetuiriwani, Mekiku kiekatari; 
Mexican_constitution 	IV. Por admitir del gobierno de otro país títulos o funciones sin previo permiso del Ejecutivo Federal, exceptuando los títulos literarios, científicos o humanitarios que pueden aceptarse libremente; 	IV. Xika tewa ‘uximayatsika ‘utaxatiarieni ‘itsikate mekatehamaikaku, xeikía xapatetsie mitiukunieretikatsie timieme ‘aixia katinixeiyarieka; 
Mexican_constitution 	V. Por ayudar, en contra de la Nación, a un extranjero, o a un gobierno extranjero, en cualquier reclamación diplomática o ante un tribunal internacional, y 	V. Xika yukiekari heimá ka’utanuani hipame pita wahetsia tiuparewieni; xika me’utaxeiyaxiani kiekatari, metá 
Mexican_constitution 	VI. En los demás casos que fijan las leyes. 	VI. ‘Itsikame niukieya xeikía ‘enieti. 
Mexican_constitution 	Artículo 38. 	‘Aritikuru 38. 
Mexican_constitution 	Los derechos o prerrogativas de los ciudadanos se suspenden: 	‘Aixia ’anemeki ‘uyeikati ya tini neminawaiyarieni xika: 
Mexican_constitution 	I. Por falta de cumplimiento, sin causa justificada, de cualquiera de las obligaciones que impone el artículo 36. 	I. Karaye’atiwani ‘aritikuru tamamata heimana ‘ataxewí ke mutaine karaye’atiani. 
Mexican_constitution 	Esta suspensión durará un año y se impondrá además de las otras penas que por el mismo hecho señalare la ley; 	Xei witari kaniuyuruwani hipame ta tsiere katsitiku kanitixuawerimiki ‘itsikame niukieyatsie ke maineni; 
Mexican_constitution 	II. Por estar sujeto a un proceso criminal por delito que merezca pena corporal, a contar desde la fecha del auto de formal prisión; 	II. Xika ‘axa netikayani xeime ’unanaimame kepauka paiti muwiyarienitsie paiti heitseriemeki; 
Mexican_constitution 	III. Durante la extinción de una pena corporal; 	III. Kepauka xeime mitiukwinitiani; 
Mexican_constitution 	IV. Por vagancia o ebriedad consuetudinaria, declarada en los términos que prevengan las leyes; 	IV. Heu’erieti kuyeikati ku’ieneti ‘itsikame niukieya ‘uniereku; 
Mexican_constitution 	V. Por estar prófugo de la justicia, desde que se dicte la orden de aprehensión hasta que prescriba la acción penal; y 	V. Xika ‘utayuni ‘itsikame rawaunekaku kepauka paiti muwiyarieniki mita‘aitsieni tinaiti reutipareyu metá, 
Mexican_constitution 	VI. Por sentencia ejecutoria que imponga como pena esa suspensión. 	VI. Xika kunamiemiki raniuwani ‘ayumieme. 
Mexican_constitution 	La ley fijará los casos en que se pierden, y los demás en que se suspenden los derechos de ciudadano, y la manera de hacer la rehabilitación. 	‘Itsikame yakanitayimiki kepauka Mekiku kiekame meuyehiani hipati ta ‘aixia ‘iyari muyeikaniki kaneuyehiamiki tsiere metá kepai reuti’anekaku kiekaritsie miye‘ani. 
Mexican_constitution 	Título Segundo 	Hutarieka Tituruyari 
Mexican_constitution 	Capítulo I 	Kapituru I 
Mexican_constitution 	De la Soberanía Nacional y de la Forma de Gobierno 	Kiekari Hikiame Hetsie Mieme Metá 'Itsikame Ke Mitikuyuruwa 
Mexican_constitution 	Artículo 39. 	'Aritikuru 39. 
Mexican_constitution 	La soberanía nacional reside esencial y originariamente en el pueblo. 	Kiekari hikiati xeikía takiekari hetsie kanayeneikani. 
Mexican_constitution 	Todo poder público dimana del pueblo y se instituye para beneficio de éste. 	Naiti tini'awame kiekaritsie kanayeneikamiki metá miki kaniyuwewiwani kiekari yaxeikía memikuparewiwaniki. 
Mexican_constitution 	El pueblo tiene en todo tiempo el inalienable derecho de alterar o modificar la forma de su gobierno. 	Kiekatari makaneixeiyani heyemeki heitseriekame yu'itsi kepai mitiyukweixime memikupataniki. 
Mexican_constitution 	Artículo 40. 	'Aritikuru 40. 
Mexican_constitution 	Es voluntad del pueblo mexicano constituirse en una República representativa, democrática, laica, federal, compuesta de Estados libres y soberanos en todo lo concerniente a su régimen interior; pero unidos en una federación establecida según los principios de esta ley fundamental. 	Mekiku kiekatari xika República miwakuxata meheuwewikuni mipai kaniyiwewimiki, yunaiti wa’enieti, yutsi kakuxatati, Mekiku hetsie mieme, 'etsitaruteki yuwewieti metá yuxaitá yuni'ati kepai mitiumie yutaitatsie; xewiti xeikía Mekiku kiekarieya mekawiti kepai 'iki wimari tsutiarika mutaine. 
Mexican_constitution 	Artículo 41. 	‘Aritikuru 41. 
Mexican_constitution 	El pueblo ejerce su soberanía por medio de los Poderes de la Unión, en los casos de la competencia de éstos, y por los de los Estados, en lo que toca a sus regímenes interiores, en los términos respectivamente establecidos por la presente Constitución Federal y las particulares de los Estados, las que en ningún caso podrán contravenir las estipulaciones del Pacto Federal. 	Kiekaritsie memu’uwa yukiekaritsie mieme mep+tehanuyexaxatani ‘etsitaru tiparewiekaku hakewa meuye’atiká wakwie wimari ke mutaineni yaxeikía ‘etsitarutsixi ke’anemeki memite’uximayaka. >‘Itsikame hixie meka’uyekikati. 
Mexican_constitution 	La renovación de los poderes Legislativo y Ejecutivo se realizará mediante elecciones libres, auténticas y periódicas, conforme a las siguientes bases: 	Haika niuki ‘itsikame mayetirikawi kaniyukupatani heitseriemeki metihiawariwati, kepauka metá ‘aixia reuti’anekaku, ‘ena ke mireuku’uxa tinakemeki: 
Mexican_constitution 	I. Los partidos políticos son entidades de interés público; la ley determinará las normas y requisitos para su registro legal, las formas específicas de su intervención en el proceso electoral y los derechos, obligaciones y prerrogativas que les corresponden. 	I. Paritiriyutsixi kanihikitikani kiekatari mitiwareuyehiwa memitehayexeiya ‘itsikame ke maine heitseriemeki metekahuuti kepai meyiati memitihiawarieni, kepai ‘aixia miyianeni kepai ‘aixia ya mitititaniki. 
Mexican_constitution 	Los partidos políticos tienen como fin promover la participación del pueblo en la vida democrática, contribuir a la integración de los órganos de representación política y como organizaciones de ciudadanos, hacer posible el acceso de éstos al ejercicio del poder público, de acuerdo con los programas, principios e ideas que postulan y mediante el sufragio universal, libre, secreto y directo, así como las reglas para garantizar la paridad entre los géneros, en candidaturas a legisladores federales y locales. 	Paritiriyutsixi mekaniwauka kiekatari memayuyehitiwaniki; ‘itsikame kanitixatamiki niuki kepai mitiyu’utiani, kepai miyianeni ‘itsikate memitihiawarienitsie metá ‘aixia mitikamienik+, ke mitiyurieni metá titatsie miranuyehakeni. >Paritiriyutsixi mekaneyexeiyani teiteri ‘emiwara‘iniwaniki, ‘itsikame memiwatihiaweni metá hipame miwaniika mipai miti’ane mete’ayexeiyati mitiyiwetsie meuyehakeni, parewiya ke mayetaine, ‘aixia miranayeneikani memiti’ane ya ke memiteku’eriwa memiyetuayatsie yu‘iyari yukimana, ‘awie hakewa mirekunanakeni, ‘aixia miranayeneikani yaxeikía ’anemeki memitihiawarieni, hakewa memitehawiyatika xika Mekiku kwieyaritsie ya tini ‘etsitaru. 
Mexican_constitution 	Sólo los ciudadanos podrán formar partidos políticos y afiliarse libre e individualmente a ellos; por tanto, quedan prohibidas la intervención de organizaciones gremiales o con objeto social diferente en la creación de partidos y cualquier forma de afiliación corporativa. 	Kemi’ane tamamata heimana ‘atahaika ‘anutiyakame memexeiyatika xeimetsie paritiriyutsie mieme mayuyeitiani yukimana kaniyiweni; ‘ayumieme kapiyiwe yiki pita ‘anemeki memite’ayexeiya mana memanuyehakeni ya yiki pita ’anemeki meyuka’utiwani. 
Mexican_constitution 	Las autoridades electorales solamente podrán intervenir en los asuntos internos de los partidos políticos en los términos que señalen esta Constitución y la ley. 	‘Itsikate niuki xapatsie mika’utika memuti’ininiata memiwaranuka’uitiwa miki xeikía mekanayexeiyakakuni paritiriyu taitá meuyehakeni kapiyiwe, ‘itsikame ‘ena ke mitiku’utiwa ‘iki wimari ke maineni. 
Mexican_constitution 	Los partidos políticos nacionales tendrán derecho a participar en las elecciones de las entidades federativas y municipales. 	Paritiriyutsixi Mekiku miemetexi yaxeikía mekaneixeiyakakuni memitihiawarienitsie mana miyukene manukakeni ‘etsitarutsie metá munitsipiutsie. 
Mexican_constitution 	El partido político nacional que no obtenga, al menos, el tres por ciento del total de la votación válida emitida en cualquiera de las elecciones que se celebren para la renovación del Poder Ejecutivo o de las Cámaras del Congreso de la Unión, le será cancelado el registro. 	Kemi’ane paritiriyu haika ‘iniarika ‘u’axá kepauka memitiwutaruwanitsie ‘itsikate Mekiku kwieyaritsie mieme memitih+awarienitsie metá Cámara del Congreso de la Unión, kanakayeitiariemiki. 
Mexican_constitution 	II. La ley garantizará que los partidos políticos nacionales cuenten de manera equitativa con elementos para llevar a cabo sus actividades y señalará las reglas a que se sujetará el financiamiento de los propios partidos y sus campañas electorales, debiendo garantizar que los recursos públicos prevalezcan sobre los de origen privado. 	II. ‘Itsikame kanita’iwiyakamiki paritiriyute tinaime memitehexeiyani ke memitehayeiyaniki kanita’utiamiki kepai tumini memiteki’iweni yukimana metá muyuyexatanitsie, ‘ita’iwiyati tumini ke miraneika, xeikía meyuxexuiti memite‘uximayatika watumini hiki. 
Mexican_constitution 	El financiamiento público para los partidos políticos que mantengan su registro después de cada elección, se compondrá de las ministraciones destinadas al sostenimiento de sus actividades ordinarias permanentes, las tendientes a la obtención del voto durante los procesos electorales y las de carácter específico. 	Kepai tumini memite’iitiarieni kemi’ane paritiriyutsixi mira’iwauriwa memu’axixi, mekanei’iwekuni yiki meteyurieti ya yukimana me’iku’iweti, kepauka xeime niukieya me’axikuni metá hipame yeme mikitsie ‘aneneni. 
Mexican_constitution 	Se otorgará conforme a lo siguiente y a lo que disponga la ley: 	‘Itsikame kaniyetuamiki ‘ena xapatasie kaniereti metá ‘itsikame ke maineni: 
Mexican_constitution 	a) El financiamiento público para el sostenimiento de sus actividades ordinarias permanentes se fijará anualmente, multiplicando el número total de ciudadanos inscritos en el padrón electoral por el sesenta y cinco por ciento del salario mínimo diario vigente para el Distrito Federal. 	a) Ke mitiyurieniki tukari miyehane kaniyetuiyamiki xei witaritsie, ‘iti’iniatame ke meyupaimeti teiteri memaka’uxa xapatasie memutiwutaruwatsie metá haika tewiyari heimana ‘auxuwi ‘iniariyari Distrito Ferederal ke memite’iwa. 
Mexican_constitution 	El treinta por ciento de la cantidad que resulte de acuerdo a lo señalado anteriormente, se distribuirá entre los partidos políticos en forma igualitaria y el setenta por ciento restante de acuerdo con el porcentaje de votos que hubieren obtenido en la elección de diputados inmediata anterior. 	Tamamata haika ‘iniariyari xika ‘imatirieka maxaxatsiwa ‘imatirieka, mekaniyetuaxiakuni paritiriyutsixi wahetsia, haika tewiyari miyukuhayeikawa ke meyupaimeti hetsiena memiwutaruwa xeputaritsixi wahetsia. 
Mexican_constitution 	b) El financiamiento público para las actividades tendientes a la obtención del voto durante el año en que se elijan Presidente de la República, senadores y diputados federales, equivaldrá al cincuenta por ciento del financiamiento público que le corresponda a cada partido político por actividades ordinarias en ese mismo año; cuando sólo se elijan diputados federales, equivaldrá al treinta por ciento de dicho financiamiento por actividades ordinarias. 	b) Tumini miyetuiwa wutu mika’iwaurienitsie kepauwa Mekiku ‘itsikame tsiere hekwame manukakerienitsie. >Tsenaruritsixi metá xeputaritsixi Mekiku kwieyaritsie mieme, kanayeimiki huta tewiyari heimana tamamata heimana ke memuyupaimeni teiteri mana kani’iniarini kepapaimeme paritiriyutsixi memiku’axikeni miki witaritsie; kepauka ta xeputaritsie xeikía memitihiawarieni ‘ana xeikía ta kanihikitikamiki xei tewiyari heimana tamamata ‘etsiwa mirayexeiyaniki. 
Mexican_constitution 	c) El financiamiento público por actividades específicas, relativas a la educación, capacitación, investigación socioeconómica y política, así como a las tareas editoriales, equivaldrá al tres por ciento del monto total del financiamiento público que corresponda en cada año por actividades ordinarias. 	c) Tumini teiteriwaki manayeneika, ‘ikitiarikatsie mieme, memiyiwaweniki, memitehetimamateniki, ‘iwiyarika tuminitsie metá puritikatsie, yaxeikía waiká ‘utiarikatsie miranayeneikani, haika ‘iniariyari kanayeimiki ke meyupaimeti teiteri memihikitini metá ke memiteyurieni xei witari manuhakenitsie. 
Mexican_constitution 	El treinta por ciento de la cantidad que resulte de acuerdo a lo señalado anteriormente, se distribuirá entre los partidos políticos en forma igualitaria y el setenta por ciento restante de acuerdo con el porcentaje de votos que hubieren obtenido en la elección de diputados inmediata anterior. 	Xika tamamata haika hayani ‘imatiriekatsie ‘utiarika maxaxatsiwa mekanita’iixiakuni yaxeikía papaimeme muyukuhayeikawa tari xeputaritsixi ke meyupaimeti memite’unakixi memutihiawarietsie. 
Mexican_constitution 	La ley fijará los límites a las erogaciones en los procesos internos de selección de candidatos y en las campañas electorales. 	‘Itsikame ya kanitayimiki hakewa meuye’atikani xitiarika paritiriyu taitá yu‘itsikate memitihiawarienitsie metá meyukuxatati kiekari memikexiya. 
Mexican_constitution 	La propia ley establecerá el monto máximo que tendrán las aportaciones de sus militantes y simpatizantes; ordenará los procedimientos para el control, fiscalización oportuna y vigilancia, durante la campaña, del origen y uso de todos los recursos con que cuenten; asimismo, dispondrá las sanciones que deban imponerse por el incumplimiento de estas disposiciones. 	Yaxeikía kaniwata’iwiyakamiki kepai hipati tumini yuparitiriyutsie memiyetuayani; kanitixatamiki kepai mitikamieni, ‘iwaurika, ‘iwiyarika, wutu memika’iwaunitsie tumini ke miraneika ya me’utiyuati; yaxeikía kepai mitiyiní xika kahanu’ena. 
Mexican_constitution 	De igual manera, la ley establecerá el procedimiento para la liquidación de las obligaciones de los partidos que pierdan su registro y los supuestos en los que sus bienes y remanentes serán adjudicados a la Federación. 	Hapaina tsiere, ‘itsikame niukieya kanitixatamiki kepai memitekahuni paritiriyutsixi xika yuxekitsitiru heuyehiani metá xika mirexeiyatika metá miranayenexia Mekiku kwieyaritsie kanayeimiki. 
Mexican_constitution 	III. Los partidos políticos nacionales tendrán derecho al uso de manera permanente de los medios de comunicación social. 	III. Paritiriyutsixi Mekiku mixuawe ya mekateniyuyexatakuni mitikuxaxatsiwatsie. 
Mexican_constitution 	Los candidatos independientes tendrán derecho de acceso a prerrogativas para las campañas electorales en los términos que establezca la ley. 	Kemi’ane yukimana memiyuyexata ‘itsikametsie mekaneixeiyakakuni ‘iwaurika ‘iki xapa ke mayetainetsie kaniereti. 
Mexican_constitution 	Apartado A. El Instituto Nacional Electoral será autoridad única para la administración del tiempo que corresponda al Estado en radio y televisión destinado a sus propios fines y al ejercicio del derecho de los partidos políticos nacionales, de acuerdo con lo siguiente y a lo que establezcan las leyes: 	A Hetsie. >Instituto Nacional Electoral kanihikitikamiki ‘itsikame miya miti’anetsie mieme kepapaimexia memanayeneikani xawiyutsie metá terewitsiunitsie yuhetsie mieme metá ke mitiyiweni paritiriyu mitihikitikani kiekaritsie muxuawe, ‘ikitsie xapa mitixatsieni ‘ena metá niuki ‘itsikame me’enieti. 
Mexican_constitution 	a) A partir del inicio de las precampañas y hasta el día de la jornada electoral quedarán a disposición del Instituto Nacional Electoral cuarenta y ocho minutos diarios, que serán distribuidos en dos y hasta tres minutos por cada hora de transmisión en cada estación de radio y canal de televisión, en el horario referido en el inciso d) de este apartado. 	a) Iwaurika kepauka miyukatsutiani kepauka yeme miyetuani yu‘iyari Instituto Nacional Electoral kaniwapitiamiki xeikía huta tewiyari heimana ‘atahaika xei tukaritsie, huta ya haika minutuyari xei hurayari ‘anukayeikakaku xawiyutsie metá terewitsiunitsie, ke’upaukakaku ‘ikitsie maka’uka. 
Mexican_constitution 	En el período comprendido entre el fin de las precampañas y el inicio de las campañas, el cincuenta por ciento de los tiempos en radio y televisión se destinará a los fines propios de las autoridades electorales, y el resto a la difusión de mensajes genéricos de los partidos políticos, conforme a lo que establezca la ley; 	Kepauka mayeikani precampaña metá campaña muyukatsutuanitsie, huta tewiyari heimana tamamata kanihikitikamiki xawiyutsie metá terewitsiunitsie ke memiteku’eriwa memaxaxataniki metá miyukuhayeikawa ‘etsiwa memitewaraxaxatiwaniki xeikía paritiriyutsie mieme, ‘itsikame ‘enieti ke maineni. 
Mexican_constitution 	b) Durante sus precampañas, los partidos políticos dispondrán en conjunto de un minuto por cada hora de transmisión en cada estación de radio y canal de televisión; el tiempo restante se utilizará conforme a lo que determine la ley; 	b) Memiyuyexatanitsie; paritiriyu mekaneixeiyakakuni xei minutuyari xei huratsie mieme xawiyutsie metá terewitsiunitsie; 
Mexican_constitution 	c) Durante las campañas electorales deberá destinarse para cubrir el derecho de los partidos políticos y los candidatos al menos el ochenta y cinco por ciento del tiempo total disponible a que se refiere el inciso a) de este apartado; 	c) Memuyuyexaxatanitsie memitihiawariwanitsie paritiriyutsixi mekaneixeiyani nauka tewiyari heimana nauka paimemetsie ’akame memanayeneikani ‘iki xapa ke mireuku’uxa ‘enieti. 
Mexican_constitution 	d) Las transmisiones en cada estación de radio y canal de televisión se distribuirán dentro del horario de programación comprendido entre las seis y las veinticuatro horas; 	d) Memenayenenetiwa xawiyutsie metá terewitsiunitsie xei tukari kananayeneikam+k+ ‘ataxewi ‘upaukakaku metá xei tewiyari heimana nauka ‘upaukakaku; 
Mexican_constitution 	e) El tiempo establecido como derecho de los partidos políticos y, en su caso, de los candidatos independientes, se distribuirá entre los mismos conforme a lo siguiente: el setenta por ciento será distribuido entre los partidos políticos de acuerdo a los resultados de la elección para diputados federales inmediata anterior y el treinta por ciento restante será dividido en partes iguales, de las cuales, hasta una de ellas podrá ser asignada a los candidatos independientes en su conjunto; 	e) Kepaimemeki paritiriyutsixi memeye’atiwani metá, memeixeiyani, hipati memanuyuti’uitiwa, mekaniyutawiwiriekuni yaxeikía papaimeme kepai memitehanayeneikani memitihiawarienitsie xeputaritsixi ‘imatirieka miemetsie ke memitehanayenexia, metá tamamata haika ‘iniariyari yaxeikía papaimeme mekaniyuyetuiriekuni memanukawirixia, kaniyiweni xeimetsie xeikía mitinake, yukimana memanuyiti’uitiwa; 
Mexican_constitution 	f) A cada partido político nacional sin representación en el Congreso de la Unión se le asignará para radio y televisión solamente la parte correspondiente al porcentaje igualitario establecido en el inciso anterior, y 	f) Xika xewiti paritiriyu Congreso de la Unión hixie kahayuhekiata xawiyutsie metá terewitsiunitsie xeikía kanipitiariemiki kepaimeme xeikía maxaxatsiwa ‘iki xapatsie ‘imatirieka; metá 
Mexican_constitution 	g) Con independencia de lo dispuesto en los apartados A y B de esta base y fuera de los períodos de precampañas y campañas electorales federales, al Instituto Nacional Electoral le será asignado hasta el doce por ciento del tiempo total de que el Estado disponga en radio y televisión, conforme a las leyes y bajo cualquier modalidad; del total asignado, el Instituto distribuirá entre los partidos políticos nacionales en forma igualitaria un cincuenta por ciento; el tiempo restante lo utilizará para fines propios o de otras autoridades electorales, tanto federales como de las entidades federativas. 	g) Ke mutiyiane yuxexuiti ‘utsika A metá B hetsie metá mikatitiwutaruwatsienitsie Instituto Nacional Electoral kaniyexatsiyariemiki tamamata heimana huta paimemetsie ‘akame ‘etsitaru miwawa kepuka miranayeneikani xawiyutsie metá terewitsiunitsie, ‘itsikame ‘enieti metá kepai, Instituto paritiriyu mitiwatapitiani miki ‘ayumieme metá yaxeikía papaimeme huta tewiyari heimana tamamata, yuhetsie mieme kanayeitiamiki ya tini hipame paritiriyutsixi wa‘ixiariwame ya tini ‘etsitarutsie timieme. 
Mexican_constitution 	Cada partido político nacional utilizará el tiempo que por este concepto le corresponda en los formatos que establezca la ley. 	Meyuxexuiti paritiriyutsixi mixuawe kepaimeme xawiyutsie metá terewitsiunitsie ‘itsikame me’enieti. 
Mexican_constitution 	En todo caso, las transmisiones a que se refiere este inciso se harán en el horario que determine el Instituto conforme a lo señalado en el inciso d) del presente Apartado. 	Kepauka manayeneikani ‘iki’itsie xapa kanaka’uka metá Instituto ke maineni ‘ikitsie ke mireuku’uxatsie kaniereti. 
Mexican_constitution 	En situaciones especiales, el Instituto podrá disponer de los tiempos correspondientes a mensajes partidistas a favor de un partido político, cuando así se justifique. 	Xika tikwinimiemetini Instituto, kanitaxatamiki kepaimexia mititaxatsieni paritiriyutsie mieme, kepauka mipai mititaniukieni. 
Mexican_constitution 	Los partidos políticos y los candidatos en ningún momento podrán contratar o adquirir, por sí o por terceras personas, tiempos en cualquier modalidad de radio y televisión. 	Paritiriyu metá memitihiawarieni mekapiyiwawe xawiyutsie metá terewitsiunitsie hipame wahamatia memitewananairieka. 
Mexican_constitution 	Ninguna otra persona física o moral, sea a título propio o por cuenta de terceros, podrá contratar propaganda en radio y televisión dirigida a influir en las preferencias electorales de los ciudadanos, ni a favor o en contra de partidos políticos o de candidatos a cargos de elección popular. 	Xewiti tewi metá tixaiti rayexeiyame, xeime hetsie mieme, pikayiwe hipame miwatahiaweni xawiyu metá terewitsiunitsie mieme xeime xeikía paritiriyu makanixeiyakakuni memiwutaruwanitsie, metá xeime xeikía memika’ayexeiyani. 
Mexican_constitution 	Queda prohibida la transmisión en territorio nacional de este tipo de mensajes contratados en el extranjero. 	Pikayiwe tsiere hawai kiekaritsie takiekaritsie manayaneikani hawai pita heita’aitsieme. 
Mexican_constitution 	Las disposiciones contenidas en los dos párrafos anteriores deberán ser cumplidas en el ámbito de los estados y el Distrito Federal conforme a la legislación aplicable. 	Hutame ‘imatiriekatsie miti’utsie kanaye’atiariwamiki ‘etsitaru ke miti’aneni metá Distrito Federal kepai ‘ukiyari mitikayani. 
Mexican_constitution 	Apartado B. Para fines electorales en las entidades federativas, el Instituto Nacional Electoral administrará los tiempos que correspondan al Estado en radio y televisión en las estaciones y canales de cobertura en la entidad de que se trate, conforme a lo siguiente y a lo que determine la ley: 	B Hetsie. >Memitihiawarienitsie Mekiku kwieyaritsie mieme, Instituto Nacional Electoral kanitixatamiki ke memiteutetereni xawiyu metá terewitsiuni, ‘itsikame ke mutaineni;: 
Mexican_constitution 	a) Para los casos de los procesos electorales locales con jornadas comiciales coincidentes con la federal, el tiempo asignado en cada entidad federativa estará comprendido dentro del total disponible conforme a los incisos a), b) y c) del apartado A de esta base; 	a) Memitihiawarienitsie ‘estitaru metá Mekiku kwieyaritsie miemeki, kepaimexia memanayeneikani kaniyutiniitiwani ke mireku’uxa a), b) metá c) A hetsie mieme ke mutaine; 
Mexican_constitution 	b) Para los demás procesos electorales, la asignación se hará en los términos de la ley, conforme a los criterios de esta base constitucional, y 	b) Hipametsie memitihiawariwatsie, ‘itsikame ya hainekaku katiniyimiki, ‘iki xapa ke mutainenitsie mekaniereti, 
Mexican_constitution 	c) La distribución de los tiempos entre los partidos políticos, incluyendo a los de registro local, y los candidatos independientes se realizará de acuerdo con los criterios señalados en el apartado A de esta base y lo que determine la legislación aplicable. 	c) Kepaimeme memiyupitiani tukari paritiriyutsixi memuyexaxatani, meyunaiti meyutinime, metá yukimana memanuyuti’uitiwa katiniyimiki ‘iki xapa A hetsie mieme mekaniereti ke mireku’uxa ke mitikayani. 
Mexican_constitution 	Cuando a juicio del Instituto Nacional Electoral el tiempo total en radio y televisión a que se refieren este apartado y el anterior fuese insuficiente para sus propios fines, los de otras autoridades electorales o para los candidatos independientes, determinará lo conducente para cubrir el tiempo faltante, conforme a las facultades que la ley le confiera. 	Kapuka Instituto Nacional Electoral hepaitsita ‘itsimipaimeni xawiyutsie metá terewitsiunitsie memanayeneika ‘ena ma’utika yuhetsie mieme, ‘ukiyarite memiwatihiawariwa ya tini ‘itsikate memiwatihiawe, ke mitiyurieni kepaimeti ‘iniari meuyeweká, ‘itsikame niukieya ke maineni. 
Mexican_constitution 	Apartado C. En la propaganda política o electoral que difundan los partidos y candidatos deberán abstenerse de expresiones que calumnien a las personas. 	C Hetsie. >Memiyuyexaxatanitsie memiyukuxatanitsie paritiriyutsixi metá memanuye’uitiwa heu’erieti hipame ‘axa mekatewamamatiwati. 
Mexican_constitution 	Durante el tiempo que comprendan las campañas electorales federales y locales y hasta la conclusión de la respectiva jornada comicial, deberá suspenderse la difusión en los medios de comunicación social de toda propaganda gubernamental, tanto de los poderes federales y estatales, como de los municipios, órganos de gobierno del Distrito Federal, sus delegaciones y cualquier otro ente público. 	Kepaimexia muyuruwani ‘ixatsi miki hepaitsita mieme ‘etsitaru metá Mekiku mieme metá kepauka meutipaare wahiawiya, mekatenihayewakuni tsiere memiwaranayenenetiwa miki rayexeiyati, naitsarie, Mékiku mieme metá ‘etsitarute, munitsipiyute, Distrito Federal mirawiwiya, metá hipati teiteri. 
Mexican_constitution 	Las únicas excepciones a lo anterior serán las campañas de información de las autoridades electorales, las relativas a servicios educativos y de salud, o las necesarias para la protección civil en casos de emergencia. 	Xeikía mekanikuxaxatakuni ke memitanayeneika mikitsie timieme, ‘ikitiarika memikuxata metá ‘aixia mireu’eriekaki, ya tini kemi’ane yemeki waiká meuyeweká. 
Mexican_constitution 	Apartado D. El Instituto Nacional Electoral, mediante procedimientos expeditos en los términos de la ley, investigará las infracciones a lo dispuesto en esta base e integrará el expediente para someterlo al conocimiento y resolución del Tribunal Electoral del Poder Judicial de la Federación. 	D Hetsie. >Instituto Nacional Electoral, ke mitikuyine maka’utika ‘itsikame, kanitiwaumiki hakewa ‘axa mitikatia xika tiukaxeiya kanitahekiriyamiki metá kaniyetuamiki Tribunal Electoral del Poder Judicial de la Federación hetsia. 
