Mexican_constitution 	CONSTITUCIÓN POLÍTICA DE LOS ESTADOS UNIDOS MEXICANOS 	LEE NDI'IN LO'O NE' SE'EN LYI'YA LOO CHIJYA' 
Mexican_constitution 	En el sistema de planeación democrática y deliberativa, el Congreso de la Unión tendrá la intervención que señale la ley. 	Ta 'in ne' nchca Duiputado lo'o ta 'in ne' nchca Senador sten yu'hui loo ña'an nu cu'ni cha' can' tñan, tsaña'an cha' nu ndi'in tyaa lee cha'. 
Mexican_constitution 	B. El Estado contará con un Sistema Nacional de Información Estadística y Geográfica cuyos datos serán considerados oficiales. Para la Federación, estados, Distrito Federal y municipios, los datos contenidos en el Sistema serán de uso obligatorio en los términos que establezca la ley. 	B. Ne' nchca Gubiernu ntsu'hui cha' tñan ne' ne' sca sistema nu taa suun lo'o sca cuiya' a cunta lo'o se'en cha' 'in quichen Chijya', lo' ne' nu nchca Bsya Chijya' lo'o gubiernu 'in cunda scaa Estado, lo'o Distrito 'in quichen Chijya' lo'o na'an tñan municipio 'ni cha' caja tñan cu'ni nchgaa cha' nu ljyan loo sistema can' 'in ne' tsaña'an ndi'in tyaa lee cha'. 
Mexican_constitution 	La responsabilidad de normar y coordinar dicho Sistema estará a cargo de un organismo con autonomía técnica y de gestión, personalidad jurídica y patrimonio propios, con las facultades necesarias para regular la captación, procesamiento y publicación de la información que se genere y proveer a su observancia. 	Ntsu'hui cha' tyi'in sca ta nten nu cu'ni tñan tsalo'o 'in sistema can' nde loo, lo' ta nte nten can' ca ne' nten nu m'ni cha'an, nten nu ntsu'hui lyoo lo'o cunta cha' 'in Lee, cha' 'in ne' cu'ni ne' tñan, lo' cha' cuiya' nu ntsu'hui 'in ne' nu cu'ni chu'hue ne' a cunta culoo nchgaa suun nu taa sistema can', a cunta cu'ni quii' 'in na. 
Mexican_constitution 	El organismo tendrá una Junta de Gobierno integrada por cinco miembros, uno de los cuales fungirá como Presidente de ésta y del propio organismo; serán designados por el Presidente de la República con la aprobación de la Cámara de Senadores o en sus recesos por la Comisión Permanente del Congreso de la Unión. 	Tsa ca'yu lca ne' ntsu'hui cha' cu'ni ne' tñan, sca ne' ntsu'hui cha' chcua loo ne' can' nu can bsya 'in ta can', ne' nchca Bsya Chijya' ntsu'hui cha' culo ton 'in ne' lo' ta 'in ne' nchca Senador su'hua loo 'in ne', lo' cha' lja la a ndiyo' tucua ne' Senador can', ne' nu nguinu tñan loo ne' qui'ni ca'an 'in culo huii 'in ne' nu cu'ni tñan can'. 
Mexican_constitution 	La ley establecerá las bases de organización y funcionamiento del Sistema Nacional de Información Estadística y Geográfica, de acuerdo con los principios de accesibilidad a la información, transparencia, objetividad e independencia; los requisitos que deberán cumplir los miembros de la Junta de Gobierno, la duración y escalonamiento de su encargo. 	Lee nu nguinu scua 'in quichen Chijya' ntsu'hui cha' tyi'in tyaa na nchgaa ña'an nu ntsu'hui cha' tyi'in lo' cu'ni sistema can' tñan, si'ya a tucui ña'an quija lyoo scasca loo nan, cui' sca cha' nu la ya' cha' nu chcan' ña'an lo' nchgaa cha' nu ntsu'hui cha' ca ja'an na ca lca cha' mdi'in tyaa ne' ti' se'en mdo'o ton ne' cui' can' ycui' ña'an cu'ya ne' cunda scaa ne' tñan lo' tsala xaa cu'ya ne' tñan can'. 
Mexican_constitution 	Los miembros de la Junta de Gobierno sólo podrán ser removidos por causa grave y no podrán tener ningún otro empleo, cargo o comisión, con excepción de los no remunerados en instituciones docentes, científicas, culturales o de beneficencia; y estarán sujetos a lo dispuesto por el Título Cuarto de esta Constitución. 	Ne' nu cu'ni tñan lo'o sistema can' tca cha'an ne' cha' nde'en sca cha' cua' tnu m'ni ne' una a tca cu'ni ne' xca tñan uta cu'ya ne' xca cunta, una tca cu'ya ne' sca cunta nu a lo'o lyiya' 'in sca se'en uta sca se'en nu nda yaa' ne' 'in nten, una tsa ncha'an ne' tsaña'an ndi'in tyaa cha' nu nchca jacua nu ljyan loo lee nu nguinu scua 'in quichen Chijya'. 
Mexican_constitution 	C. El Estado contará con un Consejo Nacional de Evaluación de la Política de Desarrollo Social, que será un órgano autónomo, con personalidad jurídica y patrimonio propios, a cargo de la medición de la pobreza y de la evaluación de los programas, objetivos, metas y acciones de la política de desarrollo social, así como de emitir recomendaciones en los términos que disponga la ley, la cual establecerá las formas de coordinación del órgano con las autoridades federales, locales y municipales para el ejercicio de sus funciones. 	C. Quichen Chijya' ntsu'hui cha' tyu'hui sca ta nten nu qui'ni ca'an 'in su'hua loo ña'an nguiaa ndo'o quichen Chijya' nde loo cui' cha' 'in ne' cu'ni ne' tñan, lo' ca ne' nten nu ntsu'hui lyoo lo'o cunta cha' 'in Lee, su'hua loo ne' nchgaa se'en ndi'in nten lo'o ña'an ndi'in ne' lo'o cha' ti'i chendyu, lo' qui'ni ca'an 'in ne' su'hua loo ne' scasca cha' nu ndaa Gubiernu nu cui' tñan cu'ni taya' 'in nten can' nu tyi'o ne' nde loo cui' cuaña'an ntsu'hui cha' ta cueen ne' 'in nten lo'o cha' can' tsaña'an nu ndi'in tyaa lee cha' lo' cunan ne' ña'an cu'ni sca scasca ne' nchca bsya se'en lyi'ya loo Chijya' si'yana cu'ni cha' can' tsu'hue se'en ndi'in nten. 
Mexican_constitution 	El Consejo Nacional de Evaluación de la Política de Desarrollo Social estará integrado por un Presidente y seis Consejeros que deberán ser ciudadanos mexicanos de reconocido prestigio en los sectores privado y social, así como en los ámbitos académico y profesional; tener experiencia mínima de diez años en materia de desarrollo social, y no pertenecer a algún partido político o haber sido candidato a ocupar un cargo público de elección popular. 	Ta nten nu ntsu'hui cha' su'hua loo ña'an nguiaa ndo'o quichen Chijya' nde loo tsa cati lca ne' ntsu'hui cha' cu'ni ne' tñan, sca ne' ntsu'hui cha' ca ne' bsya lo' cha xcua lca ne' ntsu'hui cha' ta'a cu'ni ne' tñan, 'ni cha' ne' Chijya' nu cua' cuaan nscua cha' 'in ca ne' se'en lyi'ya ne' tñan, ca ne' sca tucui ndon tiyaa a cunta m'ni cha'an ne' a cunta cua' ntsu'hui tsu'hue cha' tiyaa 'in ne' cua' ntsu'hui tii yjan lo'o tñan nu cu'ni ne', lo' a sca ta nten ntsu'hui cha' ca ne' uta nde'en la candidato cua' ncua ne' nu ncua ti' cu'ya tñan lo' a m'ni ne' canan se'en ngulo ton nten 'in ne'. 
Mexican_constitution 	Serán nombrados, bajo el procedimiento que determine la ley, por el voto de las dos terceras partes de los miembros presentes de la Cámara de Diputados. 	Ntsu'hui cha' tyi'o ton ne' cu'ni ne' tñan re tsaña'an nu ndi'in tyaa lee cha' lo' qui'an la 'in tsa tu'hue ne' nchca Diputado ntsu'hui cha' culo ton 'in ne'. 
Mexican_constitution 	El nombramiento podrá ser objetado por el Presidente de la República en un plazo de diez días hábiles y, si no lo hiciere, ocupará el cargo de consejero la persona nombrada por la Cámara de Diputados. Cada cuatro años serán sustituidos los dos consejeros de mayor antigüedad en el cargo, salvo que fuesen propuestos y ratificados para un segundo período. 	Lo' cha' ne' nchca Bsya Chijya' a sca la cha' chcui' ne' tsani' tsa tii tsaan ña'an mdo'o ton ne', ntsu'hui cha' cu'ya ne' tñan can'. Chcui jacua yjan tucua ne' nu ngui'ni tñan can' ntsu'hui cha' cha'an ne', cui' ne' nu cua' s'ni la ngui'ni 'in na, una cha' caja nu chcui' cha' 'in ne' tca tsaquiñan ne' nu cua' nchca tucua juesa nu cu'ya ne' tñan can'. 
Mexican_constitution 	El Presidente del Consejo Nacional de Evaluación de la Política de Desarrollo Social será elegido en los mismos términos del párrafo anterior. 	Ne' nu lca bsya cha' 'in tñan can' cui' ne' nsu'hua loo ña'an nguiaa ndo'o quichen Chijya' nde loo cui' ña'an nu mdo'o nchgaa la ña'an ta'a lyi'ya ne' tñan cui' cuaña'an ntsu'hui cha' tyi'o ton ne'. 
Mexican_constitution 	Durará en su encargo cinco años, podrá ser reelecto por una sola vez y sólo podrá ser removido de sus funciones en los términos del Título Cuarto de esta Constitución. 	Lo' tsa ca'yu yjan ntsu'hui cha' cu'ya ne' tñan, lo' siya' ti ya' ntsu'hui cha' tyi'o ton ne' lo' tca cha'an ne' cha' nde'en la cha' cu'ni ne', cui' cha' nu ndi'in tyaa cha' nu cua' nchca jacua nu ljyan loo lee nu nguinu scua 'in quichen Chijya'. 
Mexican_constitution 	El Presidente del Consejo Nacional de Evaluación de la Política de Desarrollo Social presentará anualmente a los Poderes de la Unión un informe de actividades. 	Ne' nu lca bsya cha' 'in tñan can' cui' ne' nsu'hua loo ne' ña'an nguiaa ndo'o quichen Chijya' nde lo' ntsu'hui cha' tyaa ne' cunta nchgaa yjan ña'an nguiaa ngui'ni ne' tñan 'in cunda scaa ne' nu lyi'ya cunta 'in quichen Chijya'. 
Mexican_constitution 	Comparecerá ante las Cámaras del Congreso en los términos que disponga la ley. 	Lo'o tloo na'an ta 'in ne' nchca Diputado lo'o ta 'in ne' nchca Senador tsaña'an ndi'in tyaa lee cha'. 
Mexican_constitution 	Artículo 27. 	Lee cuiya' 27. 
Mexican_constitution 	La propiedad de las tierras y aguas comprendidas dentro de los límites del territorio nacional, corresponde originariamente a la Nación, la cual ha tenido y tiene el derecho de transmitir el dominio de ellas a los particulares, constituyendo la propiedad privada. 	Nchgaa yuu lo'o tyi'a nu ndi'in ni' se'en lyi'ya loo quichen Chijya' na 'in quichen Chijya' ca lca na lo' cui' na ntsu'hui cha' cuiya' 'in na tyaa na cha' cuiya' can' 'in sca yu qui'yu ña'an ca si'yana cui' can' chu'hui cunta 'in na. 
Mexican_constitution 	Las expropiaciones sólo podrán hacerse por causa de utilidad pública y mediante indemnización. 	Tca culyaa ne' cha' cuiya' ntsu'hui 'in sca tucui lo'o sca nan cha' na ntsu'hui tñan cu'ni na 'in nten quichen una 'ni cha' su'hua lyiya' ne' nan can'. 
Mexican_constitution 	La nación tendrá en todo tiempo el derecho de imponer a la propiedad privada las modalidades que dicte el interés público, así como el de regular, en beneficio social, el aprovechamiento de los elementos naturales susceptibles de apropiación, con objeto de hacer una distribución equitativa de la riqueza pública, cuidar de su conservación, lograr el desarrollo equilibrado del país y el mejoramiento de las condiciones de vida de la población rural y urbana. 	Quichen Chijya' ntsu'hui suun 'in na nchgaa xaa tyi'in tyaa na cha' ña'an ntsu'hui cha' su'hua lyiya' nchgaa nten nu cui' ndlo tñan loo yuu 'in, cua' ña'an cha' nu tyi'in tyaa nten quichen, cui' na tyi'in tyaa tsu'hue na, se'en nu ca tsu'hue 'in nchgaa tucui, a cunta se'en nu caja tñan cu'ni nchgaa loo nan nu ndyi'o loo yuu, cui' nan caja tñan cu'ni 'in ne' lo'o cha' nu n'ni 'in ne', ña'an ca si'yana cha' culyiya' 'in quichen Chijya' lcuaa cutsa ne' 'in na, lo' cuaña'an tca xñi ne' cunta 'in na si'yana a tsa lyijyi na 'in quichen Chijya' si'yana cui' na taya' na 'in nten ndi'in quichen tnu lo'o quichen suhue ti se'en nu caja ña'an tyi'o ne' nde loo. 
Mexican_constitution 	En consecuencia, se dictarán las medidas necesarias para ordenar los asentamientos humanos y establecer adecuadas provisiones, usos, reservas y destinos de tierras, aguas y bosques, a efecto de ejecutar obras públicas y de planear y regular la fundación, conservación, mejoramiento y crecimiento de los centros de población; para preservar y restaurar el equilibrio ecológico; para el fraccionamiento de los latifundios; para disponer, en los términos de la ley reglamentaria, la organización y explotación colectiva de los ejidos y comunidades; para el desarrollo de la pequeña propiedad rural; para el fomento de la agricultura, de la ganadería, de la silvicultura y de las demás actividades económicas en el medio rural, y para evitar la destrucción de los elementos naturales y los daños que la propiedad pueda sufrir en perjuicio de la sociedad. 	Si'ya cha' re ntsu'hui cha' quinu scua nchgaa cha' ña'an nu ntsu'hui cha' tyi'in nten lo' tsala nan can' tca caja tñan cu'ni 'in ne' lo' la tca caja tñan cu'ni na 'in ne' lo' la a tca na, ña'an nchca ti yuu, tyi'a yca tnu nu nducua ni' quixin', una xa nu cu'ni ne' scasca tñan 'in quichen lo' cu'ni chu'hue ne' a cunta tyi'in tyaa tsu'hue ne', tyi'in tyaa se'en ne', ticui' cuaña'an tsa culoo cunda scaa se'en ndi'in sca quichen, si'yana tsaquiñan ne' lo' cu'ni chu'hue ne' se'en nducua yca, nu su'hue ne' sca se'en cua' tlyu se'en n'ni ne' tñan lo' tyi'in tyaa ne' 'in na tsaña'an nchcui' lee nu nguinu scua 'in quichen Chijya', ña'an ntsu'hui cha' tyi'in lo' cu'ni ne' nu ndi'in sca quichen tñan, nu tca culo ne' tñan can' nde loo lo'o ña'an cuta ne' scasca nan' loo yuu can' uta cu'ni co'o ne' bta uta xa cuta ne' scasca yca tnu se'en can' a cunta cunan ne' ña'an caja tñin 'in ne' se'en ndi'in ne' una a ntsu'hui cha' cujlyo ne' scasca nan nducua lo yuu re lo' cuaña'an a ntsu'hui cha' cu'ni ne' ti'i lo'o scasca nten. 
Mexican_constitution 	Corresponde a la Nación el dominio directo de todos los recursos naturales de la plataforma continental y los zócalos submarinos de las islas; de todos los minerales o substancias que en vetas, mantos, masas o yacimientos, constituyan depósitos cuya naturaleza sea distinta de los componentes de los terrenos, tales como los minerales de los que se extraigan metales y metaloides utilizados en la industria; los yacimientos de piedras preciosas, de sal de gema y las salinas formadas directamente por las aguas marinas; los productos derivados de la descomposición de las rocas, cuando su explotación necesite trabajos subterráneos; los yacimientos minerales u orgánicos de materias susceptibles de ser utilizadas como fertilizantes; los combustibles minerales sólidos; el petróleo y todos los carburos de hidrógeno sólidos, líquidos o gaseosos; y el espacio situado sobre el territorio nacional, en la extensión y términos que fije el Derecho Internacional. 	Quichen Chijya' ca ndlo tñan 'in nchgaa nan nu ndi'in loo chendyu se'en ndi'in na re, a cunta lo'o se'en ndi'in yuu mtyi loo tyi'a tujo'o, nchgaa loo nan nu ntsu'hui lyoo ña'an nchca ti' nchgaa loo nan nu nchcui' ne' lo'o vetas, lo'o nan nu nu nducua lo ti yuu a cunta scasca se'en nducua tyi'a, lo'o nchgaa nan nu ndi'in yla sca se'en lo' si'i yuu ca lca na ña'an nchca ti scasca loo nan nu ntsu'hui lyoo se'en ntñan ne' scasca chcuan nu ndyijyi tñan cu'ni 'in ne' se'en ndujui' ne' nan, se'en ndo'o nchgaa loo quee nu tsu'hue ña'an a cunta lo'o teje' nu nchcui' na lo'o Gema lo'o teje' tiyen' nu ndyi'o loo tyi'a tujo'o; a cunta lo'o nchgaa loo nan nu ndyi'o scasca se'en nsta ne' quee nu ntsu'hui nde ni' yuu lo' nten chendyu nsta 'in quee can', se'en nducua nan nu nchcui' na lo'o minerales cui' nan nu n'ni ne' cha' ndiyaa scasca yuu cuti, uta nan nu ndiquin ne' ni' carro, uta tyi'a ndiquin nu ndiya' gasolina, can' nguiten nchgaa loo nan nu lca tyi'a lo'o nan nu tla a cunta lo'o scasca loo gas. A cunta cui' quichen Chijya' ndlo tñan loo yuu se'en nd'in nan nu nchcui' na cha' 'in re a cunta lo'o ña'an xeen se'en can' cui' quichen Chijya' ndlo tñan 'in na tsaña'an nu ndi'in tyaa cha' nu nga'an cha' qui'ni ca'an 'in na. 
Mexican_constitution 	Son propiedad de la Nación las aguas de los mares territoriales en la extensión y términos que fije (sic DOF 20-01-1960) Derecho Internacional; las aguas marinas interiores; las de las lagunas y esteros que se comuniquen permanente o intermitentemente con el mar; las de los lagos interiores de formación natural que estén ligados directamente a corrientes constantes; las de los ríos y sus afluentes directos o indirectos, desde el punto del cauce en que se inicien las primeras aguas permanentes, intermitentes o torrenciales, hasta su desembocadura en el mar, lagos, lagunas o esteros de propiedad nacional; las de las corrientes constantes o intermitentes (sic DOF 20-01-1960) y sus afluentes directos o indirectos, cuando el cauce de aquéllas en toda su extensión o en parte de ellas, sirva de límite al territorio nacional o a dos entidades federativas, o cuando pase de una entidad federativa a otra o cruce la línea divisoria de la República; la de los lagos, lagunas o esteros cuyos vasos, zonas o riberas, estén cruzadas por líneas divisorias de dos o más entidades o entre la República y un país vecino, o cuando el límite de las riberas sirva de lindero entre dos entidades federativas o a la República con un país vecino; las de los manantiales que broten en las playas, zonas marítimas, cauces, vasos o riberas de los lagos, lagunas o esteros de propiedad nacional, y las que se extraigan de las minas; y los cauces, lechos o riberas de los lagos y corrientes interiores en la extensión que fija la ley. 	Cui' quichen Chijya' ndlo tñan 'in nchgaa tu'hua tyi'a tujo'o tsaña'an nchcui' lee (sic DOF 20-01-1960) cui' na tyi'in tyaa na cha' tsaña'an xeen se'en culo na tñan si'yana can' cha' ntsu'hui cha' qui'ni ca'an 'in na, a cunta lo'o tyi'a tiyen' nu ndi'in loo yuu 'in quichen Chijya' ña'an nchca ti' scasca loo tijyo' lo'o scasca se'en nducua tyi'a nu ndiya la loo tyi'a tujo'o tsala xaa; uta sca co' xaa ti; uta scasca se'en ndi'in yla tyi'a si'ya sca chco lo' can' ndi'in na nchgaa xaa; uta chcan' nguiaa nsnan na; hasta ya' ndiyaa na la loo tyi'a tujo'o uta sca tijyo' uta se'en ndi'in yla tyi'a uta se'en sten na loo tyi'a tujo'o nan 'in quichen Chijya' ca lca na; nchgaa se'en nsnan tyi'a tsala xaa uta sca co' xaa ti (sic DOF 20-01-1960) a cunta lo'o scasca chco nu nguiten loo tyi'a can' nducua ñi, uta nde'en se'en nxisti na, uta ña'an xeen nsnan na sca se'en, uta nde'en ti se'en, uta chco can' lca na ña'an nchca ti' sca ta'an yuu 'in tucua Estado, uta xa ndyijyin na loo yuu 'in tucua Estado, uta xa ndyijyin xi'yu se'en nducui ta'an yuu 'in quichen Chijya', uta tijyo' uta se'en ndi'in yla tyi'a uta se'en nguiten yu'hui tyi'a loo tyi'a tujo'o uta tu'hua se'en nsnan na ndyijyin xi'yu na loo yuu 'in tucua uta snan Estado, uta se'en nducui ta'an yuu 'in quichen Chijya' lo'o loo yuu 'in xca quichen tnu, uta tu'hua tyi'a can' lca na se'en nducui ta'an yuu 'in Estado uta ta'an yuu 'in ne' Chijya' lo'o loo yuu 'in xca quichen tnu; ticui' cuaña'an nchgaa tyi'a nu nducua tu'hua tyia' tujo'o uta se'en nu ndlo tyi'a tujo'o tñan, uta se'e su tijyo' uta se'en ndi'in yla tyi'a uta tu'hua se'en nguiten yu'hui tyia'a can' loo tyi'a tujo'o uta tyi'a nu ndyi'o se'en ndlo ne' nan nu nchcui' ne' lo'o mina a cunta lo'o nchgaa se'en nsnan nchgaa loo tyi'a tsaña'an ndi'in tyaa lee cha'. 
Mexican_constitution 	Las aguas del subsuelo pueden ser libremente alumbradas mediante obras artificiales y apropiarse por el dueño del terreno, pero cuando lo exija el interés público o se afecten otros aprovechamientos; el Ejecutivo Federal podrá reglamentar su extracción y utilización y aún establecer zonas vedadas, al igual que para las demás aguas de propiedad nacional. Cualesquiera otras aguas no incluidas en la enumeración anterior, se considerarán como parte integrante de la propiedad de los terrenos por los que corran o en los que se encuentren sus depósitos, pero si se localizaren en dos o más predios, el aprovechamiento de estas aguas se considerará de utilidad pública, y quedará sujeto a las disposiciones que dicten los Estados. 	Nchgaa loo tyi'a nu nsna nde ni' yuu tca cunan jo'o na 'in x'nan yuu se'en nu ntsu'hui tyi'a can' una cha' na caja tñan cu'ni na 'in nten quichen uta nde'en la se'en caja tñan cu'ni na; ne' nchca Bsya Chijya' ntsu'hui cha' tyi'in tyaa ne' cha' ña'an ntsu'hui cha' tyi'o tyia'a can' lo' la caja tñan cu'ni na a cunta cui' ne' ntsu'hui cha' cuiya' 'in ne' tcun ne' se'en can' si'yana a tucui tca sten 'in na, ticui' cuaña'an nchgaa tyi'a nu ndlo quichen Chijya' tñan. Ñi tu tyi'a nu a nguinu scua cha' 'in loo quityi re nan 'in yuuu se'en nsnan na lca na uta ndi'in yla na, una cha' tucua se'en ntsu'hui na xacan' tca ca na tyi'a nu caja tñan cu'ni 'in quichen una quichen Chijya tyi'in tyaa ña'an ntsu'hui cha' tsato'o 'in na. 
Mexican_constitution 	En los casos a que se refieren los dos párrafos anteriores, el dominio de la Nación es inalienable e imprescriptible y la explotación, el uso o el aprovechamiento de los recursos de que se trata, por los particulares o por sociedades constituidas conforme a las leyes mexicanas, no podrá realizarse sino mediante concesiones, otorgadas por el Ejecutivo Federal, de acuerdo con las reglas y condiciones que establezcan las leyes, salvo en radiodifusión y telecomunicaciones, que serán otorgadas por el Instituto Federal de Telecomunicaciones. 	Cha' nde'en la ña'an cha' nu nchcui' tucua ta quityi nu cua' mdijin re, nchgaa nan nu ndlo quichen Chijya' tñan a ntsu'hui cha' tyaa ne' cunta 'in na tuyaa' xca tucui, ñi a tca taa ne' cha' cuiya' 'in can' culo tñan 'in na, uta caja tñan cu'ni na 'in sca qui'yu uta sca ta nten nu ndi'in loo quichen Chijya' cui' ta nten nu nsu'hua loo lee 'in, a tca tyaa quichen Chijya' cunta 'in na 'in can' cui' ca nu la lo'o sca quityi nu taa ne' nu nchca Bsya Chijya' tsaña'an nu ndi'in tyaa lee nu nguinu scua 'in quichen Chijya' cha', una cha' lca na radio lo'o television cui' sca ta nten nu cui' tñan ngui'ni 'in quichen Chijya' tyaa cunta 'in na. 
Mexican_constitution 	Las normas legales relativas a obras o trabajos de explotación de los minerales y substancias a que se refiere el párrafo cuarto, regularán la ejecución y comprobación de los que se efectúen o deban efectuarse a partir de su vigencia, independientemente de la fecha de otorgamiento de las concesiones, y su inobservancia dará lugar a la cancelación de éstas. 	Nchgaa loo cha' nu ntsu'hui cha' quinu scua ña'an ntsu'hui cha' cu'ni ne' tñan xa culoo ne' scasca nan nu ntsu'hui lyoo ni' yuu 'in ne' Chijya' lo'o nchgaa nan nu nchcui' lee re cui ta nu cua' nchca jacua, ntsu'hui cha' tyisnan cu'ni ne' tñan can' ti' tsaan nu caja cha' cuiya' 'in ne' siya' si'i tsaan can' jui quityi cha' cuiya' can' 'in ne' lo' cha' a caja'an ne' cha' re a caja cha' cuiya' cu'ni ne' tñan can. 
Mexican_constitution 	El Gobierno Federal tiene la facultad de establecer reservas nacionales y suprimirlas. 	Ne' nu nchca Bsya Chijya' ntsu'hui cha' cuiya' 'in ne' taa ne' uta a taa ne' cha' cuiya' 'in sca tucui lo'o nan 'in quichen Chijya'. 
Mexican_constitution 	Las declaratorias correspondientes se harán por el Ejecutivo en los casos y condiciones que las leyes prevean. 	Lo' nchgaa cha' nu chcui' ne' nchca Bsya Chijya' 'ni cha' tsaña'an cha' nu ndi'in tyaa lee. 
Mexican_constitution 	Tratándose de minerales radiactivos no se otorgarán concesiones. Corresponde exclusivamente a la Nación la planeación y el control del sistema eléctrico nacional, así como el servicio público de transmisión y distribución de energía eléctrica; en estas actividades no se otorgarán concesiones, sin perjuicio de que el Estado pueda celebrar contratos con particulares en los términos que establezcan las leyes, mismas que determinarán la forma en que los particulares podrán participar en las demás actividades de la industria eléctrica. 	Cha' na lca nan nu nchcui' ne' lo'o lca minerales a tca taa ne' cha' cuiya' nu culoo sca tucui 'in na si'yana sca ti quichen Chijya' ntsu'hui cha' cuiya' 'in lo'o nan can' a cunta lo'o nchgaa se'en ndo'o quii nu nguila ne' ña'an 'in ne', cha' re a ntsu'hui cha' tyaa ne' cunta uta taa ne' cha' cuiya' 'in sca tucui si'yana cui' can' chu'hui cunta 'in na, si'yana a ca ti'i 'in ñi sca tucui xa nu sca Gubiernu ntsu'hui cha' cu'ni cuiya' cha' lo'o sca qui'yu tsaña'an nu ndi'in tyaa lee cha' cui' lee re ntsu'hui cha' tyi'in tyaa na cha' tsala ti ña'an ntsu'hui cha' sten yu'hui sca qui'yu loo tñan cha' 'in quii nu nguila nten ña'an 'in ne'. 
Mexican_constitution 	Tratándose del petróleo y de los hidrocarburos sólidos, líquidos o gaseosos, en el subsuelo, la propiedad de la Nación es inalienable e imprescriptible y no se otorgarán concesiones. Con el propósito de obtener ingresos para el Estado que contribuyan al desarrollo de largo plazo de la Nación, ésta llevará a cabo las actividades de exploración y extracción del petróleo y demás hidrocarburos mediante asignaciones a empresas productivas del Estado o a través de contratos con éstas o con particulares, en los términos de la Ley Reglamentaria. 	Cha' lca na tyi'a ndiquin uta hidrocarburos nu tla, uta tyi'a na uta chacui' cu'in lca na, Quichen Chijya' a ntsu'hui cha' tijin 'in nan can' 'in sca qui'yu ticui' cuaña'an a tca taa quichen Chijya' cha' cuiya' 'in sca tucui si'yana ca 'in 'in na, si'yana can' caja ña'an tyi'o tñin nu caja tñan cu'ni 'in quichen Chijya', cui' quichen Chijya' ntsu'hui cha' cu'ni tñan nu quia nan lo' culoo tyi'a ndiquin re a cunta lo'o nchgaa loo hidrocarburos lo' taa tñan cu'ni scasca empresa nu 'in Estado uta nu 'in sca qui'yu si'yana can' nu cu'ni cuiya' ne' cha' lo'o si'yana cu'ni tñan can' tsaña'an nu ndi'in tyaa le cha'. 
Mexican_constitution 	Para cumplir con el objeto de dichas asignaciones o contratos las empresas productivas del Estado podrán contratar con particulares. En cualquier caso, los hidrocarburos en el subsuelo son propiedad de la Nación y así deberá afirmarse en las asignaciones o contratos. 	Ñi tu se'en ntsu'hui nan nu nchcui' ne' lo'o hidrocarburos nan 'in quichen Chijya' ca lca na lo' cuaña'an ntsu'hui cha' tyi'in tyaa ne' cha' lo'o ne' nu ntsu'hui cha' cu'ni tñan nu culoo ne' 'in na. 
Mexican_constitution 	Corresponde también a la Nación el aprovechamiento de los combustibles nucleares para la generación de energía nuclear y la regulación de sus aplicaciones en otros propósitos. 	Ticui' cuaña'an nan 'in quichen Chijya' ca lca nchgaa loo nan nu nchui' ne' lo'o combustible nucleares si'yana can' nu 'ni cha' culo ne' scasca juesa loo cu'in a cunta n'ni ne' scasca la tñan. 
Mexican_constitution 	El uso de la energía nuclear sólo podrá tener fines pacíficos. 	Looo chacui' loo cha' tsu'hua tca caja tñan cu'ni na 'in ne'. 
Mexican_constitution 	La Nación ejerce en una zona económica exclusiva situada fuera del mar territorial y adyacente a éste, los derechos de soberanía y las jurisdicciones que determinen las leyes del Congreso. 	Quichen Chijya' ndlo na tñan nchgaa tu'hua tyi'a tujo'o, tsaña'an nu ndi'in tyaa lee nu nducua lo'o ta 'in ne' nchca diputado lo'o ta 'in ne' senador. 
Mexican_constitution 	La zona económica exclusiva se extenderá a doscientas millas náuticas, medidas a partir de la línea de base desde la cual se mide el mar territorial. 	Tsa se'en nu culoo quichen Chijya' tñan loo tyi'a ca lca na tucua ciento milla tsa cuaña'an su'hua cuiya' ne' 'in na ti' tyi'o ti la tu'hua na. 
Mexican_constitution 	En aquellos casos en que esa extensión produzca superposición con las zonas económicas exclusivas de otros Estados, la delimitación de las respectivas zonas se hará en la medida en que resulte necesario, mediante acuerdo con estos Estados. 	Cha' nde'en la ña'an cua' nducui ta'an 'in na lo'o xca Estado ntsu'hui cha' cu'ni cuiya' Estado can' cha' tsala ti' ña'an ntsu'hui cha' culoo na tñan, lo'o sca cha' tsu'hue cui' tsaña'an nu quinu tsu'hue tiquee cunda scaa Estado can'. 
Mexican_constitution 	La capacidad para adquirir el dominio de las tierras y aguas de la Nación, se regirá por las siguientes prescripciones: 	Nde nguinu scua cha' 'in ne' nu ntsu'hui cha' cuiya' 'in chcuan cunta sca yuu uta sca se'en nducua tyi'a 'in quichen Chijya': 
Mexican_constitution 	I. Sólo los mexicanos por nacimiento o por naturalización y las sociedades mexicanas tienen derecho para adquirir el dominio de las tierras, aguas y sus accesiones o para obtener concesiones de explotación de minas o aguas. 	I. Tsa ne' nu cua' tyi Chijya' uta jui cha' cuiya' can' 'in ne' lo'o nchgaa ne' Chijya' ntsu'hui cha' cuiya' 'in ne' chcuan ne' cunta sca yuu uta sca se'en nducua tyi'a uta cuna jo'o tyi'a can' 'in ne', ticui' cuaña'an nu culoo ne' tyi'a can'. 
