Bolivian_constitution 	CONSTITUCIÓN POLÍTICA DEL ESTADO 	ESTADOQ KURAQ KAMACHIYNIN 
Bolivian_constitution 	CAPÍTULO SEGUNDO FUNCIÓN DEL ESTADO EN LA ECONOMÍA 	ISKAY KAQ JUCH’UY PHATMA QULQIWAN ESTADOQ LLANK’AYNINMANTA 
Bolivian_constitution 	Artículo 316. 	Juch’uy kamachiy 316. 
Bolivian_constitution 	La función del Estado en la economía consiste en: 	Estadoq llank’aynin economía nisqapi ajina: 
Bolivian_constitution 	1. Conducir el proceso de planificación económica y social, con participación y consulta ciudadana. 	1. tukuy runata tapurispa, qullqimanta chantapis runamanta wakichikusqanta apaykachanan tiyan. 
Bolivian_constitution 	La ley establecerá un sistema de planificación integral estatal, que incorporará a todas las entidades territoriales. 	Jatun kamachiy imaynatachus suyunchispaq makichina chayta qhawanan tiyan. 
Bolivian_constitution 	2. Dirigir la economía y regular, conforme con los principios establecidos en esta Constitución, los procesos de producción, distribución, y comercialización de bienes y servicios. 	2. Kay Kuraq Kamachiy qilqasqa kasqanmanjina allin rinanpaq economía nisqata qhawaykachanan tiyan, chantapis sumaq puquykuna kananpaq, ranqhakunanpaq ima. 
Bolivian_constitution 	3. Ejercer la dirección y el control de los sectores estratégicos de la economía 	3. Sectores estratégicos economiata qhawaykachanan tiyan. 
Bolivian_constitution 	4. Participar directamente en la economía mediante el incentivo y la producción de bienes y servicios económicos y sociales para promover la equidad económica y social, e impulsar el desarrollo, evitando el control oligopólico de la economía 	4. Ima puquchiykunapipis, llank’aykunapipis llank’anan tiyan; chantapis imallapis tukuypaq kikin kananpaq, runapis tukuy imayuq kananpaq, tukuy imapi parlarinanpaq, imachus Estadoqta kapun, imachus llaqta runpaq kasan chaykunapipis llank’anan tiyan. 
Bolivian_constitution 	5. Promover la integración de las diferentes formas económicas de producción, con el objeto de lograr el desarrollo económico y social. 	Jinamanta mana wakin runalla economía nisqata apaykachganqankuchu. 
Bolivian_constitution 	6. Promover prioritariamente la industrialización de los recursos naturales renovables y no renovables, en el marco del respeto y protección del medio ambiente, para garantizar la generación de empleo y de insumos económicos y sociales para la población. 	5. Formas económicas de producción yanapakunankupaq qhawanan tiyan. 6. Industrialización recursos naturales renovables ma renovablestawan ñawpaqman thaskirichinan tiyan, jinamanta runa llanka’yniyuq kananpaq. 
Bolivian_constitution 	7. Promover políticas de distribución equitativa de la riqueza y de los recursos económicos del país, con el objeto de evitar la desigualdad, la exclusión social y económica, y erradicar la pobreza en sus múltiples dimensiones. 	7. Bolivia suyunchispata qulqinta kikinta tukuyman qunanpaq qhawanqa, jinamanta mana khuyay runa kananpaq. 
Bolivian_constitution 	8. Determinar el monopolio estatal de las actividades productivas y comerciales que se consideren imprescindibles en caso de necesidad pública. 	8. Estatal monopolio actividades productivakunamanta chantapis ranqhaymanta maykunachus kananpuni tiyan chayta qhawanan tiyan. 
Bolivian_constitution 	9. Formular periódicamente, con participación y consulta ciudadana, el plan general de desarrollo, cuya ejecución es obligatoria para todas las formas de organización económica. 10. Gestionar recursos económicos para la investigación, la asistencia técnica y la transferencia de tecnologías para promover actividades productivas y de industrialización. 	9. Runa rimarisqanmanjina, runata waturispa ima sapa kuti plan general de desarrollo nisqapi llank’anan tiyan; chaymanta tukuy laya llank’aykunapaq waichisqapaq kayqa llank’akunanpuni tiyan. 10. Musuq yachaqayta tarinapaq waqkunapaqpiwan qulqita mask’anna tiyan. 
Bolivian_constitution 	11. Regular la actividad aeronáutica en el espacio aéreo del país. 	11. Suyunchispi Aeronáutica llank’ayta qhawaykachanan tiyan. 
Bolivian_constitution 	Artículo 317. 	Juch’uy kamachiy 317. 
Bolivian_constitution 	El Estado garantizará la creación, organización y funcionamiento de una entidad de planificación participativa que incluya a representantes de las instituciones públicas y de la sociedad civil organizada. 	Estado entidad de planificación participativa nisqa kananta qhawanqa, chaymantaq instituciones publicasmanta chantapis tukuy runa tantasqamanta aqllasqakuna yaykunqanku. 
Bolivian_constitution 	CAPÍTULO TERCERO POLÍTICAS ECONÓMICAS 	KINSA KAQ JUCH’UY PHATMA POLÍTICAS ECONOMICASMANTA 
Bolivian_constitution 	Artículo 318. 	Juch’uy kamachiy 318. 
Bolivian_constitution 	I. El Estado determinará una política productiva industrial y comercial que garantice una oferta de bienes y servicios suficientes para cubrir de forma adecuada las necesidades básicas internas, y para fortalecer la capacidad exportadora. 	I. Estado política productiva industrialtawan comercialtawan aqllanan tiyan, jinamanta sumaq kawsay kananpaq; chantapis jawa suyuman ranqhayta kallpachananpaq. 
Bolivian_constitution 	II. El Estado reconoce y priorizará el apoyo a la organización de estructuras asociativas de micro, pequeñas y medianas empresas productoras, urbanas y rurales. 	II. Estado juch’uy empresas productorasta jatun llaqtakunamantawan juch’uy llaqtakunamantawan astwan yanapanqa. 
Bolivian_constitution 	III. El Estado fortalecerá la infraestructura productiva, manufactura e industrial y los servicios básicos para el sector productivo. 	III. Estado infraestructura productiva, suraykuna, industrialtawan thaskirichinqa. 
Bolivian_constitution 	IV. El Estado priorizará la promoción del desarrollo productivo rural como fundamento de las políticas de desarrollo del país. 	IV. Estado juch’uy llaqtakunamanta puchiyninta astawan yanapanqa. 
Bolivian_constitution 	V. El Estado promoverá y apoyará la exportación de bienes con valor agregado y los servicios. 	V. Estado jawa suyuknaman puquchiyninkuta ranqahanankupaq yanapanqa. 
Bolivian_constitution 	Artículo 319. 	Juch’uy kamachiy 319. 
Bolivian_constitution 	I. La industrialización de los recursos naturales será prioridad en las políticas económicas, en el marco del respeto y protección del medio ambiente y de los derechos de las naciones y pueblos indígena originario campesinos y sus territorios. 	I. Industrialización recursos naturalesmanta astawan qulqiwan yanapaspa kanqa, pero medio ambiente nisqatataq jark’anan tiyan, chantapis naciones pueblos indígena originario campesinos jallp’ankumanta derechosninkutapis. 
Bolivian_constitution 	La articulación de la explotación de los recursos naturales con el aparato productivo interno será prioritaria en las políticas económicas del Estado. 	Estadomanta políticas economicaspi ñawpaqta qhawanan tiyan; aparato productivo interno nisqawantaq recursos naturalesta llank’achinqa. 
Bolivian_constitution 	II. En la comercialización de los recursos naturales y energéticos estratégicos, el Estado considerará, para la definición del precio de su comercialización, los impuestos, regalías y participaciones correspondientes que deban pagarse a la hacienda pública. 	II. Recursos naturales energéticos estratégicos ranqhakunapaqqa Estado mayk’apichus ranqhakunqa chayta qhawanqa, chantapis hacienda publicaman mayk’atachus tasanqanku, mayk’a regaliastachus qunqanku, chaykunata ima qhawanqa. 
Bolivian_constitution 	Artículo 320. 	Juch’uy kamachiy 320. 
Bolivian_constitution 	I. La inversión boliviana se priorizará frente a la inversión extranjera. 	I. Kay Bolivian suyu ukhupi qulqita empresakunapi churakusqanta astawan yanapanqa. 
Bolivian_constitution 	II. Toda inversión extranjera estará sometida a la jurisdicción, a las leyes y a las autoridades bolivianas, y nadie podrá invocar situación de excepción, ni apelar a reclamaciones diplomáticas para obtener un tratamiento más favorable. 	II. Jawa suyumanta tukuy qulqi churasqankuta jurisdiccionpi qhawakunan tiyan, chantapis jatun kamachiykunamanjina kanan tiyan, Bolivia kamachiqkunapis qhawanan tiyan. Nitaq pipis situación de excepción nisqata mañanmanchu chantapis mana pipis diplimaticoswan mana imatapis mañachinqachu. 
Bolivian_constitution 	III. Las relaciones económicas con estados o empresas extranjeras se realizarán en condiciones de independencia, respeto mutuo y equidad. 	III. Jawa suyukunawan manaqa jawa suyu empresakunawan, tukuypaqpis imallapis kikin kananpaq, puraqmanta yanapanakuspa, qhawanakuspa, relaciones económicas nisqa kanan tiyan. 
Bolivian_constitution 	No se podrá otorgar a Estados o empresas extranjeras condiciones más beneficiosas que las establecidas para los bolivianos. 	Waq suyukunapaq, waq suyumanta empresakunaqa, imaynachus bolivianokunapaq kasan kikillantaq kanan tiyan. 
Bolivian_constitution 	IV. El Estado es independiente en todas las decisiones de política económica interna, y no aceptará imposiciones ni condicionamientos sobre esta política por parte de estados, bancos o instituciones financieras bolivianas o extranjeras, entidades multilaterales ni empresas transnacionales. 	IV. Estado política económica interna nisqapi sapan yuyaychakun, sapan llank’an; manataq kaypiqa ni pispi, waq suyukuna, Bolivia manaqa waq suyumanta qulqiwasikuna, qulqi apaykachuaqkuna ima, entidades multilaterales, suyukunamanta tantasqa empresakuna mana imatapis rimariyta atinkuchu. 
Bolivian_constitution 	V. Las políticas públicas promocionarán el consumo interno de productos hechos en Bolivia. SECCIÓN I POLÍTICA FISCAL 	V. Órgano Ejecutivopi, Ministeriowan tukuy sector público nisqamanta imapaqchus qulqi kasan, imapichus qulqita t’akasqanta ima yachananku tiyan. 
Bolivian_constitution 	Artículo 321. I. La administración económica y financiera del Estado y de todas las entidades públicas se rige por su presupuesto. 	Jinallatataqq Fuerzas Armadas, policía boliviana ima mayk’a qulqitachus mañanku, imapichus, mayk’a qulqitachus t’akanku chaytapis yachananku tiyan. UK KAQ RAK’IY POLÍTICA FISCALMANTA 
Bolivian_constitution 	II. La determinación del gasto y de la inversión pública tendrá lugar por medio de mecanismos de participación ciudadana y de planificación técnica y ejecutiva estatal. 	Juch’uy kamachiy 321. I. Administración económica financiera Estadomanta chantapis entidades publicasmanta presupueston nisqata qhawaspa apaykachakun. 
Bolivian_constitution 	Las asignaciones atenderán especialmente a la educación, la salud, la alimentación, la vivienda y el desarrollo productivo. 	II. Qulqi t’akakunanpaq kay suyunchismanta kaqkunaq nisqanwan, chantapis wakichisqankumanjina t’akakunqa. 
Bolivian_constitution 	III. El Órgano Ejecutivo presentará a la Asamblea Legislativa Plurinacional, al menos dos meses antes de la finalización de cada año fiscal, el proyecto de ley del Presupuesto General para la siguiente gestión anual, que incluirá a todas las entidades del sector público. 	Chay qulqiwan yachaqayta, jampiyta, mikhuyta, wasikunata, puquchiykunatawan qhawakunqa. III. Iskay killallapis sapa wata tukukunanpaq kasaqtin, Asamblea Legislativa Plurinacionalman, órgano Ejecutivo Ley del Presupuesto General nisqa wakichiyta apaykunqa, kayqa qhipan watapaq kanqa. 
Bolivian_constitution 	IV. Todo proyecto de ley que implique gastos o inversiones para el Estado deberá establecer la fuente de los recursos, la manera de cubrirlos y la forma de su inversión. 	IV. Tukuy jatun kamachiymanta wakichiykuna imapichus Estado qulqi t’akaqtin, maymantachus, imaynatachus urqhusan, imaynatachus t’akanqa chayta ninan tiyan. 
Bolivian_constitution 	Si el proyecto no fue de iniciativa del Órgano Ejecutivo, requerirá de consulta previa a éste. 	Mana Órgano Ejecutivo wakichiyta wakichiqtinqa kay organotaraqpuni watunanku tiyan. 
Bolivian_constitution 	V. El Órgano Ejecutivo, a través del Ministerio del ramo, tendrá acceso directo a la información del gasto presupuestado y ejecutado de todo el sector público. El acceso incluirá la información del gasto presupuestado y ejecutado de las Fuerzas Armadas y la Policía Boliviana. 	V. Órgano Ejecutivo, Ministeriowan tukuy sector público qulqita mañanasqanmanta chantapis t’akasqanmanta yachanqa, kayqa Fuerzas Armadasmantawan Policía Bolivianamantawan jina kanqa. 
Bolivian_constitution 	Artículo 322. 	Juch’uy kamachiy 322. 
Bolivian_constitution 	I. La Asamblea Legislativa Plurinacional autorizará la contratación de deuda pública cuando se demuestre la capacidad de generar ingresos para cubrir el capital y los intereses, y se justifiquen técnicamente las condiciones más ventajosas en las tasas, los plazos, los montos y otras circunstancias. 	I. Capitalpaq, manukusqanmanta interés nisqata urqhukusqanta qhawachiqtinqa, chantapis tukuy imapi sumaq kasqanta qhawachiqtinqa Asamblea Legislativa Plurinacional qulqi manu kananpaq kamachinqa. 
Bolivian_constitution 	II. La deuda pública no incluirá obligaciones que no hayan sido autorizadas y garantizadas expresamente por la Asamblea Legislativa Plurinacional. 	II. Asamblea Legislativa Plurinacional mayk’atachus suyunchis manu kasqanta qhawasqallanmanta junt’anqa. 
Bolivian_constitution 	Artículo 323. 	Juch’uy kamachiy 323. 
Bolivian_constitution 	I. La política fiscal se basa en los principios de capacidad económica, igualdad, progresividad, proporcionalidad, transparencia, universalidad, control, sencillez administrativa y capacidad recaudatoria. 	I. Política fiscalqa sumaq puquypi, tukuypaqpis kikin kayninpi, ñawpaqman thaskiriyninpi, kikinmanta kananpaq, sut’i kayninpi, tukuypaq kananpaq, qhawasqa kayninpi, allinmanta llank’ayninpi, sumaqta qulqita jap’iyninpi sayasqa kasan. 
Bolivian_constitution 	II. Los impuestos que pertenecen al dominio tributario nacional serán aprobados por la Asamblea Legislativa Plurinacional. 	II. Asamblea Legislativa Plurinacional tributario nacionalman mayk’a impuestoschus yaykunqa chayta qhawanan tiyan. 
Bolivian_constitution 	Los impuestos que pertenecen al dominio exclusivo de las autonomías departamental o municipal, serán aprobados, modificados o eliminados por sus Concejos o Asambleas, a propuesta de sus órganos ejecutivos. 	Consejonkuna manaqa Asambleankuna autonomías departamentalmanta manaqa municipalmanta impuestokunata qhawanqanku, allinchanqanku, manaqa chinkachinqanku ima. 
Bolivian_constitution 	El dominio tributario de los Departamentos Descentralizados, y regiones estará conformado por impuestos departamentales tasas y contribuciones especiales, respectivamente. 	Departamentos descentralizadospi, regionespi ima impuestos departamentales, tasas qulqi quykuna ima kasan. 
Bolivian_constitution 	III. La Asamblea Legislativa Plurinacional mediante ley, clasificará y definirá los impuestos que pertenecen al dominio tributario nacional, departamental y municipal. 	III. Asamblea Legislativa Plurinacional kamachiywan impuestos nisqata suyupaqchus, jatun llaqtapaqchus, municipipaqchus chayta qhawaspa tantaykunqa. 
Bolivian_constitution 	IV. La creación, supresión o modificación de los impuestos bajo dominio de los gobiernos autónomos facultados para ello se efectuará dentro de los límites siguientes: 	IV. Impuestos rikhuriyninta, qhichuyninta chayri allinchakuyninta gobiernos autónomos kaykunata qhawakuspa qukunqa: 1. Kay suyunchismanta, jatun llaqtakunamanta municipalesmanta. 
Bolivian_constitution 	1. No podrán crear impuestos cuyos hechos imponibles sean análogos a los correspondientes a los impuestos nacionales u otros impuestos departamentales o municipales existentes, independientemente del dominio tributario al que pertenezcan. 	Mana kikin impuestosta rikhurichiyta atinqakuchu. 2. Impuestos, jallp’amanta jawa jurisdiccioninpi, rentasta ima saruchaqtinqa, mana impuestosta rikhurichiyta atinqankuchu. 
Bolivian_constitution 	2. No podrán crear impuestos que graven bienes, actividades rentas o patrimonios localizados fuera de su jurisdicción territorial, salvo las rentas generadas por sus ciudadanos o empresas en el exterior del país. 	Kay suyumanta runa manaqa empresas jawapi kaqtinkuqa, qulqita apachimuqtinkuqa impuestos rikhurichiyta atinku. 
Bolivian_constitution 	Esta prohibición se hace extensiva a las tasas, patentes y contribuciones especiales. 	Manallataq tasas, patentes, contribuciones especiales ima rikhuriyta atinkuchu. 
Bolivian_constitution 	3. No podrán crear impuestos que obstaculicen la libre circulación y el establecimiento de personas, bienes, actividades o servicios dentro de su jurisdicción territorial. 	3. Jurisdicción ukhupi impuestos mana runa puriqta saqiqtinqa, runa llaqtachakunanta mana saqiqtinqa, ima llank’ana mana kananta saqiqtinqa impuestos nisqaqa mana rikhurinqachu. 
Bolivian_constitution 	Esta prohibición se hace extensiva a las tasas, patentes y contribuciones especiales. 	Jinallataq tasaspaq, patentespaq, contribuciones especialespaq ima kanqa. 
Bolivian_constitution 	4. No podrán crear impuestos que generen privilegios para sus residentes discriminando a los que no lo son. 	4. Maykunachus wakin runallata chaymanta kaqkunawan sumaq kananta qhawaqtin mana impuestos nisqata, rikhurichiy atinqankuchu. 
Bolivian_constitution 	Esta prohibición se hace extensiva a las tasas, patentes y contribuciones especiales. 	Jinallatataq tasaspaq, patentespaq, constribuciones especiales nisqapaq kanqa. 
Bolivian_constitution 	Artículo 324. 	Juch’uy kamachiy 324. 
Bolivian_constitution 	No prescribirán las deudas por daños económicos causados al Estado. 	Estadoman manu kaqtinqa kutichinanpuni tiyan. 
Bolivian_constitution 	Artículo 325. 	Juch’uy kamachiy 325. 
Bolivian_constitution 	El ilícito económico, la especulación, el acaparamiento, el agio, la usura, el contrabando, la evasión impositiva y otros delitos económicos conexos serán penados por ley. 	Kamachiymanjina munasqankupi qulqita t’akasqankuta, ima suwaykunapis, contrabando, mana impuestopi qulqita t’akayta munaqkuna juchachasqa kanqanku. 
Bolivian_constitution 	SECCIÓN II POLÍTICA MONETARIA 	ISKAY KAQ RAK’IKUY QULQIMANTA YUYAYCHAKUY 
Bolivian_constitution 	Artículo 326. 	Juch’uy kamachiy 326 
Bolivian_constitution 	I. El Estado, a través del Órgano Ejecutivo, determinará los objetivos de la política monetaria y cambiaria del país, en coordinación con el Banco Central de Bolivia. 	I. Estado, Banco Central de Boliviawan parlarispa, Órgano Ejecutivo kay suyunchismanta imapaqchus política monetaria cambiara kasan chayta qhawanan tiyan. 
Bolivian_constitution 	II. Las transacciones públicas en el país se realizarán en moneda nacional. 	II. Kay suyunchispi transacciones públicasqa qulqinchiswan kanan tiyan. 
Bolivian_constitution 	Artículo 327. 	Juch’uy kamachiy 327. 
Bolivian_constitution 	El Banco Central de Bolivia es una institución de derecho público, con personalidad jurídica y patrimonio propio. 	Banco Central de Boliviaqa tukuypaqpis institucionnin, kayqa kamachiyniyuq, chantapis patrimonio kasan. 
Bolivian_constitution 	En el marco de la política económica del Estado, es función del Banco Central de Bolivia mantener la estabilidad del poder adquisitivo interno de la moneda, para contribuir al desarrollo económico y social. 	Estado tuk’urisqanmanjina, economía, runakuna ima ñawpaqman thaskirinanpaq banco Central de Boliviaqa qulqimanta estabilidad del poder adquisitivo nisqata sumaq kananpaq qhawanan tiyan. 
Bolivian_constitution 	Artículo 328. 	Juch’uy kamachiy 328. 
Bolivian_constitution 	I. Son atribuciones del Banco Central de Bolivia, en coordinación con la política económica determinada por el Órgano Ejecutivo, además de las señaladas por la ley: 	I. Imaynatachus Órgano Ejecutivoqta qulqimanta yuyaychakuynin kasan, chayta qhawarispa; chantapis jatun kamachiymanjina imatachus ruwanan kasan, chaymanjina Banco Central de Bolivia kaykunata ruwayta atin: 
Bolivian_constitution 	1. Determinar y ejecutar la política monetaria. 	1. Política monetaria nisqata qhawaykachanan tiyan. 
Bolivian_constitution 	2. Ejecutar la política cambiaria. 	2. Política cambiaria ruwanan tiyan. 
Bolivian_constitution 	3. Regular el sistema de pagos. 	3. Qulqita llank’ayninkumanta qhawanan tiyan. 
Bolivian_constitution 	4. Autorizar la emisión de la moneda. 	4. Musuq qulqi lluqsinanpaq qhawanan tiyan. 
Bolivian_constitution 	5. Administrar las reservas internacionales. 	5. Reservas internacionales nisqata apaykachanan tiyan. 
Bolivian_constitution 	Artículo 329. 	Juch’uy kamachiy 329. 
Bolivian_constitution 	I. El Directorio del Banco Central de Bolivia estará conformado por una Presidenta o un Presidente, y cinco directoras o directores designados por la Presidenta o el Presidente del Estado de entre las ternas presentadas por la Asamblea Legislativa Plurinacional para cada uno de los cargos. 	I. Banco Central de Bolivia ukhupi uk kuraq warmi kamachiq manaqa kuraq qhari kamachiq kanqa, chantapis phisqa sullk’a kamachiqkuna kanaqa; Asamblea Legislativa Plurinacional paykunaq sutinkuta aqllanqa, kay aqllasqamantataq Bolivia kuraq kamachiq aqllanqa. 
Bolivian_constitution 	II. Los miembros del Directorio del Banco Central de Bolivia durarán en sus funciones cinco años, sin posibilidad de reelección. Serán considerados servidoras y servidores públicos, de acuerdo con la Constitución y la ley. 	II. Banco Centralmanta sullk’a kamachiqkuna phisqa watata llank’anqanku; paykunaqa mana watiqmanta aqllasqa kankumanchu Kuraq kamachiqmanjina, jatun kamachiymajina paykunaqa Estadoqta llank’aqkunan kanqanku. 
Bolivian_constitution 	Los requisitos particulares para el acceso al cargo serán determinados por la ley. 	III. Asamblea Legislativa Plurinacionalman manaqa Cámaras nisqaman sapa kuti mañasqankumanjina. 
Bolivian_constitution 	III. La Presidenta o el Presidente del Banco Central de Bolivia deberá rendir informes y cuentas sobre las funciones de la institución, cuantas veces sean solicitados por la Asamblea Legislativa Plurinacional o sus Cámaras. El Banco Central de Bolivia elevará un informe anual a la Asamblea Legislativa y está sometido al sistema de control gubernamental y fiscal del Estado. 	Boliviamanta Banco Central kuraq kamachiqnin imaynatachus llank’asanku, chaymanta willarinan tiyan. Boliviamanta Banco Central Asamblea Lesgilativaman wata llank’asqankumanta willanan tiyan, kaytaqa Bolivia kamachiqkunamanta pikunachus qhawaqkuna kasanku, paykuna chantapis fiscal de estado nisqa ima qhawananku tiyan. 
Bolivian_constitution 	SECCIÓN III POLÍTICA FINANCIERA 	KINSA KAQ RAK’IY POLÍTICA FINANCIERAMANTA 
Bolivian_constitution 	Artículo 330. 	Juch’uy kamachiy 330. 
Bolivian_constitution 	I. El Estado regulará el sistema financiero con criterios de igualdad de oportunidades, solidaridad, distribución y redistribución equitativa. 	I. Ama pitapis saruchasqa nitaq juch’uychaspa, tukuypaqpis kikin kanannapaq Estado sistema financiero nisqata qhawanqa. 
Bolivian_constitution 	II. El Estado, a través de su política financiera, priorizará la demanda de servicios financieros de los sectores de la micro y pequeña empresa, artesanía, comercio, servicios, organizaciones comunitarias y cooperativas de producción. 	II. Estado, política financierawan, juch’uy empresakunata, artesaniata, ranqhaqkunata, servicios, qutuchasqa runata, llank’aqkuna autuchaskusqata ima yanapanqa. 
Bolivian_constitution 	III. El Estado fomentará la creación de entidades financieras no bancarias con fines de inversión socialmente productiva. 	III. Estado runata yanapanankupaq entidades financieras no bancarias nisqa kicharikunanta qhawanqa. 
Bolivian_constitution 	IV. El Banco Central de Bolivia y las entidades e instituciones públicas no reconocerán adeudos de la banca o de entidades financieras privadas. 	IV. Banco Central de Bolivia, entidades publicaswan, llaqta institucioniswan ima mana entidades financieras privadasmantamanuykunata qhawanqankuchu. 
Bolivian_constitution 	Éstas obligatoriamente aportarán y fortalecerán un fondo de reestructuración financiera, que será usado en caso de insolvencia bancaria. 	Kaykunaqa fondo de reestructuración financiera nisqaman qulqinkuta qunqanku, kallpachanqanku ima, kay qulqitaqa, mana qulqiwasikuna qulqiyuq kaqtin, urqhunqanku. 
Bolivian_constitution 	V. Las operaciones financieras de la Administración Pública, en sus diferentes niveles de gobierno, serán realizadas por una entidad bancaria pública. 	V. Mayqin Estadoq llank’ayninpipis qulqi apaykachayqa uk Estadoq qulqiwasillapi apaykachakunan tiyan. 
Bolivian_constitution 	La ley preverá su creación. 	Jatun kamachiy kicharikunanta qhawanqa. 
Bolivian_constitution 	Artículo 331. 	Juch’uy kamachiy 331. 
Bolivian_constitution 	Las actividades de intermediación financiera, la prestación de servicios financieros y cualquier otra actividad relacionada con el manejo, aprovechamiento e inversión del ahorro, son de interés público y sólo pueden ser ejercidas previa autorización del Estado, conforme con la ley. 	Kamachiymanjina, Estado sumaq ñawiyuq qhawaqtin, actividades intermediación financieramanta, prestación servicios financierosmanta ruwakuyta atin. 
Bolivian_constitution 	Artículo 332. 	Juch’uy kamachiy 332. 
Bolivian_constitution 	I. Las entidades financieras estarán reguladas y supervisadas por una institución de regulación de bancos y entidades financieras. 	I. Uk institución qulqiwasikunata entidades financierasta ima qhawaykachanqa. 
Bolivian_constitution 	Esta institución tendrá carácter de derecho público y jurisdicción en todo el territorio boliviano. 	Kayqa tukuy Bolivia suyupi atiyniyuq kanqa. 
Bolivian_constitution 	II. La máxima autoridad de la institución de regulación de bancos y entidades financieras será designada por la Presidenta o Presidente del Estado, de entre una terna propuesta por la Asamblea Legislativa Plurinacional, de acuerdo con el procedimiento establecido en la ley. 	II. Imaynachus kamachiypi kasan chaymanjina Asamblea Legislativa Plurinacional aqllasqanmanta Estadoqta Kuraq kamachiqnin institución de Regulación de bancos, entidades financiaraspaq ima kamachiqta aqllanqa. 
Bolivian_constitution 	Artículo 333. 	Juch’uy kamachiy 333. 
Bolivian_constitution 	Las operaciones financieras realizadas por personas naturales o jurídicas, bolivianas o extranjeras, gozarán del derecho de confidencialidad, salvo en los procesos judiciales, en los casos en que se presuma comisión de delitos financieros, en los que se investiguen fortunas y los demás definidos por la ley. 	Bolivia suyumanta manaqa jawa suyumanta runa qulqinta qulqi wasipi jallch’aqtinqa, urqhuqtinpis mana yachakunanchu tiyan; jatun kamachiymanjina qulqimanta juchachachikuqtinkulla, imaynamantachus qulqi jap’isqanta yachayta munaqtin yachakunan tiyan. 
Bolivian_constitution 	Las instancias llamadas por la ley a investigar estos casos tendrán la atribución para conocer dichas operaciones financieras, sin que sea necesaria autorización judicial. 	Jatun kamachiymanjina pikunachus qulqimanta yachananku tiyan, paykunalla qulqiwasipi qulqi jallch’asqankuta chantapis urqhuaqankuta yachananku tiyan; kaytaqa mana autorización judicialwan ruwayta atinku. 
Bolivian_constitution 	SECCIÓN IV POLÍTICAS SECTORIALES 	TAWA KAQ RAK’IY POLÍTICAS SECTORIALESMANTA 
Bolivian_constitution 	Artículo 334. 	Juch’uy kamachiy 334. 
Bolivian_constitution 	En el marco de las políticas sectoriales, el Estado protegerá y fomentará: 	Políticas sectoriales nisqanmanjina, Estado kaykunata jark’anan tiyan, chantapis kaykunata ruwananpaq yanapanqa: 
Bolivian_constitution 	1. Las organizaciones económicas campesinas, y las asociaciones u organizaciones de pequeños productores urbanos, artesanos, como alternativas solidarias y recíprocas. 	1. Organizaciones económicas campesinasta, chantapis juch’uy qutuchasqa llank’achiqkunata, artesanosta, runata yapananpaq, paykunapura yanapanakunankupaq jark’anqataq yanapanqataq. 
Bolivian_constitution 	La política económica facilitará el acceso a la capacitación técnica y a la tecnología, a los créditos, a la apertura de mercados y al mejoramiento de procesos productivos. 	Qulqimanta, puquchiykunamanta, llank’anamanta yuyaychakusqanku, capacitación tecnológica yachaqyta, créditos nisqapi, maypichus ranqhakunqa, sumaqta imallatapis puquchinankupaq, llank’anankupaq ima yanapanqa. 
Bolivian_constitution 	2. El sector gremial, el trabajo por cuenta propia, y el comercio minorista, en las áreas de producción, servicios y comercio, será fortalecido por medio del acceso al crédito y a la asistencia técnica. 3. La producción artesanal con identidad cultural. 	2. Sector gremial, sapallanku llank’aqkunata, juch’uy ranqhaykuna ruwaqkunata, qulqita mañachisqa yanapanqa. 3. Kayninkuta qhawachisqa artesanal ruwayninkupi imamantapis jark’anqa chantapis yanapanqa. 
Bolivian_constitution 	4. Las micro y pequeñas empresas, así como las organizaciones económicas campesinas y las organizaciones o asociaciones de pequeños productores, quienes gozarán de preferencias en las compras del Estado. 	4. As juch’uy, chantapis juch’uy empresakunamanta, organizaciones campesinasmanta, pisi qulqiyuq llank’aqkunamanta Estado chaykunamanta astqan rantinqa. Juch’uy kamachiy 335. 
Bolivian_constitution 	Artículo 335. Las cooperativas de servicios públicos serán organizaciones de interés colectivo, sin fines de lucro y sometidas a control gubernamental y serán administradas democráticamente. 	Servicios publicomanta cooperativas nisqaqa mana llank’asqankumanta qulqita runamanta mañankumanchu, paykunaqa llaqta runawan yanapaspa llank’ananku tiyan; suyunchis kamachiqkuna paykuna imaynatachus llank’asanku chayta qhawananku tiyan chantapis kasqanmanjina llank’achisqa kanan tiyan. 
Bolivian_constitution 	La elección de sus autoridades de administración y vigilancia será realizada de acuerdo a sus propias normas estatutarias y supervisada por el Órgano Electoral Plurinacional. 	Kamachiyninmanjina, kamachiqkunankuta aqllananku tiyan; jinallatataq kamachiyninkumanjina qhawasqa kanan tiyan, chantapis Órgano Electoral Plurinacional llank’asqankuta qhawanan tiyan. 
Bolivian_constitution 	Su organización y funcionamiento serán regulados por la ley. 	Wakichikuyninkupis, llank’ayninkupis jatun kamachiymanjina kanqa. 
Bolivian_constitution 	Artículo 336. 	Juch’uy kamachiy 336. 
Bolivian_constitution 	El Estado apoyará a las organizaciones de economía comunitaria para que sean sujetos de crédito y accedan al financiamiento. 	Estadoqa organizaciones económicas comunitariata qulqita manukunankupaq, creditoswan kanankupaq ima yanapanqa. 
Bolivian_constitution 	Artículo 337. 	Juch’uy kamachiy 337. 
