Mexican_constituition 	CONSTITUCIÓN POLÍTICA DE LOS ESTADOS UNIDOS MEXICANOS 	JA JASTAL WA STOJB’ESE´ JA POLITIKA B’A ESTADOS UNIDOS MEJIKANOSI 
Mexican_constituition 	En caso de persecución, por motivos de orden político, toda persona tiene derecho de solicitar asilo; por causas de carácter humanitario se recibirá refugio. 	Échi sinémila najátuala, pirikámiti échi polítiki nulalíala, si’néame e’teó níwi rereho nápi táma ocheikálila; pé ikiwáala chiyírila umanitári á naréma tibúwala. 
Mexican_constituition 	La ley regulará sus procedencias y excepciones. 	Échi nulalí a’lacháma kípu betébala a’li kea’láwala. 
Mexican_constituition 	Artículo 12. 	Artíkuli 12. 
Mexican_constituition 	En los Estados Unidos Mexicanos no se concederán títulos de nobleza, ni prerrogativas y honores hereditarios, ni se dará efecto alguno a los otorgados por cualquier otro país. 	Na’í kawírili chéamí mésiko ké a’lá mí níima oselí mapu reká ‘níwima weká namúti, ké bilé wa’lúala niráa bá a’lí ké ompába chó, mapu reká ‘échi jaréana chó kawírili e’peréa´mi nulása mapu riká wa’lúala niráa natéa´mi níima. >Na’í tamó kawíwala kó ké natikí mapu reká nirúlima wéala. 
Mexican_constituition 	Artículo 13. 	Artíkuli 13. 
Mexican_constituition 	Nadie puede ser juzgado por leyes privativas ni por tribunales especiales. 	Ke wési oyérita´mi níma nulalíwa´mi kítera ké jáwa´mi newása ká, pé chuwé rejói niwása kó ké natéa´mi jú. 
Mexican_constituition 	Ninguna persona o corporación puede tener fuero, ni gozar más emolumentos que los que sean compensación de servicios públicos y estén fijados por la ley. 	Ké bilé mapu o’ná najórowachi newása ká. >Mapú o’ná natikí kó jú komeráchí19 najóralachi. 
Mexican_constituition 	Subsiste el fuero de guerra para los delitos y faltas contra la disciplina militar; pero los tribunales militares en ningún caso y por ningún motivo podrán extender su jurisdicción sobre personas que no pertenezcan al Ejército. 	Ké wési pakóta´mi a’lí jáwa´mi ‘níwima mapu reká natemáta´mi níima, ké namú olára´mi níima a’lí ké chó wiká ‘áramí níima wenomí pé mapu ikípi alíwa ‘échí noochámi jú ‘échi wa’lúala nuláa´mi ‘yúa, mapu reká nulá ‘échi oselí tamó nuléamí ju. ‘ábelá nirú mapu reká sayéritamí níima ‘échí karúa´mi ké alá i’sisá mapu reká isísa ré ‘échí sontárusi; ‘échi mapu o’ná ‘níwi komeráchi najórowachi mapu oná karéwi ‘échí karúa´mi kítera ‘échí sontárusi, ké wési écho’ná oyérita´mi níima mapu ké sontárusí jú kó. >Jépi lí bilé karúa i’sísá sontárusi nuléala ‘échí kó ‘á sontárusi jú mapú sayérima, nalí bé ké oméro oyería mapu o’ná abói ‘níwi najórala, ayéna ‘á semerósa ré mapú o’ná oyeríwa si’néa´mi pakóta´mi. 
Mexican_constituition 	Cuando en un delito o falta del orden militar estuviese complicado un paisano, conocerá del caso la autoridad civil que corresponda. 	Kíti echo’ná karéwita´mi níima. 
Mexican_constituition 	Artículo 14. 	Artíkuli 14. 
Mexican_constituition 	A ninguna ley se dará efecto retroactivo en perjuicio de persona alguna. 	Ke iyeri nulálíwa´mi ku uwana níisare pakóta´mi karúa isisa. 
Mexican_constituition 	Nadie podrá ser privado de la libertad o de sus propiedades, posesiones o derechos, sino mediante juicio seguido ante los tribunales previamente establecidos, en el que se cumplan las formalidades esenciales del procedimiento y conforme a las Leyes expedidas con anterioridad al hecho. 	Ke wesí chapiruamí nimá alí ke étámi níima namutí mapu niwí, jépiré ké komerachi jóonsa nulárámi nisá mapú reká nisá ré. >Bachárikó echí nokirúamí. 
Mexican_constituition 	En los juicios del orden criminal queda prohibido imponer, por simple analogía, y aún por mayoría de razón, pena alguna que no esté decretada por una ley exactamente aplicable al delito de que se trata. 	A mi riweta´mi níima mapu reka nokisipare mapu reka aní ´échí oselí tamó nulea´mi mapu rekati e´perélipa ´échí najorowa´mi a ké risencia a´lí wa mapu pe mayéka mapu ´échí riká isili ke ´échí alá ikika mapu si´néa´mi ´échí riká anísaá, rikírita´mi nisako echó machíka alá mapu riká nisa ré. 
Mexican_constituition 	En los juicios del orden civil, la sentencia definitiva deberá ser conforme a la letra o a la interpretación jurídica de la ley, y a falta de ésta se fundará en los principios generales del derecho. 	Mapú reka nulá echí najorowa´mi. >Mapu lí suní ´échí najorowa´mi abelako nisá ré mapu reka aní ´échí rosirúa´mi ne chiná e´neká mapu reka aní ´échí oselí tamó nulea´mi. 
Mexican_constituition 	Artículo 15. 	Artíkuli 15. 
Mexican_constituition 	No se autoriza la celebración de tratados para la extradición de reos políticos, ni para la de aquellos delincuentes del orden común que hayan tenido en el país donde cometieron el delito, la condición de esclavos; ni de convenios o tratados en virtud de los que se alteren los derechos humanos reconocidos por esta Constitución y en los tratados internacionales de los que el Estado Mexicano sea parte. 	Ké nakíiliwa nápi omawáma anairúame nápi nijíliame jú nakówame polítiki, tabilé cho échi jaré nakówame nulásiwa anáriwale nápi nokále échi paísi nápi o’ná nakówaka járole, échi isíiluala reobukúala; tabilé cho ra’ichatétali a’li anairúame pé síchoala échi nápi neiníalala rerecho e’teómala á machirúame je’ná kostitutsióni kíta a’li échi anairúame bo’nákala yúa nápi échi Istáro Misikáni á síchomala. 
Mexican_constituition 	Artículo 16. 	Artíkuli 16. 
Mexican_constituition 	Nadie puede ser molestado en su persona, familia, domicilio, papeles o posesiones, sino en virtud de mandamiento escrito de la autoridad competente, que funde y motive la causa legal del procedimiento. 	Ke wési mi nikuméma kebilé mujé retéma´lá, mujé betelachi, alí mujé niwa´lá namúti mapu riká oselí iyiri, jepí ré ´échí nulámi mi bilé oselí mí júlisa échi walúa´lá wilia´mi mapu o´ná aní piri kétera mú winijiwa. 
Mexican_constituition 	Toda persona tiene derecho a la protección de sus datos personales, al acceso, rectificación y cancelación de los mismos, así como a manifestar su oposición, en los términos que fije la ley, la cual establecerá los supuestos de excepción a los principios que rijan el tratamiento de datos, por razones de seguridad nacional, disposiciones de orden público, seguridad y salud públicas o para proteger los derechos de terceros. 	Si´néa´mi a pakóta´mi aníwi derecho kíti a´lá tibukita´mi níima mujé niwa´lá mapu riká rewa´lá a´lí oselí iyiri, checho ku inesarekíti ma ke o’ima ´échí kétera kíti mapu riká raíchasare piri kétera, chúriká aní ´échí nulálíwa´mi, nalí bé á nirú ´échí oselí mapu oná aní píri kítera mú nakuliwama echí oselí. >Jéna suwába kó jú kíti ké majáka inaba. 
Mexican_constituition 	No podrá librarse orden de aprehensión sino por la autoridad judicial y sin que preceda denuncia o querella de un hecho que la ley señale como delito, sancionado con pena privativa de libertad y obren datos que establezcan que se ha cometido ese hecho y que exista la probabilidad de que el indiciado lo cometió o participó en su comisión. 	Ke nijira´mi níima ´échí oselí mapu mí chapimea jépi ré ke nirulisaka bilé winijiwa´mi a´lí ko namúti nokisua mnpure ´échí nuláámi ´échíriká anísaka mapu karúa´miti jú, rikírita´mi níima mapu ke machínama a´lí ko mapure achiriká nisaka mapu noká´lí a´lí ko mayesuwa mapu ´échíriká jú ´échí pakóta´mi mapu karúa isili a´lí ko nikurisa. 
Mexican_constituition 	La autoridad que ejecute una orden judicial de aprehensión, deberá poner al inculpado a disposición del juez, sin dilación alguna y bajo su más estricta responsabilidad. >La contravención a lo anterior será sancionada por la ley penal. 	´Échí nulámiko nabela nijisare osaka mapu o´ná aní kíti chapiboa ´échí karúa isia´mi, ayéna bela simesare ´échí karúa isia´mi oyera´mi túa, wilimi na nokisáa karewia abóni iyiri níima rikita´mi níima mapu riká aní nulá´lí wa´mi. 
Mexican_constituition 	Cualquier persona puede detener al indiciado en el momento en que esté cometiendo un delito o inmediatamente después de haberlo cometido, poniéndolo sin demora a disposición de la autoridad más cercana y ésta con la misma prontitud, a la del Ministerio Público. >Existirá un registro inmediato de la detención. 	Chuwé pakóta´mi a oméro chapia ´échí mapú karúa isiachí riwísáka mapu reka karúa isími. chapíka á nijíma mapú oná mulibé muchuwi jawamí kíti we sapuka karewima ´échí ministerio publiko abela nirulima bilé osélí mapu oná anímea piri kítira chapíirú. 
Mexican_constituition 	Sólo en casos urgentes, cuando se trate de delito grave así calificado por la ley y ante el riesgo fundado de que el indiciado pueda sustraerse a la acción de la justicia, siempre y cuando no se pueda ocurrir ante la autoridad judicial por razón de la hora, lugar o circunstancia, el Ministerio Público podrá, bajo su responsabilidad, ordenar su detención, fundando y expresando los indicios que motiven su proceder. 	Jépi ré wé sapuka. >Mapú lí wé chá riwelisá echí karúamí machírua´mi nisa ´échí osélí kétera mapú tamó nulea´mi jú chúta reká e´perélipa mapuriká ´échí nulálíwa´mi mapu reká mayesuwa mapu ché minábí karúa isíka ínáma. 
Mexican_constituition 	En casos de urgencia o flagrancia, el juez que reciba la consignación del detenido deberá inmediatamente ratificar la detención o decretar la libertad con las reservas de ley. 	Sinibí a´lí ko mapuli ke chiriká ikisa echo´ná mapuli bayesa ´échí jáwa´mi sine rikáchi be na´lí ke ichinako sisa mapu riká katuisa bilé hora, mapu o´ná jú suweriká ikisama, ´échí ministerio publico abela, alíko mapuriká katúili, nulása chapínila, a´lá máchika alíko a´lá raíchaka mapuriká karúa isíli. 
Mexican_constituition 	La autoridad judicial, a petición del Ministerio Público y tratándose de delitos de delincuencia organizada, podrá decretar el arraigo de una persona, con las modalidades de lugar y tiempo que la ley señale, sin que pueda exceder de cuarenta días, siempre que sea necesario para el éxito de la investigación, la protección de personas o bienes jurídicos, o cuando exista riesgo fundado de que el inculpado se sustraiga a la acción de la justicia. >Este plazo podrá prorrogarse, siempre y cuando el Ministerio Público acredite que subsisten las causas que le dieron origen. 	´Échí wea´lá nulámiko, mapuriká aní ´échí misterio publico mapure karúa nokia wikáka, a belatibuta´mimakíti ke machínama ´échí pakóta´mi, mapu o´ná níisare a´lí ko mapu kilipi aní ´échí nulálíwa´mi, ke bela tasi simirare nayosa makói rawe, mapure ´échíriká iwérili nisaka kíti kalá napabúra´mi níima échi raicha´lí, a´lá tibuta´mi níima ´échí pagóta´mi, a´lí mapu iki ´niwi namúti mapu a´lí ´échí karúa isili wisa´a namúti, ke nejeisa mapu riká ´échí nulálíwa´mi aní. 
Mexican_constituition 	En todo caso, la duración total del arraigo no podrá exceder los ochenta días. 	Abela checho winijima nimire, mapu re ´échí riká anísaka 
Mexican_constituition 	Por delincuencia organizada se entiende una organización de hecho de tres o más personas, para cometer delitos en forma permanente o reiterada, en los términos de la ley de la materia. 	´Échí misterio públiki mapure échiriká ilása a´lí ko mápire a nirúlisaka mapure échika nísare. >Arikábe ke tasi simirasare osa naosa makói rawe mapu riká tibuluwa mapu kemachíníima mapu o´ná katewara ati. 
Mexican_constituition 	Ningún indiciado podrá ser retenido por el Ministerio Público por más de cuarenta y ocho horas, plazo en que deberá ordenarse su libertad o ponérsele a disposición de la autoridad judicial; este plazo podrá duplicarse en aquellos casos que la ley prevea como delincuencia organizada. 	Ke bilé wési chapirúa´mi níma échi ministerio público kítera kebela bilé simiró nayósa makói osanaó hora, wela ku machí páta´mi níma wela simero ´échí walua´lá júdicial; jepuna kítira ko wiliminá ku karewita´mi nimire mapu rikáaní ´échí nulálíwa´mi mapure ´échíriká wikáka karúa nokisáaka. 
Mexican_constituition 	Todo abuso a lo anteriormente dispuesto será sancionado por la ley penal. 	Sienea´mi mapu karúanoká abela chiriká rikírita´mi níima mapu rikáaní nulálíwa´mi. 
Mexican_constituition 	En toda orden de cateo, que sólo la autoridad judicial podrá expedir, a solicitud del Ministerio Público, se expresará el lugar que ha de inspeccionarse, la persona o personas que hayan de aprehenderse y los objetos que se buscan, a lo que únicamente debe limitarse la diligencia, levantándose al concluirla, un acta circunstanciada, en presencia de dos testigos propuestos por el ocupante del lugar cateado o en su ausencia o negativa, por la autoridad que practique la diligencia. 	Si´néa´mi mapu riká nuleliwa ánilia namúti biléanabitichi, ´échí wea´lá nuláma ´échíriká, a´lí ko osaka anímea ´échí misterio publico, kítiko anímea kúmi o´ná jú japu o´ná inepa, ´échí pakóta´mi ko a´lí komapu chapiboa a´lí ko chu iyiri namúti a´lí wa alíko chu iyiribi áliwa, kíti osiboa biléana oselíri ma sunisuka, a´lí ko riwíriká testigo mapu riká aníli mapu ´échí bite, mapure ke chiriká ilásake nakisama mapu inema ´échí jáwa´mi. 
Mexican_constituition 	Las comunicaciones privadas son inviolables. 	´Échí raíchali ke bela wési machisá re. 
Mexican_constituition 	La ley sancionará penalmente cualquier acto que atente contra la libertad y privacía de las mismas, excepto cuando sean aportadas de forma voluntaria por alguno de los particulares que participen en ellas. >El juez valorará el alcance de éstas, siempre y cuando contengan información relacionada con la comisión de un delito. 	Na nulálíwa´miko ábela rikiríma mapu karúa nokisáa a´lí ko mapu bacháka acha mapu ke ´échíriká ila ilásaka binoy, nalíbe binoy ´échírikáilásaka simía échi yúa. ´échí oyéra´miko abeláinéma chúreka ikila ´échí kítera, mápire a chiriká anísáka échi raícha´lí mapure karúa nokáli. 
Mexican_constituition 	En ningún caso se admitirán comunicaciones que violen el deber de confidencialidad que establezca la ley. 	Ke bilé nakiwíta´mi níma mapu raíchama alíko ke jaréánacho raíha énama mapuriká raícha´lí échiriká bela aní ´échí nulálíwa´mi. 
Mexican_constituition 	Exclusivamente la autoridad judicial federal, a petición de la autoridad federal que faculte la ley o del titular del Ministerio Público de la entidad federativa correspondiente, podrá autorizar la intervención de cualquier comunicación privada. 	Pe mapureka aní échi wéa´lábi jáwa´mi júdisia´lí jerera´li, a´lí ministerio publicope mapu o´ná jóonsa bi nulásare ´échíriká níisare karéwa´mi ´échí raícha´lí, ábela nakiwíta´mi níima mapureka nuléta´mi mi jú kíti échiriká nocháma. 
Mexican_constituition 	Para ello, la autoridad competente deberá fundar y motivar las causas legales de la solicitud, expresando además, el tipo de intervención, los sujetos de la misma y su duración. >La autoridad judicial federal no podrá otorgar estas autorizaciones cuando se trate de materias de carácter electoral, fiscal, mercantil, civil, laboral o administrativo, ni en el caso de las comunicaciones del detenido con su defensor. 	Nalíbe, ´échí jáwa´mimapuriká newasare osakachúrikáníli a´lí ko raíchaka chúreka noká´lí échi pagóta´mi a´lí chúriká ikilipiriká noká´lí. ´échí jáwa´mi júdicial jerera´li ke bela tasi oméro nijía risencia nijia mapu a´lí wawelaria´mi nirulimare, fiska´lí, ra´lámijú a´lí ko ra´lí neawa´mi, sibili mapureka nócha a´lí ko mapu iyiri be´nekámi jú, a´lí ko kecho oméro túa raicha ´échí mapu karúa isili a´lí ko mapu kuira isimi. 
Mexican_constituition 	Los Poderes Judiciales contarán con jueces de control que resolverán, en forma inmediata, y por cualquier medio, las solicitudes de medidas cautelares, providencias precautorias y técnicas de investigación de la autoridad, que requieran control judicial, garantizando los derechos de los indiciados y de las víctimas u ofendidos. 	Mapu o´ná jóonsa nulá échi júdisia´lí ábelaníwima mapu oyéra´mi jú kíti a´lá karewa, we sapuka, a´lí kowe jiyáwiká rikírima, taníwa´mi mapu telí bacháramí níima, kití echí reká amáa echí jawamí, mapú reká néwalé echí júdisia´lí, a riwíka echí niwála derechowalá echí mayéra´mi alí echí risóa olirúa´mi alí mápi sí chiwíaka´mi. 
Mexican_constituition 	Deberá existir un registro fehaciente de todas las comunicaciones entre jueces y Ministerio Público y demás autoridades competentes. 	A nirulisaré mapú reka machírúa´mi níima ne machía´mi échi suwába mapú reka raichásimi echí jawamí oyéra´mi alí ministerio público alí jaréchó sí jawaámi kompitenti. 
Mexican_constituition 	Las intervenciones autorizadas se ajustarán a los requisitos y límites previstos en las leyes. 	Mapu riká sí nakíirami mapu nocháma mapú reká tánitami jú a’lí mápi rikó jóonsa aní echí nulalíwami. 
Mexican_constituition 	Los resultados de las intervenciones que no cumplan con éstos, carecerán de todo valor probatorio. 	Echí má machirúami mapu riká átami jú a’lí ké ‘échi reká nokisáa mápu reká nulelíwa á newaléma mápu reká natéami nirába. 
Mexican_constituition 	La autoridad administrativa podrá practicar visitas domiciliarias únicamente para cerciorarse de que se han cumplido los reglamentos sanitarios y de policía; y exigir la exhibición de los libros y papeles indispensables para comprobar que se han acatado las disposiciones fiscales, sujetándose en estos casos, a las leyes respectivas y a las formalidades prescritas para los cateos. 	Echí wilíami nuláami á isíima basalówia betélachi pé machiméya bí ácha nokíira mapú reká nulérami jú échi bewáami a’lí echí policía; a’lí iwérali anéa mápu reká si’néami riwírima échi líbiro a’lí oselí wé né walelíwami mápu reká machibóa mápu reká á nokíiru mápu reká nulá echí jáwami fiskales, enésika jé iriká nisa kó, mápu reká aní nulalí ‘waami a’lí mápu reká a’lá niísa ré échi amiwaáami. 
Mexican_constituition 	La correspondencia que bajo cubierta circule por las estafetas estará libre de todo registro, y su violación será penada por la ley. 	Echí ma ku nejéwiwamí ké machía´mi oliwáa´mi echí estafetas, á ké wési ompáma enéa, ké riwita´mi nísa kó kastigarita´mi níma echí nuláliwa´mi kítera. 
Mexican_constituition 	En tiempo de paz ningún miembro del Ejército podrá alojarse en casa particular contra la voluntad del dueño, ni imponer prestación alguna. 	Ké nekówachi ké wesi echí sontarisi oméroma ripía chuwé kalírili ké chiriká elásako niwa´lá, ke bilé táa mapu tanewipa namutí. 
Mexican_constituition 	En tiempo de guerra los militares podrán exigir alojamiento, bagajes, alimentos y otras prestaciones, en los términos que establezca la ley marcial correspondiente. 	Jépi lí nekówachi níisa echí sontarisi á oméro iwéralí táa mapu oná ripima, echí suwába sontarisi, kowáamí alí jarécho tawámi, mapu reká aní echí nuláliwa´mi mapu reká alá jú. 
Mexican_constituition 	Artículo 17. 	Artíkuli 17. 
Mexican_constituition 	Ninguna persona podrá hacerse justicia por sí misma, ni ejercer violencia para reclamar su derecho. 	Ké bilé pakóta´mi oméroma karewia binoí kétera, alí ké nekóka táama binói derechowa´lá. 
Mexican_constituition 	Toda persona tiene derecho a que se le administre justicia por tribunales que estarán expeditos para impartirla en los plazos y términos que fijen las leyes, emitiendo sus resoluciones de manera pronta, completa e imparcial. 	Sínea´mi pakotamí ´niwi derecho mapu reká karewilipa tribunalchi mapu reka alá kilíi nijíba mapu rekó anírua´mi jú alí mapu reká aní ´échí nulálíwa´mi, anísika bujana wé sapú, séba´lí alá wachia´mi. 
Mexican_constituition 	Su servicio será gratuito, quedando, en consecuencia, prohibidas las costas judiciales. 	Echí kuirolia´mi ké natetika níima, ripika, ké natetika echí júdiciales. 
Mexican_constituition 	El Congreso de la Unión expedirá las leyes que regulen las acciones colectivas. >Tales leyes determinarán las materias de aplicación, los procedimientos judiciales y los mecanismos de reparación del daño. 	Echí konkreso napawíka nijíma echí nulálíwa´mi kíti ku anarí newa´lí wa´mi napawíka. ´échí nulálíwa´mi aníméa, jéruka newama, echí newásiwa´mi júdiciales alí chu reká kú natetima mapú reká suwé isilí. 
Mexican_constituition 	Los jueces federales conocerán de forma exclusiva sobre estos procedimientos y mecanismos. 	Echí júeces jerera´lies á machíméa mapú reká né newásiwa echí. 
Mexican_constituition 	Las leyes preverán mecanismos alternativos de solución de controversias. 	Echí nuláliwa´mi á ´niwima mapu reká kárewipá echí naáwawa´mi. 
Mexican_constituition 	En la materia penal regularán su aplicación, asegurarán la reparación del daño y establecerán los casos en los que se requerirá supervisión judicial. 	Echí rikíria´mi ánarí nokiméa, né wichiwalí kú rikírima mapú reká suweé isíli alí á niwáma ´échí namutí mapú reká tába néliwa´mi júdicial. 
Mexican_constituition 	Las sentencias que pongan fin a los procedimientos orales deberán ser explicadas en audiencia pública previa citación de las partes. 	´Échí rikíriwa´mi má suniwa´mi mapú reká nokisíwa raíchasia á iwéra´lí ruyéta´mi níma echí najórowachi námitika bachá anéa chí okúanata´mi. 
Mexican_constituition 	Las leyes federales y locales establecerán los medios necesarios para que se garantice la independencia de los tribunales y la plena ejecución de sus resoluciones. 	Echí nuláliwa´mi omána alí naí á newáma mapú reká natéa´mi níima ecchí nakiramíechí oná najórimachí né alí newa´lí wachí karewa´lí wa´mi. 
Mexican_constituition 	La Federación, los Estados y el Distrito Federal garantizarán la existencia de un servicio de defensoría pública de calidad para la población y asegurarán las condiciones para un servicio profesional de carrera para los defensores. 	´Échí omána, estadochí alí ristrito jerera´li natéa´mi nirama mapú reká níru sinéa´mi kuíra´mi ké bujéka sinéa´mi mapú reká nuléliwa jemí peréa´mi kétera wichiwwka kuiroma we alá machíká mapú echí reká benelí kití echí reká nikúroma. 
Mexican_constituition 	Las percepciones de los defensores no podrán ser inferiores a las que correspondan a los agentes del Ministerio Público. 	Machíka echí nukuramí ké ompama okúa mapú reká niwí échi jawamí ministerio publico. 
Mexican_constituition 	Nadie puede ser aprisionado por deudas de carácter puramente civil. 	Ké wesí éritamí níima wekásáa chuwé pakóta´mi. >Mapú reká machía´mi chuwé pakotamí. 
Mexican_constituition 	Artículo 18. 	Artíkuli 18. 
Mexican_constituition 	Sólo por delito que merezca pena privativa de libertad habrá lugar a prisión preventiva. 	Échi sitéma mo’walíwala á napawítoma chimí bacháwataka échi riwíila rerecho e’teówala, nocháala kíta, échi benériwala nápi re bi’nówala, échi benelí, échi salúti a’li échi re’ekíala nápi riká nolérula sebárima échi ucheichótala échi bachárame echimí napawítola a’li e’nérisiwame nápu ké uchécho nekóma, e’nésuaka échi ku’wirá nápi échi kíta tibú échi nulalí. 
Mexican_constituition 	El sitio de ésta será distinto del que se destinare para la extinción de las penas y estarán completamente separados. 	Échi u’mukí machibóa kípu rewéala chimíwala rojániwala échi chimitóala échi e’teó nápi ikísuala jú. 
Mexican_constituition 	Las mujeres compurgarán sus penas en lugares separados de los destinados a los hombres para tal efecto. 	´Échi sitema kitera mapu nula silia´mi ´echi ko nokiméa institusionchies, tribunales a´li jáwa´mi wéala 
Mexican_constituition 	La Federación, los Estados y el Distrito Federal podrán celebrar convenios para que los sentenciados por delitos del ámbito de su competencia extingan las penas en establecimientos penitenciarios dependientes de una jurisdicción diversa. 	Machía´mi ´echirika nochaa e impartición de justicia ´echi kuuchi temuli kitera. >A omeropa niwaa bilé nulalíwa´mi mapu rika aruyeba, chirika tuka eenama a´li chi iyiri owaa´mi bajima mapu iyiri newalé o mapu nisare oa suwába mapu inili a´li mapu newalé suwába kuuchi temuli. 
Mexican_constituition 	La Federación y las entidades federativas establecerán en el ámbito de sus respectivas competencias, un sistema integral de justicia para los adolescentes, que será aplicable a quienes se atribuya la comisión o participación en un hecho que la ley señale como delito y tengan entre doce años cumplidos y menos de dieciocho años de edad. 	Échirika a´sare kíti né chiríka nokísima mapu riká aní sistema, échirika katuíta´mi jú mapu o´ná jóonsa newalíwa. >Suwába né chiriká béla nokísare kúuchi téma´li kíti chiriká inéta´mi níima, échi jáwa´mi bí béla oyérima a´lí mo´a échi belá animéa chúreka olába. 
Mexican_constituition 	Este sistema garantizará los derechos humanos que reconoce la Constitución para toda persona, así como aquellos derechos específicos que por su condición de personas en desarrollo les han sido reconocidos a los adolescentes. 	Jéna belá animé apiri kítera karúa nokála a´lí kíti kú kilíi iyénima a´lí binói retémala, chúrika ochérisimi binói kítera a´lí mapuriká nata. 
Mexican_constituition 	Las personas menores de doce años a quienes se atribuya que han cometido o participado en un hecho que la ley señale como delito, sólo podrán ser sujetos de asistencia social. 	Mapu alí bachálíwa ko a´lá tibúta´mi níima chukore 
Mexican_constituition 	La operación del sistema en cada orden de gobierno estará a cargo de instituciones, tribunales y autoridades especializados en la procuración e impartición de justicia para adolescentes. >Se podrán aplicar las medidas de orientación, protección y tratamiento que amerite cada caso, atendiendo a la protección integral y el interés superior del adolescente. 	Téeli nokaí karewá, alí kuúchi téma´li bi béla échirika oliwa mapu kécho makói nayó bamíba, mapú a´lí mayéwa mapu wabe rasirika karua isíli. 
Mexican_constituition 	Las formas alternativas de justicia deberán observarse en la aplicación de este sistema, siempre que resulte procedente. 	Jaré mapu ma pachá eta muchúwí, alí jemí kawí mexico ocheramí, nalí mekabé mochísa eta, a be jémi ku mochia natetima mapu karúa nokálí. 
Mexican_constituition 	El proceso en materia de justicia para adolescentes será acusatorio y oral, en el que se observará la garantía del debido proceso legal, así como la independencia de las autoridades que efectúen la remisión y las que impongan las medidas. >Éstas deberán ser proporcionales al hecho realizado y tendrán como fin la reinserción y la reintegración social y familiar del adolescente, así como el pleno desarrollo de su persona y capacidades. 	Abóni ku, newa´láká ne mapu reká aní nulálíwa´mi ne chiriká wee oyéripa, we bitea´mi nisa karúa´mi, o pe ke me chati nisa karúamí, isini a ku toká mulipi mapu oná bete ´échími ku oyéripo, nalí alá e´neká nawesalí mapu nili bachá raicharámi alí osirua´mi tratados internacio´náles a´lá nariká karúa nokáamí a cha elaya abóni, kíti oyeripa mulipi abóni ku e´perélachí. 
Mexican_constituition 	El internamiento se utilizará sólo como medida extrema y por el tiempo más breve que proceda, y podrá aplicarse únicamente a los adolescentes mayores de catorce años de edad, por la comisión o participación en un hecho que la ley señale como delito. 	Machísuwa mapu karúa noká´lí, kilípi abóni ku alá natama alí aboní retema´lá ku wikáwa´lí taníma, kíti buyása chimi si ku e´perélima, ma ku buyása ko eta mochia. 
Mexican_constituition 	Los sentenciados de nacionalidad mexicana que se encuentren compurgando penas en países extranjeros, podrán ser trasladados a la República para que cumplan sus condenas con base en los sistemas de reinserción social previstos en este artículo, y los sentenciados de nacionalidad extranjera por delitos del orden federal o del fuero común, podrán ser trasladados al país de su origen o residencia, sujetándose a los Tratados Internacionales que se hayan celebrado para ese efecto. >El traslado de los reclusos sólo podrá efectuarse con su consentimiento expreso. 	We natuwiká wikáka karúa nokisáaa, ké risénsia jú, kíti sapú ku buyama, ´échí ko ké kuirowa, ´echi nakí we alá tibukiwa´mi, isini kú júmísisa, alí echí jawamí a newaáma, mapú oná ne alá eta muchuwába karúa nokáamí alí ké umeroma túa ku raicha retema´lá, kíti ´échí karúa´mi we chati jú, we risóa olalí a jarécho, a risénsia aba kíti yúa raichama ´échí wilia´mi alí jáwa´mi nikura´mi alí abóni ra´íchaka anemea chu reka alá tibupa kíti ke júmisima, ne a´lá aneka echí nawesa´lí nulá´lí wamí, ayéna cho ´échí riká we olába che jarécho karúa cho nokáamí. 
Mexican_constituition 	Los sentenciados, en los casos y condiciones que establezca la ley, podrán compurgar sus penas en los centros penitenciarios más cercanos a su domicilio, a fin de propiciar su reintegración a la comunidad como forma de reinserción social. >Esta disposición no aplicará en caso de delincuencia organizada y respecto de otros internos que requieran medidas especiales de seguridad. 	Ma alá eta muchuwára´mi, ne mapu riká nuláli nulalíwa´mi, a ku rikírima mo’óliwachi mochía mulipi mapu nirú abói perélachi, kíti ma ku buyása ku ´echi mi komiráchi ku alá si perélima. jena ké kuíri mapu aló jaré wikaka natúwika karua nokisáaa, alí jarécho mapu nakí kíti alá tibúta´mi ju pachá a mochía. 
Mexican_constituition 	Para la reclusión preventiva y la ejecución de sentencias en materia de delincuencia organizada se destinarán centros especiales. >Las autoridades competentes podrán restringir las comunicaciones de los inculpados y sentenciados por delincuencia organizada con terceros, salvo el acceso a su defensor, e imponer medidas de vigilancia especial a quienes se encuentren internos en estos establecimientos. 	Mapu alí jaré pe teeli mo’álíwa, mapu alí kecho aneliwa chu kilipi mochíama eta mapu karúa nokáli wikaka natúwika a muchuwára´mi nima waná. jáwa´mi wéala kompitentes ´echi ké nakíwima kíti túa ra’ícháma mapu ichéwiliwa kíti túa raícháma mapu ichéwiliwa alí mapu ma anéra´mi jú chu kilí mochíma kíti ´echiriká ku rikírima o rikiméa ´echi mapu napawíka natúwika karua nokáli, nikura´mi bi a onpama bakiká túa raícha,´echi we alá tibúka olába, mapu a eta muchúwi ´echirikaachi. jarécho ´echiriká nokisáaa ayénacho waná eka muchuaka alá tibupa, ne mapu riká an í nulalíwa´mi nima. 
Mexican_constituition 	Artículo 19. 	Artíkuli 19. 
