Mexican_constitution 	CONSTITUCIÓN POLÍTICA DE LOS ESTADOS UNIDOS MEXICANOS 	NDÄTHOT’I, HÑÄSÜMP O TE X E NI HNINI G A THO M’OND A 
Mexican_constitution 	El Presidente del Consejo Nacional de Evaluación de la Política de Desarrollo Social presentará anualmente a los Poderes de la Unión un informe de actividades. 	Ra nza̱yo ts’̱utbi ge mp̱efi ka ra Ngu hmunts’i ge handi te p̱efi ya xa̱mpate Handi te p̱efi pa da nte ya jä’i da ñudi nu’ä xa m̱efi nu’̱u ya jä’i mp̱efi ka ra Hmunts’i ñä pa pa da ns̱edi ra hnini. 
Mexican_constitution 	Comparecerá ante las Cámaras del Congreso en los términos que disponga la ley. 	Ge nehe da ñudi ha ra Hmunts’i ñä pa ra hnini ge ra hmända ma hanja dra m’̱ui ya jä’i ngeä ge’ä xa nja ra kohi njap’̱u. 
Mexican_constitution 	Artículo 27. 	X̱eni n’ote ma ’yoto 27. 
Mexican_constitution 	La propiedad de las tierras y aguas comprendidas dentro de los límites del territorio nacional, corresponde originariamente a la Nación, la cual ha tenido y tiene el derecho de transmitir el dominio de ellas a los particulares, constituyendo la propiedad privada. 	Ya m̱eti ya hai ne ra dehe num̱u m̱up̱u ka ra x̱eni hai gotho M’onda̱, ge xi ra m̱eti ra hnini M’onda̱, nuna ge xa m̱etsi ne p̱etsi ra mhää ge tähä nuna ̱embi ra m̱ets̱ea, xi xa hoki para m̱etis̱ea. 
Mexican_constitution 	Las expropiaciones sólo podrán hacerse por causa de utilidad pública y mediante indemnización. 	Nu pa di t’a̱m’i ge dar za̱ da t’a̱m’i num̱u pa ge gotho da un ne da thümbi zäm̱u. 
Mexican_constitution 	La nación tendrá en todo tiempo el derecho de imponer a la propiedad privada las modalidades que dicte el interés público, así como el de regular, en beneficio social, el aprovechamiento de los elementos naturales susceptibles de apropiación, con objeto de hacer una distribución equitativa de la riqueza pública, cuidar de su conservación, lograr el desarrollo equilibrado del país y el mejoramiento de las condiciones de vida de la población rural y urbana. 	Ra xihmahi p̱etsi zäm̱u da hembi ra m̱etis̱e un hanja ̱u xa ne, ne xa mädi pa gotho, ne pa da nu xi dar za̱, pa gotho ja jäi ̱u nua m̱ui ka ra hnini, pa xi da ziptho nu ̱u mup̱u ka ra hnini ne hinto da hembi ya m̱et’i, ge xi da thuni pa rangutho ne kongatho di ge ̱u xi p̱etsi ra hoy pa gotho, xi da mädi ne xi da mutp̱u ̱u p̱etsi, pa xi da nte ne xi di ngutho ka ra M’onda̱ ne ra za hogi ya m̱ui nzaki ya jäi ka ra hnini m̱etho ne ka ya hnini nte. 
Mexican_constitution 	En consecuencia, se dictarán las medidas necesarias para ordenar los asentamientos humanos y establecer adecuadas provisiones, usos, reservas y destinos de tierras, aguas y bosques, a efecto de ejecutar obras públicas y de planear y regular la fundación, conservación, mejoramiento y crecimiento de los centros de población; para preservar y restaurar el equilibrio ecológico; para el fraccionamiento de los latifundios; para disponer, en los términos de la ley reglamentaria, la organización y explotación colectiva de los ejidos y comunidades; para el desarrollo de la pequeña propiedad rural; para el fomento de la agricultura, de la ganadería, de la silvicultura y de las demás actividades económicas en el medio rural, y para evitar la destrucción de los elementos naturales y los daños que la propiedad pueda sufrir en perjuicio de la sociedad. 	Ge ka danjap̱u min’a da mhää ge da nja ra ts̱edi jar m̱edi pa da nu hamp̱u du m̱ui ya ngu ya jäi ne da mup̱u cẖutho ne ka da thombi hamp̱u da m̱ui ma naki, da mup̱u, da yi̱egi ne da nu ya hoy, dehe ne ya t’̱oẖo pa ha da thoki ya nguthoki m̱up̱u pa gotho ne da ḇehni ha da nja pa di thoki ma ra pa da mutp̱u, ne xi da hogi ra za̱ ne xi da te un made ka ya hnini pa da nte ne xi da mutp̱u ya hoy t’̱oẖo; pa di hieki ya jäi ̱u mup̱u; ge xa mhää ra hmända xa thuxp̱u, ha da nja di heke pa gotho nu ya hoy m’athä ne ya hnini; pa xi da nte, ya zi hoy m̱etho; pa xi di mpot’i, pa di m̱ui ya mbohni, ne ko te da mpot’i ne ma ha da jäpi ra m̱efi pa di dini ra bojä nu ya jäi ma m̱etho, ne pa hinda xoni nu̱u p̱etsi ra zi hoy ne hinda nu ̱u ṉ̃embi ya m̱ethi pa hinda tsü ne hinda un ra m̱ui ra hnini. 
Mexican_constitution 	Corresponde a la Nación el dominio directo de todos los recursos naturales de la plataforma continental y los zócalos submarinos de las islas; de todos los minerales o substancias que en vetas, mantos, masas o yacimientos, constituyan depósitos cuya naturaleza sea distinta de los componentes de los terrenos, tales como los minerales de los que se extraigan metales y metaloides utilizados en la industria; los yacimientos de piedras preciosas, de sal de gema y las salinas formadas directamente por las aguas marinas; los productos derivados de la descomposición de las rocas, cuando su explotación necesite trabajos subterráneos; los yacimientos minerales u orgánicos de materias susceptibles de ser utilizadas como fertilizantes; los combustibles minerales sólidos; el petróleo y todos los carburos de hidrógeno sólidos, líquidos o gaseosos; y el espacio situado sobre el territorio nacional, en la extensión y términos que fije el Derecho Internacional. 	Ge da nuä ra gotho M’onda̱ da nt’äte njuantho di ge ya m̱ui gotho ̱u m̱u ka ra x̱eni da hembi ya m̱ethi ya däthe; gotho ̱u te jä ne te ẖo, da hoki ha da ḵuati ya metsi nu ̱u rangutho ne ̱u n’anyo di ge ya hoi, ngu jä ̱u ya nza̱tho do ya hu̱exdo pa di thoki ko ya ḇojä ma ra ya nzatho do, ne ra ̱u pa te di thoki ma ra ya metsi di ge ra dehe, ne ma ra te di thoki ya done numuxta te da thoki ge da jar medi ra m̱efi ka ya däthe, ne num̱u te da rinine ge gotho ̱u di thoki ma ra ya üxü pa ya thä ya nziki ya ḇojä ne ma ra ya ñ’ethi xa nk’ä; ra petrolio ne gotho ñ’ethi n’yoni ne ṉu ̱u xa nkä; ne ra xidi mup̱u ka ra x̱eni gotho M’onda̱, konge ä xi xanxidi ne di gätsi ge da hiandi ndää p̱etsi konge ra n’an’yohnini. 
Mexican_constitution 	Son propiedad de la Nación las aguas de los mares territoriales en la extensión y términos que fije (sic DOF 20-01-1960) Derecho Internacional; las aguas marinas interiores; las de las lagunas y esteros que se comuniquen permanente o intermitentemente con el mar; las de los lagos interiores de formación natural que estén ligados directamente a corrientes constantes; las de los ríos y sus afluentes directos o indirectos, desde el punto del cauce en que se inicien las primeras aguas permanentes, intermitentes o torrenciales, hasta su desembocadura en el mar, lagos, lagunas o esteros de propiedad nacional; las de las corrientes constantes o intermitentes (sic DOF 20-01-1960) y sus afluentes directos o indirectos, cuando el cauce de aquéllas en toda su extensión o en parte de ellas, sirva de límite al territorio nacional o a dos entidades federativas, o cuando pase de una entidad federativa a otra o cruce la línea divisoria de la República; la de los lagos, lagunas o esteros cuyos vasos, zonas o riberas, estén cruzadas por líneas divisorias de dos o más entidades o entre la República y un país vecino, o cuando el límite de las riberas sirva de lindero entre dos entidades federativas o a la República con un país vecino; las de los manantiales que broten en las playas, zonas marítimas, cauces, vasos o riberas de los lagos, lagunas o esteros de propiedad nacional, y las que se extraigan de las minas; y los cauces, lechos o riberas de los lagos y corrientes interiores en la extensión que fija la ley. 	Ya m̱eti ra xihmahi M’onda̱ ya dehe nu̱u mup̱u ka ra däthe ne kongotho ra xihmahi xa mhää ne xa nu (sic DOF 20-01-1960) ya m̱etsi kongotho ra M’onda̱; ya dehe nü cẖutho; nu ya cẖulo däthe ne di ge ̱u ma ra ̱u xa mhää zämu nu ta hä bi ts̱egi ra däthe; ne konge ̱u ya cẖulo däthe ̱u xa m̱up̱u konge ya dehe ge ya m̱eti ̱u ne; nu ya n’u ya dehe ne nup̱u ha p̱oni, nup̱u xa xi rin du p̱oni ya n’a dehe ge xi mup̱u ne pa, ts̱ep̱u ne xi ra nxidi, ne tagep̱u har ts̱ot’e k ara däthe, ka ya cẖulo däthe ua gep̱u ha xa mpone ge gotho y̱u ya m̱eti M’onda̱ ne, nu ya nẕothe ̱u xi p̱oni ne xi ‘yo k ara n’u (sic DOF 20-01-1960) ne nu ̱u to xi n’u ge xi handätho njuantho, ham̱u xi da nḏu nu ä ne xi dar nxidi di ge ̱u, ge xi dar za̱ pa ra xihmahi M’onda̱ ne ko yoho ya x̱eni hnini M’onda̱, ne ua ham̱u da thogi di ge n’a ra x̱eni hnini gotho M’onda̱ ne ha ma n’a da thop̱u k ara nts̱egi ra gotho M’onda̱; di ge ya n’u däthe, nu ya n’u däthe, nup̱u ha ts̱ot’e, ge xi xa m̱ui ya tsät’i p̱u ha ts̱egi di gehi’a yoho ya x̱eni hnini gotho M’onda̱ ne muhui k ora n’an’yo meng̱u; nu ya ndämhe pu ha p̱oni ra dehe nu ka ya m’omu däthe, ge ka mup̱u ya dehe ̱u xa nü, pop̱u, ya m’̱ehe ne ‘yo ka n’uthe ne pa ka ya p̱othe ge embi ra m̱eti ra ndä M’onda̱, ne nu ̱u ba tu ka ya nhuexdo; ne ̱u ya pothe, ̱u hä xa thoki di ge ya n’u dehe ne ya nẕothe ̱u mupu getho ne nu̱u mup̱u ya p̱u xa nṯungi ge xa hiandi ra hmända. 
Mexican_constitution 	Las aguas del subsuelo pueden ser libremente alumbradas mediante obras artificiales y apropiarse por el dueño del terreno, pero cuando lo exija el interés público o se afecten otros aprovechamientos; el Ejecutivo Federal podrá reglamentar su extracción y utilización y aún establecer zonas vedadas, al igual que para las demás aguas de propiedad nacional. 	Ge nu p̱othe k ara hoy ge xi da thegi da mup̱u pa ko te di thoki ma ra ya m̱etsi ne da hembi ra m̱eti ä to the ra hoy, pe num̱u da ia̱ni ne da ia̱di ä da nhe pa gotho ra x̱eni ne ua xi xa tsoni ma ra ya te mup̱u; ra mutsi gotho M’onda̱ ge xi dar za̱ da n’u ne da tu pa dä nu ha da jäpi di hoki pa di dux ma n’angdi majuani, ne ka da jätp̱u ma ra ̱u ya dehe ̱u ya m̱eti ra xihmahi M’onda̱. 
Mexican_constitution 	Cualesquiera otras aguas no incluidas en la enumeración anterior, se considerarán como parte integrante de la propiedad de los terrenos por los que corran o en los que se encuentren sus depósitos, pero si se localizaren en dos o más predios, el aprovechamiento de estas aguas se considerará de utilidad pública, y quedará sujeto a las disposiciones que dicten los Estados. 	Ne ne̱u ma ra ya dehe ̱u hingi mup̱u ka ya m̱eti ̱u ya xpa thuxp̱u ma ñä, ge xi embi ya m̱etinehe jäpi da juät’i ka ya m̱etis̱ea ya hoi ̱u ha ‘yo ra dehe ne ne̱u xi xa mup̱u pop̱u, ne xi ts’i gotho, ne ge xi da n’u ne da mädi pa dä n’u ha da jäpi ya x̱eni hnini. 
Mexican_constitution 	En los casos a que se refieren los dos párrafos anteriores, el dominio de la Nación es inalienable e imprescriptible y la explotación, el uso o el aprovechamiento de los recursos de que se trata, por los particulares o por sociedades constituidas conforme a las leyes mexicanas, no podrá realizarse sino mediante concesiones, otorgadas por el Ejecutivo Federal, de acuerdo con las reglas y condiciones que establezcan las leyes, salvo en radiodifusión y telecomunicaciones, que serán otorgadas por el Instituto Federal de Telecomunicaciones. >Las normas legales relativas a obras o trabajos de explotación de los minerales y substancias a que se refiere el párrafo cuarto, regularán la ejecución y comprobación de los que se efectúen o deban efectuarse a partir de su vigencia, independientemente de la fecha de otorgamiento de las concesiones, y su inobservancia dará lugar a la cancelación de éstas. 	Nu’̱u xa t’en’a ge huxkua ka nun’a Thot’i ge ma ge ra ha̱i M’onda̱ ns̱e ja n’a ne ni n’a hindi hñäts’i ne nuḇu to’o ne da hñä’i ra n’yot’i, ra dehe ne ga̱tho nu’̱u ja ne ḇui ka ra ha̱i M’onda̱ p̱etsi da bädi ra ts’̱utbi ne ra nza̱yo nep̱u da hyandi num’̱u tsa̱ da ñuni ra ns̱eki ge njam̱u ma ra hmända ga̱tho nuya handi ne pädi ra Nugu Hmunts’i ̱entsi ra ts’̱edi, ge’ä xa zipi da hyandi ne da jamasu ya hmända nu ra Ngu Hmunts’i handi te p̱efi ya ra’yo bojä thandi yap’̱u da hyandi ne da ñuni ra ns̱eki ya nṯoxgu, ya thandi yam̱u ne da njamasu ga̱tho nuya. 
Mexican_constitution 	El Gobierno Federal tiene la facultad de establecer reservas nacionales y suprimirlas. >Las declaratorias correspondientes se harán por el Ejecutivo en los casos y condiciones que las leyes prevean. 	Ga̱tho ya kohi ne hmända hüts’i ha njapi da ḇefi ya n’yot’i, ra tsibi ge njaḇu ma ra x̱eni goho thuhu gehya da hyandi ne bädi te ḇefi ko nuya ya dehe, ya tsibi ne ya ha̱i nap̱u ra ta nza̱yo ko ra mfats’i ra ts’̱utbi da su ne ñumbi ga̱tho ya mengu M’onda̱ nge’ä nun’a da ñumbi ne tsa̱ da hñambi nubu hingi hña ngu di ñëhë nge’ä njap̱u ma ra hmända, ga̱tho nuyu nup̱u te da thogi da thandi te da nja ngu mangä nun’a Thot’i ge ra hñoui ya hmända. 
Mexican_constitution 	Tratándose de minerales radiactivos no se otorgarán concesiones. >Corresponde exclusivamente a la Nación la planeación y el control del sistema eléctrico nacional, así como el servicio público de transmisión y distribución de energía eléctrica; en estas actividades no se otorgarán concesiones, sin perjuicio de que el Estado pueda celebrar contratos con particulares en los términos que establezcan las leyes, mismas que determinarán la forma en que los particulares podrán participar en las demás actividades de la industria eléctrica. 	Ya bojä hingi tsa̱ da hñähi nx̱oge ne hinto da t’umbi ns̱eki nge’ä ra m̱eti ga̱tho ya mengu M’onda̱ nehe ra n’yot’i ra m̱eti ga̱tho ra ha̱i M’onda̱ ra m̱eti ga̱tho ya mengu M’onda̱ nun’a ya hmända handi ne jamasu pa da ẕoni ga̱tho ya hnini ne da hñä ngu di ñëhë, ra n’yot’i hingi t’uni da m̱efi n’a ra hmunts’i ge nuya handi ya nza̱yo ne ya ts’̱utbi ge njam̱u ma ra hmända ge da jamasu de mp̱efi ga̱tho ya pa ngu di ñëhë ne da jamasu ge hamp’̱u da mp̱efi to’̱u pädi ne xa nxa̱di pa da hyoki nun’a ḇefi ge da nja ra ḇefi hamp̱u di thoki ra tsibi ne ra n’yot’i ge njaḇu xamä ra hmända ge nehe tsa̱ da nja ra ḇefi ka ma ra ḇefi ge mp̱efi ko ra n’yot’i ne thoki ndunthi ya ḇefi. 
Mexican_constitution 	Tratándose del petróleo y de los hidrocarburos sólidos, líquidos o gaseosos, en el subsuelo, la propiedad de la Nación es inalienable e imprescriptible y no se otorgarán concesiones. 	Da fädi ge ra tsibi n’yot’i ne ga̱tho nu’̱u p̱oni ua ngu ya tsibi dehe ne nu’̱u p̱oni ngu ra b’ipa ka ra ha̱i ge ra m̱eti nx̱oge ra ha̱i M’onda̱ ha hinda t’̱uni ra ns̱eki to’o ne da hñä. 
Mexican_constitution 	Con el propósito de obtener ingresos para el Estado que contribuyan al desarrollo de largo plazo de la Nación, ésta llevará a cabo las actividades de exploración y extracción del petróleo y demás hidrocarburos mediante asignaciones a empresas productivas del Estado o a través de contratos con éstas o con particulares, en los términos de la Ley Reglamentaria. 	Nge’ä nuḇu to’o ne da hñä ne da ’y̱ot’e ra m̱eti s̱e ne da nte s̱e. >Ra ha̱i M’onda̱ da ñuni ns̱eki to’o ne da mp̱efi ne da ñahi ra tsibi n’yot’i ne da ñumbi ra ḇefi to’o pädi da ñahi ga̱tho nuya ga̱tho nuya da thuts’i ka n’a ra ẖe’mi ne da bädi ga̱tho ya mengu M’onda̱ nge’ä njap’̱u ma ra hmända ge ma te di m’̱ui ya jä’i. 
Mexican_constitution 	Para cumplir con el objeto de dichas asignaciones o contratos las empresas productivas del Estado podrán contratar con particulares. >En cualquier caso, los hidrocarburos en el subsuelo son propiedad de la Nación y así deberá afirmarse en las asignaciones o contratos. 	Da fädi ge ga̱tho nuya ra m̱eti ra ha̱i M’onda̱ ne da njamasu nge’ä kon gehya da te ra h ai M’onda̱ ko nga̱tho ya jä’i ne da m̱ets’i ra ts’̱edi ra ha̱i M’onda̱ ne ñuni ns̱eki ma ra ya jä’i pe da mp̱efi ngu nu’ä ma ra hmända ge xa ñuts’i ya nza̱yo ne ya ts’̱utbi xa ñets’i ya mengu M’onda̱ ne ge ṯunt’i ya ’y̱e ne ya ẖem’i di t’uni ya m̱efi. 
Mexican_constitution 	Corresponde también a la Nación el aprovechamiento de los combustibles nucleares para la generación de energía nuclear y la regulación de sus aplicaciones en otros propósitos. 	Ge ra ts̱edi n era gotho M’onda̱ da zipto ya nziki ḇojä ts̱o pa da njä xangu ya tsibi ḇojä tsa̱ ne xi da hogi ra za̱ ̱u da hoki ge pa xi da ts̱otse. 
Mexican_constitution 	El uso de la energía nuclear sólo podrá tener fines pacíficos. 	Ne xi da nja ra tsibi bojä ts̱o ne hens̱e da ts̱otse ne da m̱etsi ra za̱. 
Mexican_constitution 	La Nación ejerce en una zona económica exclusiva situada fuera del mar territorial y adyacente a éste, los derechos de soberanía y las jurisdicciones que determinen las leyes del Congreso. 	Ra gotho M’onda̱ nu ka ra xidi bojä hens̱e ä m̱up̱u nthi di ge r dähte gotho M’onda̱ ne ge xi thuni pa da m̱etsi ya ts̱edi ya jäi digemp̱u ha bi ts̱egi nu a̱ xa mhää ya hmända ka ra muntsi. 
Mexican_constitution 	La zona económica exclusiva se extenderá a doscientas millas náuticas, medidas a partir de la línea de base desde la cual se mide el mar territorial. 	Nukara x̱eni bojä ẖens̱e xi dar nxidi ä yoho nthebe bojä pa ge ̱u, made ä di nḏui nup̱u ha m̱ui ra ts̱egi ge xi xa nseki ne xi xa m̱ede ka ra däthe gotho M’onda̱. 
Mexican_constitution 	En aquellos casos en que esa extensión produzca superposición con las zonas económicas exclusivas de otros Estados, la delimitación de las respectivas zonas se hará en la medida en que resulte necesario, mediante acuerdo con estos Estados. 	Nu pa gen’̱u xi da ziptho ne xi da nja ya thoki nu ka ra nxidi ge di gätsi xi da mhäädi nup̱u ka ra x̱eni nxidi bojä pa gensera x̱eni hnini M’onda̱, ge da s̱eki ndä ̱u xi da xom’i ya x̱eni num̱u di gätsi da har m̱edi, ge xi da muhi ma juani ko ra x̱eni hnini M’onda̱. 
Mexican_constitution 	La capacidad para adquirir el dominio de las tierras y aguas de la Nación, se regirá por las siguientes prescripciones: 	Xi pädi da ia̱di pa dä ñ’ämbi ya hoy ne ya dehe nura gotho M’onda̱, ge xi da hoki ngu jä ya mhää nguä pa di thutsi: 
Mexican_constitution 	I. Sólo los mexicanos por nacimiento o por naturalización y las sociedades mexicanas tienen derecho para adquirir el dominio de las tierras, aguas y sus accesiones o para obtener concesiones de explotación de minas o aguas. >El Estado podrá conceder el mismo derecho a los extranjeros, siempre que convengan ante la Secretaría de Relaciones en considerarse como nacionales respecto de dichos bienes y en no invocar por lo mismo la protección de sus gobiernos por lo que se refiere a aquéllos; bajo la pena, en caso de faltar al convenio, de perder en beneficio de la Nación, los bienes que hubieren adquirido en virtud del mismo. 	I. H̱ense ya mengu M’onda̱ ̱u xa m̱ukua ne ne̱u xi xa m̱ukua ne ̱u to m̱u ka ya x̱eni hnini M’onda̱ tsa̱ne p̱etsi pa da i̱odi ra hoi, dehe, ne ne̱u te da ia̱di pa da thüni nseki da du ra dehe ya hu̱e Ra x̱eni hnini tsa̱ da üni ra m̱etsi ne nu ya zübi, num̱u xi xa ngohui konge ra ngu hä thuni ẖem’i pa da mhää yap̱u ge da gohui konge ra gotho M’onda̱ di ge ̱u ya xa mhää pa da thuni ne xi da m’otsi ra ndä nzaya nu di geny̱u; ̱u xar m̱ui, num̱u xi xa njär m̱edi m̱u hi xa muhui rangutho, ge da m̱edi ̱u te da thüni ra gotho M’onda̱. >Nu m̱u ya xa thuni nu̱u da hembi ya m̱eti. 
Mexican_constitution 	En una faja de cien kilómetros a lo largo de las fronteras y de cincuenta en las playas, por ningún motivo podrán los extranjeros adquirir el dominio directo sobre tierras y aguas. 	Nu ge xi dar ya ra n’a nthebe y̱uni di ge gotho ä ra mhää ra x̱eni nts̱egi ne yoho n’ote ne ṟetä nuka ya ñäni ra däthe, ge xi da i̱odi ya zübi ha da ia̱di da ndä p̱u njuantho di ge ka ra hoy ne dehe. 
Mexican_constitution 	El Estado de acuerdo con los intereses públicos internos y los principios de reciprocidad, podrá, a juicio de la Secretaría de Relaciones, conceder autorización a los Estados extranjeros para que adquieran, en el lugar permanente de la residencia de los Poderes Federales, la propiedad privada de bienes inmuebles necesarios para el servicio directo de sus embajadas o legaciones. 	Ra x̱eni konge ̱u xi ne pa gotho ya hnini k’äp̱u ne nu̱u xki nḏui xa mpot’i, ge xi da üni pa da nura ngu hä thuni ẖem’i pa da m’ää ka n’any’o hinni, pa da thüni dar za̱, nu hamp̱u da m̱ui zäm̱u di ge ya ndä häranzü gotho M’onda̱, ra hoy m̱etis̱e di ge ̱u mup̱u ne xi jär medi pa gotho da m̱ui pa ya jäi xi da thuni njuantho nup̱u ka ya nj̱um’i hnini ne ha xa thumbi ns̱eki. 
Mexican_constitution 	II. Las asociaciones religiosas que se constituyan en los términos del artículo 130 y su ley reglamentaria tendrán capacidad para adquirir, poseer o administrar, exclusivamente, los bienes que sean indispensables para su objeto, con los requisitos y limitaciones que establezca la ley reglamentaria; 	II. Ya munsti pa nijä nu̱u xi xa thoki nu ka ya gätsi di ge ra x̱eni n’a nthebe n’ote ma ret’ä ne ra hmända pu ha xa thoki ge xi patho da hoki pa da m̱etsi, ne da hembi ra m̱eti na da n’u, hens̱ea, nu ̱u ya m̱etsi ̱u xi xa za̱ ne xi järmedi pa ko te di thoki, konge hä di hoki ne ha di ts̱egi nu̱u xa mhää ra hmända nu̱u xa hñxp̱u; 
Mexican_constitution 	III. Las instituciones de beneficencia, pública o privada, que tengan por objeto el auxilio de los necesitados, la investigación científica, la difusión de la enseñanza, la ayuda recíproca de los asociados, o cualquier otro objeto lícito, no podrán adquirir más bienes raíces que los indispensables para su objeto, inmediata o directamente destinados a él, con sujeción a lo que determine la ley reglamentaria; 	III. Ya muntsi nguhanja ya n’u ge xi da üni, ya ngu pa gotho ne ̱u ya ngus̱e, nu̱u p̱etsi te hoki ko to fatsi di ge ̱u te ne, honi ra nfädi p̱oni thändi, ra nthüdi mhää ra nxa̱di, ra nfotsi konge ya muntsi ne ma ra ya te thoki nho, ne hingi za̱ da iadi ya m̱etsi ̱u mup̱u ne xi jar m̱edi pa dan’u, nitho ne njuantho ne n’any’o di ge ä, ne ha da p´oti te da mhää nu ra hmända ̱u xa thokp̱u; 
Mexican_constitution 	IV. Las sociedades mercantiles por acciones podrán ser propietarias de terrenos rústicos pero únicamente en la extensión que sea necesaria para el cumplimiento de su objeto. 	IV Ya muntsi mpo tsa̱ da hoki pa da ñ’embi ya m̱et’i ya hoy fontho pa ge hens̱e n’arṯui ̱u xi härm̱edi pa da tsa̱ ẕotse ̱u te hoki. 
Mexican_constitution 	En ningún caso las sociedades de esta clase podrán tener en propiedad tierras dedicadas a actividades agrícolas, ganaderas o forestales en mayor extensión que la respectiva equivalente a veinticinco veces los límites señalados en la fracción XV de este artículo. 	Ni xi n’a ̱u ya muntsi ngu jaya tsa̱ da hembi ra metis̱ea nu ̱u xi hoki ya m̱efi ka m’athä, nu ya züe. 
Mexican_constitution 	La ley reglamentaria regulará la estructura de capital y el número mínimo de socios de estas sociedades, a efecto de que las tierras propiedad de la sociedad no excedan en relación con cada socio los límites de la pequeña propiedad. 	Ne ne̱u p̱etsi xi xa nx̱edi ya hoy ̱u ne ge ̱u xi p̱etsi xa n’ote ma ra ya ts̱egi nu ä üdi ra heke XV di gen’ä ra x̱eni. 
Mexican_constitution 	En este caso, toda propiedad accionaria individual, correspondiente a terrenos rústicos, será acumulable para efectos de cómputo. >Asimismo, la ley señalará las condiciones para la participación extranjera en dichas sociedades. 	Ra hmända xa hoki pa da hogi ra n’u ne ko te di hoki ne tengu ya cẖutho di ge ̱u di munsti ẖu di gehia ya ha̱i hnini, pa di hogi ya ha̱i ne da ñ’embi ya m̱eti pa gotho ya hnini ge hinda thogi ra ngu nu ̱u ya thoki p̱u ha ts̱egi nu ra cẖulo ha̱i, nuna hanja, gotho ya ha̱i ge hi ya m̱etis̱e n’a ya jäi, ge ya m̱eti nu ya ha̱i ̱u xa xorga, ge da thuni pa ha da hoki pa da m̱ui ya ḇojä nt’ot’i, ge xa mhää da njap̱u ya juat’i ya zübi nu ka ya hnini. 
Mexican_constitution 	La propia ley establecerá los medios de registro y control necesarios para el cumplimiento de lo dispuesto por esta fracción; 	Ra hmända s̱e xa hñutsi ya hanja pa di y̱ut’i ne di n’u ̱u jär m’̱edi pa da i̱ot’en una xa thoki di ge ra hekena. 
Mexican_constitution 	V. Los bancos debidamente autorizados, conforme a las leyes de instituciones de crédito, podrán tener capitales impuestos, sobre propiedades urbanas y rústicas de acuerdo con las prescripciones de dichas leyes, pero no podrán tener en propiedad o en administración más bienes raíces que los enteramente necesarios para su objeto directo. 	V. Nu ya ngukuati bojä nu ̱u xi xa thumbi ns̱eki, konge ya hmända nu ka ra muntsi pa da hmipi ra bojä; ne xi da m̱etsi ra ya bojä xi di m̱up̱u di ge ̱u ya m̱etis̱ea ka ya hnini M’onda̱ ne ka ya hninitho ne nu pa da hñuts’i ya ntüdi y̱uti di ge ra hmända, ge hinda za̱ da m̱etsi ra ha̱i ne ma ra ya ngu jä ya ẖem’i nts̱utbi ya nḏunza pa xi da bädi ̱u to jär m̱edi pa di bähdi manjuantho.< 
Mexican_constitution 	VI. Los estados y el Distrito Federal, lo mismo que los municipios de toda la República, tendrán plena capacidad para adquirir y poseer todos los bienes raíces necesarios para los servicios públicos. 	VI. Ya x̱eni hnini ne ra tsa̱i M’onda̱, ne ko ya tahnini gotho ka ra hnini M’onda̱, ge xi da m̱etsi da bädi ha da jäpi pa di ia̱di ne pa da ñ’̱embi ya m̱eti gotho ya m̱etsi nu ̱u m̱up̱u ya nḏunza jar m̱edi pa di nuẖu gothoẖu. 
Mexican_constitution 	Las leyes de la Federación y de los Estados en sus respectivas jurisdicciones, determinarán los casos en que sea de utilidad pública la ocupación de la propiedad privada, y de acuerdo con dichas leyes la autoridad administrativa hará la declaración correspondiente. 	Ya hmända gotho M’onda̱ ne ya x̱eni hnini ne nu ka ya ts̱egi, ge xi da da nu pa di gätsi da nu pa ha da hoki pa gotho ̱u di m̱efi nu ka ya m̱etis̱ea, ngu jä ä mhää ya hmända ne ra nzaya ngu kuati h’̱emi da mambi ̱u ̱embina. 
Mexican_constitution 	El precio que se fijará como indemnización a la cosa expropiada, se basará en la cantidad que como valor fiscal de ella figure en las oficinas catastrales o recaudadoras, ya sea que este valor haya sido manifestado por el propietario o simplemente aceptado por él de un modo tácito por haber pagado sus contribuciones con esta base. 	Da nu tengu na ha da nja di güt’i nu ya nhioya pa da n’u xi da thandi tengu da thüni ne ta ts̱otse nuna ka ra ngu nda mḇoẖo, ha da njüt’i ne da n’u tengu x̱o da thüni ra madi ya pa̱u di ge ä da hiandi ka ra ngu ne da mhää gotho nu ra ha da jäpi ä ra määdi da njüt’i ̱u ya ts̱edi ne ya n’u kongehia ya mhää. 
Mexican_constitution 	El exceso de valor o el demérito que haya tenido la propiedad particular por las mejoras o deterioros ocurridos con posterioridad a la fecha de la asignación del valor fiscal, será lo único que deberá quedar sujeto a juicio pericial y a resolución judicial. >Esto mismo se observará cuando se trate de objetos cuyo valor no esté fijado en las oficinas rentísticas. 	Num̱u da thogi ra pa ä xa mbeni na xa zifi ra mädi jäi, ge hens̱e ä da embi da gohi pa da n’u ra ts̱utbi ne di gätsi da n’u ha di hogi ne di hoki ra za̱ ya ts̱utbi, nuya ge xi da thandi num̱u hi xa thoki ra ts̱otse kon ge ra ts̱edi a hi xa thändi ka ra ngu muntsi nda nfädi. 
