ShaShiYaYi 	¿Por qué sigue el sufrimiento en nuestro pueblo?	¿Paita abisatsine anampiki eirorika atijayetajitsi?
ShaShiYaYi 	Si te enseñas a sembrar el maíz, te puedes convertir en un palo legítimo exigimos que tengas colmillos y que tengas muchos hijos	Aririka apankite shinki eiro aashibaitaro kariperori inchapanki otimatye aye kachompitoki, otimantyari osheki oshinkine
ShaShiYaYi 	Sobre la mesa de mi paisano todas las cosas que se ven en el agua son: pescado, carachama, pescado, champiñones, y hay muchas que viven en el agua.	Iyenkishirianeki ashaninka, maroni timayetatsiri nijaki kempe: shima, jetari, iyotsi, shempiri, aisati pashinipe sabikimoyetirori timatsi ashitariri
ShaShiYaYi 	Los pájaros papagayos	Piratsipaye irianiyetatsiri
ShaShiYaYi 	También se pintan los ojos de mi mamá para que no venga	Aisati ipotsojeitaro ana iboroki okisatanteari eiro ikenkibatantatsi
ShaShiYaYi 	Perdónanos el poder de los jefes de los sacerdotes, después del orden del día	Piñanatero jaoka okanta obetsikakota betsikakotantsi impoiji paita isankenaitiri
ShaShiYaYi 	Hay otros que podriamos atraparnos	Timatsi pashini tsika ankantero apatotero obanarontsipaye
ShaShiYaYi 	Mi abuelo y mi abuela se preguntarán qué es lo que más te ayuda y quiénes son	Ajatashiteri charine aisati isha asampiteri paita kametsayetatsiri apankiyete aisati janika otsipayetari pankirentsipe
ShaShiYaYi 	¿Cuál es el origen de la obra de los ancianos?	¿Jaoka ikarati atiri yapatotanaka jajeitatsiri yamitakotiri?
ShaShiYaYi 	¿Qué implica el ser humano?	¿Paita okobantari ayotajero arokaite?
ShaShiYaYi 	En este caso y por diferentes motivos, la política y estrategia nacional de los Ashaninkas tiene lugar en la actualidad	Iroka antabaerentsiki ayotakeri okanta kantashiyetachari antayetiri ampitatiri obetsikayetiri anampi Ashaninka ejati antiri iroñaka
ShaShiYaYi 	Las preguntas: más bien, las propuestas de los planes de proyectos de entidades de fiscalización son correctas y oportunas para responder a las preguntas de la autoridad judicial: y, por ende, se ajustan a lo establecido en el origen	Obabiroñantsi: Irointi ñantsipe obabiyetirori kenkishiriantsi sankenarentsiki akematsatantyarori kametsa añabetiri impoiji asankenatiri kemetachari: aisati, impoiji, irokancha, opoña, impoña
ShaShiYaYi 	Las semillas que se siembran en el monte	Okoatya aye oitsoki ari apankiterori antamiki
ShaShiYaYi 	Artículo 6o. Reglamentación y uso de la infraestructura hidráulica; ¿cuál es la capacidad de recuperación para usarla?	yotaneri 6 yotaneri Sampitantsi iramitakotantyari Sampitantsi iramitakotantyari ¿Jaoka ankantyari abentyari?
ShaShiYaYi 	La capacidad de reventar no se puede revertir ni transformar.	Ontimatiye aipitsokanateri eiro itantatsi aisati ipirijakitanake
ShaShiYaYi 	la carachama que vive en Listra y en Iconio es su lengua nativa,	jeto jetari Piñanatero ñantsipe aisati poematsaparipe impoiji pichakopiatero oshaninkatari
ShaShiYaYi 	Junto al agua, junto al cerro, hay un gran abismo entre los seres vivos y los muertos, así como entre los seres vivos y los pequeños.	Maroni nijapeki, inkajarepeki, sabikatsiri aipatsiteki te onkametsajayetaje kantayetakarori osheki kajarape ijokayetiri atiri aisati ojokayetiri antaroitepe nampitsi nija kari kametsajatatsi
ShaShiYaYi 	No va a llevar a una mujer para sembrar	Eiro ojatitsi tsinane arika apankiyete
ShaShiYaYi 	Las hojas de la tierra son buenas para hacer la tierra	Jantayetiri okantya okametsatantyari kametsa kipatsi
ShaShiYaYi 	Si no lo puedes sanar, ahí te sacará loro, lo que no ves	Erorika akamitiri, ari itsañanakiaro, ero oinijetsi
ShaShiYaYi 	los cuales fijarán los ojos en las cosas que se ven, y los oídos en las cosas que se tocan.	Aparope apatorentsi, iramenakoyete paita shimatantsi irantajeiteri Itsirekayete paperisante impoiji ibetsikayete jaoka ojayeteri maroni irantayeteri kempetachari isankenayeteri aisati ishiyakantayetero okantayetari shimatantsi aisati paita yashiyetirori
ShaShiYaYi 	Yo lo sigo a mi papá comprando una cushma y allí se va a convertir.	Naka noijatakeri apa yamananti kitsarentsi, sabiri jero irima itsametantyari
ShaShiYaYi 	El abuelo acompañó a su amigo y al criminal al saber que durmió más tarde, en la noche	Akenkitsajeite atsipayetyari atsipamintsare aisati obamentinkari ayotantyari iro onkitaitajeri aisati iro otsitenitaje
ShaShiYaYi 	¿Ha venido cerca a su pueblo Chompi chozas y gallinas?	¿Osheki pokapaintsi inampiki Chompi choripaye jeri pashinisati?
ShaShiYaYi 	y a éstos los echaron fuera de la viña y los mataron.	Yapatoyeti timimotiriri iramenantyarori: maroni, aparope, tekatsi irosati inkamantantyari jaoka ikantakerori
ShaShiYaYi 	Al día siguiente, el día 22 de septiembre, muy cerca de las 2:30 de la madrugada, en las que viven en Shabaya se consiguió a una mujer llamada Koñabe Shimpoki y a un hombre llamado Pirishiko Montyo que robó las yucas de Marishaari.	Iro okitaitimatake kitaiteri 22 kashiriki setiembre iro iberabetaka oria 2:30 okitaitetantyari, ashaninkape saikatsiri Shabayaki yairikajeitake aparoni tsinane paitachari Koñabe Shimpoki jeri aparoni shirampari paitachari Pirishiko Montyo ikoshijeiti kaniri irobaneki Marishaari
ShaShiYaYi 	Para seleccionar los mejores tratamientos para el dolor de estómago, se multiplicó y dejó humiros	Okisosanotantyari ibanko yaashitiro iroperori otinkami, omerepanki impoiji antaikiro kompiroshi
ShaShiYaYi 	Anaa Osoki en el monte, los árboles grandes, los cenizas así como los frutos de su canasta, tiene los mismos huecos que los bigotes, les ajusta demasiado bien con las manos para coger, en cambio, cuando lloran las cámaras de luz, se va para llegar donde está el hueco.	Anaa Oshioki antamiki, antaro inchato, samampo okanta obotsori obato, timatsi okitso (oitsoki) oshiyaro panashinte, kantimaitacha omatsirianintati kapicheeni aririka airikite, iroma aririka irakake okamaratati otake, otsopiriayetanaki parianake osabiki
ShaShiYaYi 	Ellos le dieron de comer a la niña, y la sacaron del pozo.	Yamijeitaro, ikiyakoyetiro obanarontsipaye, ikiyantaro inchakiityonki
ShaShiYaYi 	Este animal representa a un tigre	Yoka yatiribeitani perani
ShaShiYaYi 	El ratón grande grande es el fin para que los pescadores de los peces	Pishiyakantero impoiji pobayetero obajiro maroni itimakoyetiri ashaninka ishimatantyari
ShaShiYaYi 	Sabes ¿Qué clase de operación es lo que se vende cuando sale otra jerga?	Piyotero ¿Tsika okarati apatotanaka maroni, arika intetapajimi pashini jebarontsi piyantsirikika?
ShaShiYaYi 	El hilador, explícale y extiéndelo	Pobetsatantabakia ompoña poinijantero pisampibenteri
ShaShiYaYi 	Los choferes viven bien, porque les gusta caminar	Pikanteri isaikajeite kametsa ikemetyaro shonkari ikemajeitantyari
ShaShiYaYi 	Son actividades exclusivas del Título Cuarto de Gestión de los Recursos Hídricos las que se rigen por su Reglamento	kisamonkoiñaki Tikakotirori inkiteshibate paampati Ibashitantaro ibaeriki antiritakoteri pinitsi
ShaShiYaYi 	Yo soy la voz de la sal.	Namenaperotero ikantakota yamitakotabakajeita kametsa
ShaShiYaYi 	Me atravesó la canasta para amarrar	Pamanantena kantiri nonkijabeteri
ShaShiYaYi 	Los miembros de la Junta de Gobierno y los integrantes de la Junta de Gobierno	Pobametsatajero pantakeri pintsipatyari pitsipamintsare ejati obametaimiri
ShaShiYaYi 	viola violadores de derechos humanos	Pichakopiatero ñantsi oshaninkatari
ShaShiYaYi 	Escríbelo bien y haz que lo huela bien.	Pisankanatero kametsa pikematsatabakeri ñanarentsiki piñanatakeri
ShaShiYaYi 	Para la preparación de la carachama, el pato silvestre no se parece a un bejuco, solamente color negro, negro sobre la roca y el barro, sobre los tubérculos de mayo, de semillas de achiote.	Abetsikantyarori potsoripe kemperi kiteriniro ontimatiye ayero otaki pochotaroki, kisari otaki ketaki jeri pitsitsari, kiteriri obatsa mayonkona, kityonkaniro oitsoki potsoti
ShaShiYaYi 	Para levantar las hojas, los Autogobiernos para alumbrar el camino, hacer un súbdito „matico‟ que mide, mide el „matico‟ que mide, viene el día hilado en los minutes que tiene cada grupo.	Aantyarori oshipee (tsipanapaye), ontimatye añaanashiritero asankaniki, akantero amitakotaita, ojokiroota kariperori ojokitakakairi (mantsiyatakakairi), impoña ajeriayetakero antsikiroini okarati akobayetiri
ShaShiYaYi 	Lo fotografiaron con una flecha, en fin, con un pescado picado, o lo pican un pescado negro.	Pitsonkakerika pimpitasate, pishintsayeri maroni shima pipitasatakeri terika aneroji pitsarate pintetantyariri
ShaShiYaYi 	“Hay un árbol grande y grande que uno picó.”	Tsame amenakoyetabakeri
ShaShiYaYi 	Repitió su yuca.	Okijajiro oyanire
ShaShiYaYi 	¿Qué hacen en la casa de campo?	¿Paita pomerentsitantsi abisayetatsiri yotantispankoki?
ShaShiYaYi 	¿Tienes problemas en el tejido amazónico?	¿Pipinkatsatabakaka pikemisantantakariri yotinkari?
ShaShiYaYi 	Cuando ya terminó, se convirtió en mariposa y dijo, allí voy a cambiar la vida de nuestra comunidad	Itsonkakero ipokashitakeri ipiashitanaja ikantanake ari nompiaje ontimaje pomerentsitantsi
ShaShiYaYi 	El pájaro para usar	Pishiyakantero pakakantyarori
ShaShiYaYi 	120 m Irma Shirora (también conocida como Naviriri) estaba haciendo su coca, el ancho de la chimicua	m 120 m Iroma Shirora irori ojatake onkoye totiroki, pasotiki ejati pamaki
ShaShiYaYi 	Va a cambiar un año, mucho pesa, no lo vuelve a repetir, una yuca muy fuerte tres veces	Otimakoti aparo osarentsi, osheki otenati, te impimanteteroji, aparo kaniri antyaro otenati maba otenanka
ShaShiYaYi 	Las chacras de los quebrados están quebradas	Aajoshi pichainchari jero shiboya totapetokitainchari
ShaShiYaYi 	La carachupa es buena para ser buena	picharinkero kametsatatsiri
ShaShiYaYi 	carne de 10 Hijos de Jetari y de las Mujeres de Shima Jetari y de Shima Akem, en fin de cuentas, con el fin de contratar trabajadores para su amigo Shima Jefachama	ibatsa, 10 Kenkitsarentsi ipeantanakari Jetari aisati yora Shima Jetari jeri Shima Akemakotiri acharinepe, maroni shimape aneiri yatiribeitani kempeni yora Shima Jeri jetari
ShaShiYaYi 	Esto es Piojoso para curarse.	Ts je sh ka Pitsikanatyaro iroña pakero sampitantsi
ShaShiYaYi 	Esta madre es de un árbol blanco de piedra, grandes sandías es así:	Irariki Iroka irariki inchato onati, kitamaro obato, antaro santepaye okanta oshi
ShaShiYaYi 	La gente y los juanitos que viven allí	Iñampoiretiri atiri jeri iraotsijaniki piratsipe
ShaShiYaYi 	¿Quién reconoce la hierba verde y la flor?	¿Piyotiro obajiro kaniri onashiyetari?
ShaShiYaYi 	Y quién sabe quiénes son los que han presentado las propuestas?	Aisati iyotakoyetiro jaoka ikarate irisokijajeitanake
ShaShiYaYi 	Cuando van de casa en casa, hablan de cosas que no debieran ver, ni de las que no debieran pasar.	Arika opirijatanake kipatsipetoki, ikajemajeitiri maroni atiri iramitakoteri, ikijajeitiro tsiteniriki, ikantajeiti tsiteniriki te ontenasanoteji
ShaShiYaYi 	Construyo nuestros aparatos de construcción de chimicuas, frijoles y peines	Nobetsikantyari tsakamentotsi nayetiro obatope pamaki, matsiki, kachompitoki jero pashiki
ShaShiYaYi 	Estaba tan feliz que ella comenzó a dormirse sin que le despertara el ojo del sudor, entonces empezó a despertar la yuca.	Antyaroite okimoshiretake irori ari opionkabakotake te amenasanoteroji ito omani ari opesakero nairotsa ¡tsatik!
ShaShiYaYi 	Se aburrieron los paisanos cuando luchaban contra las hierbas,	Yaamabentakotakaro ashaninkapaye irobane itimashitantyariri koshitapinitatsiri
ShaShiYaYi 	El agua que entra en la comunidad se encuentra en los ríos	Chora nijateni poneakotatsiri Shipotoniki irosati osokijakota nijateni kempirija
ShaShiYaYi 	El abuelo abuelo paterno y el niño	Piñanajeitero iñabentiri charine impoiji jananeki
ShaShiYaYi 	Artículo 41 Reconocimiento que contiene las hojas para construir una casa (conservando y bebiendo 12, adolescentes) del profesor Amigos, niños, parte o parte de yarina para construir la casa.	Nobajiro 41 Ayotero jaoka okarayeti oshipe11 antantyari pankotsi (antyaro12, orijaniki) Antayeteri obametantatsiri Akenkitsatakayeri jananeki ajate ameneri apa atsiri kompiroshi ibetsikantyari ibanko
ShaShiYaYi 	Antes, mis paisanos no cantaban mucho en las ceremonias de purificación, las ceremonias de purificación, las ceremonias de purificación de los árboles, las funciones de los partidos, las funciones de las personas a quienes se consagra la cebada.	Pairani (peerani) te inchekanitero ashaninka tairi, osheki itikaakoyetaro aririka intobayitero (inchakiyitero) inchato, ipinkatsayetiro, tempakia irootake atiri kamantayetiriri itiyapajiarika shibari
ShaShiYaYi 	La chupadora anda por allí.	Yamitakotabakajeita añinkaripe
ShaShiYaYi 	Miren! La ciudad está asentada sobre la hierba verde.	Irokantacha, aparopaye nampitsi obetsikayeti pishimentotsi ejati jebarontsi
ShaShiYaYi 	El Buen Joven volvió corriendo	Katyokantsi aisati ishiyaro akiparentsi
ShaShiYaYi 	Entonces, ¿qué hará el pueblo de Israel?	¿Paita yantajeitiri meka eiro itashanenta pinampiki?
ShaShiYaYi 	La mujer llamada por eso recoje las hojas de calabaza y las recoge cuando termina de terminar su hoja de algodón.	Ikantiro etakantarori yobamairi sankori Sankori osheki yobaro oshi pankirentsipaye aririka intsonkakero iroyaro oshi ari ibamakero
ShaShiYaYi 	Por qué causa lo hicieron?	¿Paitakea yantajeitantarori?
ShaShiYaYi 	Hay suficientes aves rapaces y aves marinas para sembrar y hervir	Timatsi piratsipe aisati tsimeripe kamantayetairi iro onkitaitaje aisati ari otampatikatapaje jero oshabijitanajerika
ShaShiYaYi 	Sepulcro abierto es el que vive en la tierra, y una mujer que vive en el mar.	Iyojeitake yora ashaninka sabikajeitatsiri, irointi tsinaneniro nijasato okajemiri onintane Irosati okanta meka
ShaShiYaYi 	"Vete, no eres ashaninka, sino idólatra; porque si una mujer mujer se deshace de su manto, y si un hombre viene de otro lugar de la tierra, no eres amigo de ella,	Pinashita, te pishaninkatenaji, onashita pimeshina, abiro tsinane, onashita pineane, onashita pikemisantiri, piponeaka pashiniki kipatsi, te pashitaarantea, te pimpinkatsateji
ShaShiYaYi 	¿Cuál es el volumen de captación del templo que está allí dentro?	¿Jaoka okarati yantayetiri ashaninka konijataintsiri shiyakantsiki?
ShaShiYaYi 	La flecha está en su mano: "La carachama es un hombre maduro."	Ñanarentsi okanti:"Chakopi irotake ikobintsatantari shirampari"
ShaShiYaYi 	[Supongo] no era de estatura, me dejó su nieto Nemiyashi ovina	ichekopite te imonkarayariji 2 Meka yobetsikakero iriyori Nemiyashi ora pankenatantsi
ShaShiYaYi 	¿Por qué se taparon las plantas?	¿Paita ipashikantarori inchashiki kaniyati?
ShaShiYaYi 	Si se va, la aprobación de aquel que está borracho en la chacra será destituida.	Aririka ijatanaje, eiro añaabajero shinkiperori obaantsiki, ari ompeanajea
ShaShiYaYi 	¿Cómo inventan los aves los pájaros?	¿Tsika akantajerika intimantajeari piratsipaye ejati tsimeri?
ShaShiYaYi 	Con un palo para construir nuestra casa	( ) Ibatikaiti inchapanki abetsikantyari pankoshintsi
ShaShiYaYi 	DISPOSICIÓN FINAL	Ajibateri: ayotakotero okaratiri oberayeta aipatsite anampiki
ShaShiYaYi 	Ya te iba a alegrar saber que era la finca	Iroñaka kimoshiretakemi piyotakiro maroni
ShaShiYaYi 	Mira el Santuario y así quedará limpio.	Pamenasanotero1 shiyakantsi impoiji pikenkitsatakojeitero
ShaShiYaYi 	Vayamos, pues, a las tumbas conmemorativas de nuestro Señor Jesucristo, y no llamemos a la muerte a su hermano.	Tsame ajajeite añakitero isha terika charine irobametenaro inchashipe, ibenki ankateriri entsi eiro imantsiyatanta
ShaShiYaYi 	¿Cuál es la canasta de captación que tiene el lomo dentro del paladar?	¿Jaoka okarati kantiri saikanajatsiri obankoki Antarosha?
ShaShiYaYi 	Cuando vio a Abireri sentado en su camioneta, la llamó y le dijo: “ Mírala, no sea que venga acá acá”, y se escapó:	Iñabakerira Abireri imananaka, ikajemakotabakeri ikantiri: "Jaoka pijateri eiro pipiyashitaja", irosati ipeantanakari Tyonkitsiki
ShaShiYaYi 	Y hay otros que son parecidos a los granos de mostaza, y otros que son como la cizaña y el junco.	Timatsi pashini ayetiri kempetachari chochoki, shitobi, tsorero, oshero, sanipanki, pitsi aisati aabintayetyari asabikantyari kametsa
ShaShiYaYi 	El arcoiris se bajó del cuello de la jovencita.	Peyanaka iityereki tsirompitsa
ShaShiYaYi 	Lo combino este, la pongo como ejemplo para el masato.	Ikamante oshiyarorika, ipankitiro ibankibere, paita yashitirori
ShaShiYaYi 	No os dejéis engañar ni os dejéis engañar: " ¿Qué clase de proyectos tienen ustedes que ver con nosotros? ¿Qué clase de proyectos tienen que ver con nosotros?"	Eiro pipeakotatsi abinti apaniroini tekatsi pashini inkempetempi, timatsi osheki piyotane Okantakojeiti sankenarentsika aisati akakojeite marojeini asaikajeitika irointi aipatsite ijokanakeri acharineiteni isaikitani perani
ShaShiYaYi 	La Naturaleza de los animales salvajes registra registraciones necesarias para cada uso	Okantayeta inchatomashipe Maroni inchatomashipe otimakoyeti okantari obetsikayeti obanarope onkebiantyari
ShaShiYaYi 	¿Por qué otros no conocen?	¿Paita ikantantari pashinipaye te onkametsate?
ShaShiYaYi 	Voy a contar, cómo es la vida de mis paisanos también.	Nonkenkitsatakotero tsika nokantabaita timatsi osheki kametsatakanari ejati ari okantari noshaninkapaye
ShaShiYaYi 	Paujil y paujil lo encontraron, lo persiguieron y lo colgaron	Itimanake aisati tsamiri, opempe, shonkiri jeri sankati
ShaShiYaYi 	Vamos a quemar a mi abuelo, para fortalecer el poder de un fuego, como dicen los paisanos	Ankoakoteri charinepe, irobameyete iyoyetiri ikantani perani ashaninka
ShaShiYaYi 	¿Qué es mejor para mi paisano para seleccionar?	¿Paita kari inebeperota ashaninka yantantyari ibanko?
ShaShiYaYi 	a) ¿Dónde está la fuente de captación, donde se encuentran los peces?	a) ¿Jaoka ikarati mereto yapatotanaka apiteki ishintsare?
ShaShiYaYi 	– Realizar reverendos y estudios en el nivel central del país ¡Aquí se reconoce la ciudadanía!	Sampitantsi Antayetero ainijantyarori ayotakeri ¡Aka ayotiro abetsikayeti!
ShaShiYaYi 	CUARTA DE LOS ÓRGANOS ÚNICOS	YOTANTS Obariperotirori abankibere Namenero shiyakantsi
ShaShiYaYi 	Dónde está él? ¿Dónde está él?	¿Timatsi bajirontsipe?Pisankenatero
ShaShiYaYi 	[Dijeron:] “Ahora mi nieto tiene un nido en el nido de mi cuñado	Tsametantsi: Otsameti nosaro anta irobaneki ani
ShaShiYaYi 	El uso que hacemos de nuestros campos delante y delante	Nobametsatajero nantabere nontsipatyari notsipamintsari aisati obametanari
ShaShiYaYi 	Cuando el perro se fue corriendo	Ikanta sankori shiyaja
ShaShiYaYi 	El gorgojo de las axilas ha sido comunicado por los buitres [y] aves	Ariorika añero ontyakite shimashiri okamantati batsataji piratsipe, tsimeripe
ShaShiYaYi 	Esos colores son los que vendían al dueño cuando iba al árbol, no sentían el uso del dueño.	Kempetachari ipotsota maroni iboro aririka ijate inchatoki eiro okomitantaritsi ashitarori
ShaShiYaYi 	Nadie puede tomar este honor para sí mismo, sino que es Dios quien lo protege.	Tempa atiri anajeitake, akempetabakaajeitaka
ShaShiYaYi 	¿Le he avisado a mi mamá de quién es mi amigo?	¿Nakakero isamapiyetakenari notsipamintsarepaye?
ShaShiYaYi 	– Exigimos la construcción de una finca para la compra de las fotos	Ashiyetero abetsikantyari impoiji abetsikajeitero maroni shiyakantainchari
ShaShiYaYi 	Los habitantes de la zona tienen derechos para comer y beber libremente, ya saben para recibir asistencia técnica, servicios de guardería y personal para fines de lucro.	Atiripe sabikajeitatsiri timatsi kantakobenterine añantyari, akenkishireantyari, antabetantyari, amakobentantyari maroni atiripe
ShaShiYaYi 	Mi abuelo paterno: reconoce y respeta las licencias de uso de los pueblos y promueve la utilización correcta de la tierra para su uso.	Obonkiti yotanetantsi: Iyotiro jero ikisakobentiro timayetatsiri maroni nampitsipeki aisati yoisantiro ontimapinintantyari kametsa maroni akarajeitiri kipatsiki
ShaShiYaYi 	Los animales que se crían entre los animales son capaces de distinguir entre el bien y el mal.	Antamishi irotake payetiri irantayetantyari ibanko isabikantyari kametsa te inkoityeriji kireki isabikantyari, ikoiririka irointi iramanantantayetyari inebeyetari
ShaShiYaYi 	Mi hermana se va a quedar un día más con mi papá, mi mamá y mi hermana van a ir a buscar el dinero más importante para los sacerdotes.	Osatairo chooki kapiro Aparoni kitaiteri ijatake apa, ina, iye aisati chooki yajeite kiri irobajeityari
ShaShiYaYi 	Allí estaba Aroshi, la estaba jalando su chacra, los pescadores no encontraban buen pescado, maleza para disparar.	Ari meka Aroshi, itsarianakero ibeane, irokantacha te yabiero intsarero kametsa, ñabaitiro ojatanake chakopi
ShaShiYaYi 	Tenemos que coger el papel hidráulico y otras cosas tenemos en el cerro, en los cerros y en los cerros.	Ontimatye ayoyetajero iyoyetiri etakantarori aisati timatsi pashinepe ashitakorentsi iyoyetiri pashinepe ashaninka saikatsiri pashinepeki nampitsi
ShaShiYaYi 	Los ciegos escuchó los pasos de David	Ikemajeiteri yotakosanotiriri sankiro kepiyari ipiantajeari
ShaShiYaYi 	La sandía está en lo que se ensucia bien.	Yamenakote obametinkari antayetakeri ikantimatya kametsatakeri
ShaShiYaYi 	¿Cómo lo pudo morder mucho?	¿Tsika otimiri okayakeri osheki?
ShaShiYaYi 	Y los dos se pusieron en camino; uno a cada lado y otro a cada lado.	Ibeshintsayetajeri shimape intanakeari irijani, impoi yaretempa antyari iyotantyarori maba shimape
ShaShiYaYi 	Dónde está la madre de mi hijo? “No lo sé”.	Iñanatakotero jaoka okantiriri iriniro obetsikiri eiro ishititantatsi
ShaShiYaYi 	Aquello que lo encuentra es un hombre blanco, por lo menos un hombre blanco.	Yora atsiri kapichaji aririka ishekiero irinti kari anakotatsiri
ShaShiYaYi 	¿Quién soy?	¿Ninka pankitsirori obanarontsi?
ShaShiYaYi 	El maestro de ceremonias no preparó nada para el día de hoy.	Piñanatero ñanarentsi pisankenamaintyaro Je, Te Ibetsikaitantaro shimperi kepiashi
ShaShiYaYi 	Los pantanos, los que crecen en el bosque, para seleccionar los que diseñan el buen camino, no los que lo envían.	Pankotsipe arejiyetatsiri antarosanteti ikiteititirora ibanko yobametsatirora kametsa te ijokashiyetyaro ibararope
ShaShiYaYi 	El profesor trae las hojas que usted conoce y las deja	Piñabentakotero inchashipe pishiyakante inchashi piyotiri impoiji pimpotsotero
ShaShiYaYi 	El volumen 28 de la Nación	Abiroka, abiro 28 Atsonkakerika añanati
ShaShiYaYi 	¿Sabes todas las gallinas pequeñas?	¿Piyojeitiro ikantaitiri tsimi?
ShaShiYaYi 	Ahora vamos a echarles una canasta a esa distancia, y ya basta de hablar a la gente. “ Vengan, vamos a traerles la tortilla que tenemos para comer — les dijo —.	Okantajeitake meka: Tsame anakero abankoki ontime apabakaiya oshiyabaka otenanka,tekatsi akantabakaiya panake osheki abiro panake kapichaji
ShaShiYaYi 	La vencida fue el fin de un día.	Ankatapininte maroni kitaiteri
ShaShiYaYi 	El profesor ejerce la servidumbre, cuando lo sacan	Piñanatero betsikakotantsi piyotantyarori paita okantakotiri, akakerorika pikenkishiriakari
ShaShiYaYi 	Ilumina las cushmas de la plancha para atender bien.	Piñanatero ñantsipaye opoña pisankenatero kenkishiriantsiki oñanatantyari kametsa
ShaShiYaYi 	Nuestra chacra no tiene por qué estar sola	Ayote paita ayeari eirokea okobiayetitsi obanarontsipe
ShaShiYaYi 	¿Quiénes son los que están en la ciudad?	¿Janika arejeitaintsiri nampitsiki Inchatyakimashiki?
ShaShiYaYi 	Se fueron los días de los jóvenes a preparar el masato donde está el perro y la yuca malograda y su esposo legítimo en el cerro.	Aretaka kitaiteri ora ebankaro kametsajakiro kempeni sanirijaki akishitakeri otsi kanirijaniki iroyari ojariri morintekiji jeri ojime kariperori anta otishikinta
ShaShiYaYi 	Tenemos que enseñarles con la cabeza	Ontimatye poinijayeri iñaneki
ShaShiYaYi 	algunos de los reuniones del Consejo Supremo	Aparope apatorentsi, iramenakoyete paita shimatantsi irantajeiteri
ShaShiYaYi 	En ese momento, el curandero tocó al sapito, y fue a su pueblo y preguntó al curandero: — ¿Por qué se volvió a su chacra?	Irosati yoipakantakeriri oaratanta, yaretapaka inampikinta isampitabakeri ibinkatsarite sheripiari: ¿Paita pantantariri iro piñakero meka obakempiri?
ShaShiYaYi 	Acuérdese de los errores que cometen los administradores, errores que cometen para aprovechar bien el trabajo.	Pamitakoteri ipomerentsikakerika, yamashitakerika irampiteroji kametsa irantabere
ShaShiYaYi 	Los gobiernos regionales y gobiernos locales, así como los gobiernos regionales y locales, son responsables de los gobiernos locales y de las organizaciones de ciudadanos locales.	Aririka abetsike yantetiri osarentsiki ontimatye ankanteri ashaninkape iramitakoyete tempa irita iyosanotakoyetirori abisayetatsiri inampiki irotake okametsatantari abetsikayete yotantsipankoki apatoyetantyariri maroni ashaninkape, ayotakotantyarori paita antayetachaneri osarentsiki
ShaShiYaYi 	No tarda mucho en llegar.	Te osamaniteji aretantyari
ShaShiYaYi 	¿Por qué permite la pesca con estas hierbas?	¿Paita ipetiriri shimape apitasatantyariri?
ShaShiYaYi 	El niño usurpa la uña.	Pisankenateroji ibajiro shiyakantsipe
ShaShiYaYi 	¿Qué dijo el paisano afectado?	¿Paita yoinijantiri ashaninka kitsatachari?
ShaShiYaYi 	LA DISPOSICIÓN DE LAS MADRES DE LAS MADRES DEL PARAGUARTES	Yobameyetiri atiripaye pokashiyetiriri, yoinijayetiri maroni okarati ashiyeterori iroperotantyari ampitarentsipaye
ShaShiYaYi 	¿Dónde está la paloma, a la altura del cargo?	¿Tsika ikaratika shironi imonkarantabajeariri tokiti?
ShaShiYaYi 	La casa es muy pequeña y no hay nada que comer en el cerro.	Perani osheki ipearetani ashaninka tekatsi koityeroneri pankotsipeki
ShaShiYaYi 	La trampa del pez que se llama	Asankenatero obajiro obirentsi abetsikeri paitakia
ShaShiYaYi 	Los miembros del Consejo de la Judicatura deben respetar el respeto de los derechos humanos	Pikemisantajeiteri pitsipamintsare ikenkitsatakotero pikenkishiriajeitakari
ShaShiYaYi 	Para ser cazador, debes preguntar sobre la demarcación territorial de la comarca.	ikomintsatantyari, pisampiteri picharine iyotakotirorika
ShaShiYaYi 	Le contestaron: “Para colgar tu vida, apártate del árbol, cuéntale:” ¡escucha!, ¡escucha!, cuando hagas una alerta, cuéntale ¡ese!, ¡eso!, no fue así.	Ari okantiro:"Pitsokantyarori, otimatye piposabakero opoña piñanatero pikantero:"kemariponchaki!, ¡kemariponchaki!, aririka pitinpatanakero, pikantero ¡tsiri!, ¡tsiri!, eiro okaraanta
ShaShiYaYi 	La tierra que bebe la lluvia que con frecuencia cae sobre ella y produce vegetación útil a aquellos por los cuales es cultivada, recibe en cambio una bendición de cosecha.	Kari kotsitacha, ipotsotaro ijatantyari yantabete eiro itantari katsirinkaiteri te ompotsosanotanteji
ShaShiYaYi 	La causa de la depresión de la mujer	Ibashirejeitaka ashaninkape okantakantiro ikoshiyeti ibankirepe irobaneki
ShaShiYaYi 	¿Cómo se prepara el mono?	¿Tsika ibaitiroka shimperi?
ShaShiYaYi 	Ves cómo están pedaleando la eficiencia del cronograma y lo terminas	Piñero okanta oshitobi pantantyaro monkarapontso pishiyakantero impoiji pintsonkajero
ShaShiYaYi 	Las entidades prestadoras de servicios de la comunidad	Abetsikayetiri Ashiyetirori Okantakoyetaka ashiyetirori anampiki
ShaShiYaYi 	El cerro kempiro tigre Créase el paisano por las rayas que tienes asado	otishi kempiro maniti Pobetsikero amatsairentsi pobenero otsapapaye pinebeperotari
