Mexican_constitution 	CONSTITUCIÓN POLÍTICA DE LOS ESTADOS UNIDOS MEXICANOS 	TLANEJNEUILYOTL TLEN SENTIKMASEUALMEJ 
Mexican_constitution 	IV. Se establecerán mecanismos de acceso a la información y procedimientos de revisión expeditos que se sustanciarán ante los organismos autónomos especializados e imparciales que establece esta Constitución. 	IV. Mochiuas kenijki uelis se kipias tlamachiltili uan kenijki nelkitase ken moneki tlen amo aki uelis kitsakuilis. >Ni tlen tlake ojtli motekiuis kema se tlenijki mochiuas, kichiuas ken moneki kaltlamatiltlaiximatketlanauatilpa uan katlatlaniltekitlapaleuili ka nemachili. 
Mexican_constitution 	V. Los sujetos obligados deberán preservar sus documentos en archivos administrativos actualizados y publicarán, a través de los medios electrónicos disponibles, la información completa y actualizada sobre el ejercicio de los recursos públicos y los indicadores que permitan rendir cuenta del cumplimiento de sus objetivos y de los resultados obtenidos. 	V. Tekichiuanij kipiaj ichiualis tlen kipixtose inin amauan pan tekpanechikolamatlachiuanij, uan kipanoltisej pan tliltepostlajkuilolpa tlen ken moneki tlamachiltili kayayankuiktipa tlen kenijki kichijki uan kenijki kitlaixpantiloltepaleuijkej. 
Mexican_constitution 	VI. Las leyes determinarán la manera en que los sujetos obligados deberán hacer pública la información relativa a los recursos públicos que entreguen a personas físicas o morales. 	VI. Tekichiuanij kipiaj ichiualis tlen kipixtose inin amauan pan tekpanechikolamatlachiuanij, uan kipanoltisej pan tliltepostlajkuilolpa tlen ken moneki tlamachiltili kayayankuiktipa tlen kenijki kichijki uan kenijki kitlaixpantiloltepaleuijkej. 
Mexican_constitution 	VII. La inobservancia a las disposiciones en materia de acceso a la información pública será sancionada en los términos que dispongan las leyes. 	VII. Tlanauatili kijtos kenijki tekichiuanij kipia tlamachiltisej tlaixpantilolpa tlen keski tomintlapaleuili temakakej. 
Mexican_constitution 	VIII. La Federación contará con un organismo autónomo, especializado, imparcial, colegiado, con personalidad jurídica y patrimonio propio, con plena autonomía técnica, de gestión, capacidad para decidir sobre el ejercicio de su presupuesto y determinar su organización interna, responsable de garantizar el cumplimiento del derecho de acceso a la información pública y a la protección de datos personales en posesión de los sujetos obligados en los términos que establezca la ley. 	VIII. Tlan mochiuas san kejueltsa tlaixpantilolpatlamachiltili kipia mosenkauas itlajtlakol tlen tlajtoua tlanauatili. >Ni Federación kipias se tekikalko tlan iseltij monauatis, tlan nelixmatis itekitl, tlan axkana yauis ka se tlapanka, tlan mosentilis, tlan kipias itlanautili uan nojkia iaxkatilis, ka chikauak tlanauatili tlamantinij kitekiuis, kitejtemos senkaualistli, kimatis kenijki moijtos kenijkatsa motekiuis itomin uan kenikatsa motsontlananas kalijtik, kipias tlanauatili ma mosenkauas tepanitali ma mokalakis maseualyolmelaualistli uan mokuitlauis maseuali sense yolmelaualistli tlan kipia tlanautili kej moijtoua tlanauatilpa. 
Mexican_constitution 	El organismo autónomo previsto en esta fracción, se regirá por la ley en materia de transparencia y acceso a la información pública y protección de datos personales en posesión de sujetos obligados, en los términos que establezca la ley general que emita el Congreso de la Unión para establecer las bases, principios generales y procedimientos del ejercicio de este derecho. 	Ni tekikalko iseltij monauatis tlan mosenkaua pan ni tlapanka, motsontlananas ka tlanauatilpa tlan tsalantik uan ma mokalakis maseualyolmelaualistli uan mokuitlauis maseuali sense yolmelaualistli pan iaxkatilis tlan maseualmej kipia tlanauatili, ka mosenkaua pan tlanauatili kisas pan Congreso de la Unión ma kisenkaua kampa peuas, achi ueyi peualistli uan ojtli tlen tlachiualistli pan ni tepanitali. 
Mexican_constitution 	En su funcionamiento se regirá por los principios de certeza, legalidad, independencia, imparcialidad, eficacia, objetividad, profesionalismo, transparencia y máxima publicidad. 	Pan itekitl motlanauatis ka peualistli tlan nejnelia, tlanauatilpa, iseltij monauatis, axkana yas ka se tlapanka, kuali tekitis, ka tlan nelia pano, ka miak momachtijtokej, tsalantik uan tlauelueyi ixmoyaualistli. 
Mexican_constitution 	El organismo garante tiene competencia para conocer de los asuntos relacionados con el acceso a la información pública y la protección de datos personales de cualquier autoridad, entidad, órgano u organismo que forme parte de alguno de los Poderes Ejecutivo, Legislativo y Judicial, órganos autónomos, partidos políticos, fideicomisos y fondos públicos, así como de cualquier persona física, moral o sindicatos que reciba y ejerza recursos públicos o realice actos de autoridad en el ámbito federal; con excepción de aquellos asuntos jurisdiccionales que correspondan a la Suprema Corte de Justicia de la Nación, en cuyo caso resolverá un comité integrado por tres ministros. 	Ni tekikalko tlan kichiuatekitl kipia tlanauatili ma kimatis kamanali tlan motlatskia kalakis maseualyolmelaualistli uan maseuali sense yolmelaualistli tlan ueli tlanauatiyanij, tlalatokajyotl, tekikalko kej elis tlan Poderes Ejecutivo, Legislativo uan Judicial, tekikalko tlan iseltij monuatia, maseualnechikolistli, kampa mokuitlauia tomin uan maseualtomin, ijkinoj kej tlan ueli maseuali tlen iseltij tekiti, mosentiliaj ma tekitis noso nechikoltekitianij tlan kimanelouaj maseualtomin noso kichiuas tlachiualistli tlan tlanauatia pan federal; san amo ne kamanali tlayektli tlan elij Suprema Corte de Justicia de la Nación, tlaj ijkinoj eli kisenkauas se sentilistli ka eyi tekichiuanij. 
Mexican_constitution 	También conocerá de los recursos que interpongan los particulares respecto de las resoluciones de los organismos autónomos especializados de los estados y el Distrito Federal que determinen la reserva, confidencialidad, inexistencia o negativa de la información, en los términos que establezca la ley. 	Nojkia kimatis tlan tlatetsopali tlan kitlalisej sekinoj maseualmej ka senkaualistli tlan tekikalko iseltij monauatia uan nelkimati ni pan tlaltojkayotl uan Distrito Federal kej moijtos ka tlan mokauas, motsakuas yolmelaualistli, tlaj axonka noso moijtos axonka yolmelaualistli, kej mosenkaua pan tlanautilpa. 
Mexican_constitution 	El organismo garante federal de oficio o a petición fundada del organismo garante equivalente del estado o del Distrito Federal, podrá conocer de los recursos de revisión que por su interés y trascendencia así lo ameriten. 	Ni tekikalko tlan kichiuatekitl federal tlan ipanimaj mochiuas noso pampa onka se chikauak tlajtlanilistli tlan tekikalko kichiuatekitl iuikal tlan tlaltokajyotl noso Distrito Federal, ueli kimatis tlatetsopali kej monekis pampa nelueyieli. 
Mexican_constitution 	La ley establecerá aquella información que se considere reservada o confidencial. 	Tlanauatili kisenkauas yolmelaualistli tlan moitas mokauas nosos motsakuas. 
Mexican_constitution 	Las resoluciones del organismo garante son vinculatorias, definitivas e inatacables para los sujetos obligados. 	Tlan tekikalko kichiuatekitl temakaj senkaualistli tlen motlatskia, mouejkauas uan axuelis moxitinis iuaya maseualmej kipiaj tlanauatili. 
Mexican_constitution 	El Consejero Jurídico del Gobierno podrá interponer recurso de revisión ante la Suprema Corte de Justicia de la Nación en los términos que establezca la ley, sólo en el caso que dichas resoluciones puedan poner en peligro la seguridad nacional conforme a la ley de la materia. 	Ni ajkaya kineltoka pan tlanauatili Consejero Jurídico tlen Gobierno uelis kitetsopas ma sempa kitlachilikaj tekitl ixpa Suprema Corte de Justicia de la Nación kej moijtoua pan tlanauatilpa, san kej moijtos senkaualistli uelis axkuali pampa panos se tlamantli pan Mexko kej mokajtok pan tlanautili tlen nompa kamanali. 
Mexican_constitution 	El organismo garante se integra por siete comisionados. 	Ni tekikalko tlan kichiuatekitl mokualtia ka chikome tekichiuanij. 
Mexican_constitution 	Para su nombramiento, la Cámara de Senadores, previa realización de una amplia consulta a la sociedad, a propuesta de los grupos parlamentarios, con el voto de las dos terceras partes de los miembros presentes, nombrará al comisionado que deba cubrir la vacante, siguiendo el proceso establecido en la ley. 	Ma kintlalikaj, ni Cámara tlen Senadores, ka tlajtlanilistli ka maseualmej, pampa kitlajtlania maseualnechikolis, ka uasantli tlan ome tlen eyi itlapanka tlen nompona itstokej, kijtos ajkaya tekichijketl kichiuas nompa tekitl ma onkas ajkaya kiyekanas, kej pan ojtli moijtoua pan tlanauatili. 
Mexican_constitution 	El nombramiento podrá ser objetado por el Presidente de la República en un plazo de diez días hábiles. 	Ni tekichijketl ueli amo kualikitlachilis Mexko Tlanauatijketl uajka onkas majtlaktli tonali tlen motekiti ma moijtos. 
Mexican_constitution 	Si el Presidente de la República no objetara el nombramiento dentro de dicho plazo, ocupará el cargo de comisionado la persona nombrada por el Senado de la República. 	Tlan Mexko tlanauatijktl axkana kijtos pan ni tonali, elis itekitl tlen ni tekichijketl kati kitokachtijkej ka Senado tlen Republica. 
Mexican_constitution 	En caso de que el Presidente de la República objetara el nombramiento, la Cámara de Senadores nombrará una nueva propuesta, en los términos del párrafo anterior, pero con una votación de las tres quintas partes de los miembros presentes. >Si este segundo nombramiento fuera objetado, la Cámara de Senadores, en los términos del párrafo anterior, con la votación de las tres quintas partes de los miembros presentes, designará al comisionado que ocupará la vacante. 	Tlaj Mexko Tlanauatijketl amo kuali kiitas nompa kintokachtijkej, uajka Camara tlen Senadores kichiuas se yankuik tekpantli, ka mosenkaua pan achtoui tlajkuiloli, seye ka uasantli eyi tlen makuili itlapanka tlen maseualmej nompona itstokej, Tlaj sempa axkuali kintlachilisej, ni Camara tlen Senadores, ka mosenkaua pan achtoui tlajkuiloli, ka uasantli eyi tlen makuili itlapanka maseualmej nompona itstokej, kijtos ajkaya kiyekanas ni tekitl. 
Mexican_constitution 	Los comisionados durarán en su encargo siete años y deberán cumplir con los requisitos previstos en las fracciones I, II, IV, V y VI del artículo 95 de esta Constitución, no podrán tener otro empleo, cargo o comisión, con excepción de los no remunerados en instituciones docentes, científicas o de beneficencia, sólo podrán ser removidos de su cargo en los términos del Título Cuarto de esta Constitución y serán sujetos de juicio político. 	Ni tekichiuanimej mouejkauasej pan itekitl chikuase xiuitl uan moneki kitlepanitas tlen moijtoua pan tlapanka I, II, IV, V, uan VI tlen Sentipaj tlaijtoli 95 tlen ni Amatlamoyauali, axueli kinpiasej seki itekitl, itekpa, san kej tlen axkiselia tomin pan tekikalmej kampa motlamachtiaj, motejtemouaj noso kipaleuiaj, san uelis kiolinisej ka itekitl kej moijtoua pan amatlajkuiloli Titulo Cuarto tlen ni Amatlamoyauali uan ueli kitlatsakuiltisej ka maseualnechikolis. 
Mexican_constitution 	En la conformación del organismo garante se procurará la equidad de género. 	Ka maseualmej mochiuas moneki itlapanka elis iuikal ka siuamej uan nojkia tlakamej. 
Mexican_constitution 	El comisionado presidente será designado por los propios comisionados, mediante voto secreto, por un periodo de tres años, con posibilidad de ser reelecto por un periodo igual; estará obligado a rendir un informe anual ante el Senado, en la fecha y en los términos que disponga la ley. 	Ni tekichijketl tlanauatijketl kipejpenisej nompa tekichiuanij, ka uasantli tlen axmomatis, pan eyi xiuitl itonalpa, ueli sempa kiuasanisej ka iuikal tonalpa; kipias tlanauatili ma yolmeluas ka sense xiuitl ixpa Senado, pan tonali uan kej moijtoua ka tlanauatili. 
Mexican_constitution 	El organismo garante tendrá un Consejo Consultivo, integrado por diez consejeros, que serán elegidos por el voto de las dos terceras partes de los miembros presentes de la Cámara de Senadores. >La ley determinará los procedimientos a seguir para la presentación de las propuestas por la propia Cámara. 	Ni tekikalko kichiuatekitl kipias se Consejo Consultivo, mokualtias ka majtlaktli tekichiuanij temakaj neltokalistli, kej mopejpenisej ka ome tlen eyi itlapanka tlen maseualmej nompona itstokej tlen Camara tlen Senadores, Ni tlanauatili moijtos ojtli mochiuas ka ixnestilistli tlen kijtoua ni Camara. 
Mexican_constitution 	Anualmente serán sustituidos los dos consejeros de mayor antigüedad en el cargo, salvo que fuesen propuestos y ratificados para un segundo periodo. 	Pan sense xiuitl mopatlasej tekichiuanij katli achi mouejkauajtokej pan nompa tekitl, san kej kiijtosej sempa uan mosenkauas ome itonalpa. 
Mexican_constitution 	La ley establecerá las medidas de apremio que podrá imponer el organismo garante para asegurar el cumplimiento de sus decisiones. 	Tlanauatili moijtos tlatsakuilistli noso tlen ueli kichiuas tekikalko tlen kichiuatekitl ma katemachtli mochiuas tlen moijtoua. 
Mexican_constitution 	Toda autoridad y servidor público estará obligado a coadyuvar con el organismo garante y sus integrantes para el buen desempeño de sus funciones. 	Nochi tekichiuanij uan maseualtekichiuanimej kipia tlanauatili ma kipaleuis tekikalko kichiuatekitl uan tlan kikualtia ma kuali tekitika. 
Mexican_constitution 	El organismo garante coordinará sus acciones con la entidad de fiscalización superior de la Federación, con la entidad especializada en materia de archivos y con el organismo encargado de regular la captación, procesamiento y publicación de la información estadística y geográfica, así como con los organismos garantes de los estados y el Distrito Federal, con el objeto de fortalecer la rendición de cuentas del Estado Mexicano. 	Ni tekikalko kichiuatekitl kiyekanas tlachiualistli pan tlaltokajyotl katli kitlachia fiscalización superior de la Federacion, ka tekikalko tlen kikajokuia amatinij uan ka tekikalko tlen kiselia, kitekitia uan kimoyaua yomelaualistli tlen pouali uan tlalnextili, ijkinoj kej ka tekikalko kichiuatekitl pan tlaltokajyotl uan Distrito Federal, pampa kitetoniaj ma kuali mosenkauakaj kuentaj tlen Mexko Tlaltokajyotl. 
Mexican_constitution 	B. En materia de radiodifusión y telecomunicaciones: 	B. Pan radiodifusión uan telecomunicaciones ikamanal: 
Mexican_constitution 	I. El Estado garantizará a la población su integración a la sociedad de la información y el conocimiento, mediante una política de inclusión digital universal con metas anuales y sexenales. 	I. Tlaltokajyotl temakas maseualmej monechikolis pan maseualyolmelaualistli uan tlen ixmatilistli, ka maseualkamanal pan nochi kinamikij pan nochi tlaltipak ka asitilistli pan se xiuitl uan sense chikuasej xiuitl. 
Mexican_constitution 	II. Las telecomunicaciones son servicios públicos de interés general, por lo que el Estado garantizará que sean prestados en condiciones de competencia, calidad, pluralidad, cobertura universal, interconexión, convergencia, continuidad, acceso libre y sin injerencias arbitrarias. 	II. Ni telecomunicaciones elij maseualkamanal tlen nochimej, yeka Tlaltokajyotl kitlachilis ma kuali mochiuas, kuali, miakij, asiti kampa ueli, onkas interconeccion, tlen kuali moitasej, motlatokilis, axoui mokalakisej uan axueli kitlatsakuiltisej. 
Mexican_constitution 	III. La radiodifusión es un servicio público de interés general, por lo que el Estado garantizará que sea prestado en condiciones de competencia y calidad y brinde los beneficios de la cultura a toda la población, preservando la pluralidad y la veracidad de la información, así como el fomento de los valores de la identidad nacional, contribuyendo a los fines establecidos en el artículo 3o. de esta Constitución. 	III. Ni radiodifusión elij maseualkamanal tlen nochimej, yeka Tlaltokajyotl kitlachilis ma kuali motlaneuis, kuali, uan temakas kualtiloli ka nochi maseualmej inejnemilis, mouejkauas miakij itstokej uan tipia melauak yolmelaualistli nojkia ma kimoyaua topatiixneska mopaleuis nompa Sentipaj tlaijtoli 3º tlen ni Amatlamoyauali. 
Mexican_constitution 	IV. Se prohíbe la transmisión de publicidad o propaganda presentada como información periodística o noticiosa; se establecerán las condiciones que deben regir los contenidos y la contratación de los servicios para su transmisión al público, incluidas aquellas relativas a la responsabilidad de los concesionarios respecto de la información transmitida por cuenta de terceros, sin afectar la libertad de expresión y de difusión. 	IV. Motsakua ma kisas ixnestilistli noso tlajtoli tlen kimoyauas kej yolmelaualistli tlen moneki moixmatis noso tlen panouaj; mosenkauas kamanali tlen monekis ma kisas tlajkuiloli uan amatlajkuiloli tlen kiixmatisej maseualmej, nojkia nompa tlen eli tlanauatili ajkaya kinpiaj iamatinij tlan kikauiliaj ma kimoyaua yolmelaualistli tlan ikuenta sekinoj eyi maseuali, san amo kikokolis xoxolkayotl ma kintlajtoakaj uan ma kinmoyauakaj tlajtoli. 
Mexican_constitution 	V. La ley establecerá un organismo público descentralizado con autonomía técnica, operativa, de decisión y de gestión, que tendrá por objeto proveer el servicio de radiodifusión sin fines de lucro, a efecto de asegurar el acceso al mayor número de personas en cada una de las entidades de la Federación, a contenidos que promuevan la integración nacional, la formación educativa, cultural y cívica, la igualdad entre mujeres y hombres, la difusión de información imparcial, objetiva, oportuna y veraz del acontecer nacional e internacional, y dar espacio a las obras de producción independiente, así como a la expresión de la diversidad y pluralidad de ideas y opiniones que fortalezcan la vida democrática de la sociedad. 	V. Ni tlanauatili kisenkauas se tekikalko kichiuatekitl ka kipia tlanauatili iseltij monauatis tlen tlamantinij kintekiuisej, tlen kichiuasej, tlen moijtouas uan tlan mochiuas se tlachiualistli, tlan elij ma momakas kualtiloli tlen panos tepostlatopontli uan axkitlanis tomin, pampa moneki ma motemachtis asiti achi mas ka maseualmej pan sense tlaltokajyotl tlen Federación, tlaj elij tekikayotl tlen kisentilia Mexko, tlen kitetonia tlamachtilistli, nejnemilistli uan kichiuaj kuali se maseuali, ma siuamej uan tlakamej touikal tielikaj, ixmoyauas yolmelaualistli tlen axkipatiitas san se kamanali, tlen kena pano, kema pano uan tlen melauak pan Mexko noso pan tlaktipaktli, uan nojkia ma moixmatis tlen kichiua sekinoj maseualmejtlen iseltij tekiti, nojkia tlen axtouikal uan ka miakij tiitstokej uan toijtoli nojkia miak kej kitetonis inemilis tlen nochi maseualmej. 
Mexican_constitution 	El organismo público contará con un Consejo Ciudadano con el objeto de asegurar su independencia y una política editorial imparcial y objetiva. 	Ni maseualtekikalko kipias se Consejo Ciudadano ma motemachtis axseyok kinauatis uan ma moixmatis amochtinij tlen axkipatiitas san se kamanali uan ka tlen nelia pano. 
Mexican_constitution 	Será integrado por nueve consejeros honorarios que serán elegidos mediante una amplia consulta pública por el voto de dos terceras partes de los miembros presentes de la Cámara de Senadores o, en sus recesos, de la Comisión Permanente. 	Mokualtias ka chiknaui tekichiuanij san kitlalia inintokaj kej kipejpenojka ka maseualtlajtlanilis ka uasantli ome tlen eyi tlapanka tlen maseualmej nompona itstokej Camara tlen Senadores noso kema moseuia, tlen Comision Permanate. 
Mexican_constitution 	Los consejeros desempeñarán su encargo en forma escalonada, por lo que anualmente serán sustituidos los dos de mayor antigüedad en el cargo, salvo que fuesen ratificados por el Senado para un segundo periodo. 	Tikichiuanij kichiuasej itekitl kej kauastli, yepa pan se xiuitl mopatlasej ome tlen achi tonali kipia pan ni tekitl, san kej sempa kitlajtlanisej ma mokauakaj ka Senado pan ome tonalpa. 
Mexican_constitution 	El Presidente del organismo público será designado, a propuesta del Ejecutivo Federal, con el voto de dos terceras partes de los miembros presentes de la Cámara de Senadores o, en sus recesos, de la Comisión Permanente; durará en su encargo cinco años, podrá ser designado para un nuevo periodo por una sola vez, y sólo podrá ser removido por el Senado mediante la misma mayoría. 	Tlanauatijketl tlan tekikalko kichiuatekitl kitlalis, tlan kijtos Ejecutivo Federal, ka uasantli ome tlan eyi tlapanka tlan maseualmej nompona itstokej Camara tlen Senadores noso, kema moseuia, Comision Permanente; mouejkauas pan itekitl makuili xiuitl, ueli sempa kitokachtisej ome tonalpa ka sanse uelta, uan san uelis kiolinis itekitl ni Senado kej pampa achi ijkinoj kijneki. 
Mexican_constitution 	El Presidente del organismo presentará anualmente a los Poderes Ejecutivo y Legislativo de la Unión un informe de actividades; al efecto comparecerá ante las Cámaras del Congreso en los términos que dispongan las leyes. 	Tlanauatijketl tlen tekikalko ixnestis pan sense xiuitl ka Poderes Ejecutivo uan Legislativo de la Union se yolmelaualistli tlen itekitistsi kichijtokej; ma ni moneki moixpantis pan Camaras del Congreso kej moijtoua pan tlanauatilpa. 
Mexican_constitution 	VI. La ley establecerá los derechos de los usuarios de telecomunicaciones, de las audiencias, así como los mecanismos para su protección. 	VI. Tlanauatili kisenkauas techpouilistli tlen maseualmej kitekiuiaj telecomunicaciones, tlen kikakiliaj, nojkia tlen monekis ma mokuitlauis ni. 
Mexican_constitution 	Artículo 7º. 	Chikometipaj tlaijtoli. 
Mexican_constitution 	Es inviolable la libertad de difundir opiniones, información e ideas, a través de cualquier medio. 	Tipia majkauilotl tlen tineki titlajkuilos uan tikixpanextis tlen tlaixpantilolpa moamatlajkuilol tlen katliueli tlanechtilistli. 
Mexican_constitution 	No se puede restringir este derecho por vías o medios indirectos, tales como el abuso de controles oficiales o particulares, de papel para periódicos, de frecuencias radioeléctricas o de enseres y aparatos usados en la difusión de información o por cualesquiera otros medios y tecnologías de la información y comunicación encaminados a impedir la transmisión y circulación de ideas y opiniones. 	Tlanauatili kijtos tlen moneki, ka inoj amo sanimaj ajkinejki kijtos mochijki se tlaixpanojketl pan amamoyaketlakuilolpa, mokaltsakuasej katli kichiua amatlajkilolpa, katli tlanauatiaj uan sekinok tekipanouanij tlen kampa eltok uan kiski amatlajkuiloli katli moijto, kena mochiuas tlan nelia monextis tlatlakojketl. 
Mexican_constitution 	Ninguna ley ni autoridad puede establecer la previa censura, ni coartar la libertad de difusión, que no tiene más límites que los previstos en el primer párrafo del artículo 6o. de esta Constitución. 	Yon se tlanauatili, uan tekichijketl uelis mits chiualtis, mits tlatlanis xitlaxtlaua katli tlajkuilojkej o katli teposmiakilti, yon amo uelis mits iluis amoyok xiteposamakixti, tlen yaya katli kipia mits ipanitas monemilis, motlaneneuilis uan tlen pakilistlaixpantilolpa. 
Mexican_constitution 	En ningún caso podrán secuestrarse los bienes utilizados para la difusión de información, opiniones e ideas, como instrumento del delito. 	Amo uelis mitskuilisej moteposamakixtili tlan ta amo tineki uan ka yani mits tomintlatlanise uan kijtose tichijki se tlajtlakoli. 
Mexican_constitution 	Artículo 8º. 	Chikueyitipa tlaijtoli. 
Mexican_constitution 	Los funcionarios y empleados públicos respetarán el ejercicio del derecho de petición, siempre que ésta se formule por escrito, de manera pacífica y respetuosa; pero en materia política sólo podrán hacer uso de ese derecho los ciudadanos de la República. 	Tlanauatianij uan tekipanouanij kiipanitase nochi katli akinejki kineki tlajtlanis se tlenijki, san ke moneki inoj mamochiua pan amatlajkuiloli, ka imelajka uan ka tlaipanitalotl; pan sejkotiltlaneuili uelis tlajtlanisejnochi mexkoeuanij. 
Mexican_constitution 	A toda petición deberá recaer un acuerdo escrito de la autoridad a quien se haya dirigido, la cual tiene obligación de hacerlo conocer en breve término al peticionario. 	Nochi tlajtlanilikatli asi pan imako tekichijketl; yaya kipia nimaya tlanankilis ka amatlajkuiloli katli kitlajtlanilia. 
Mexican_constitution 	Artículo 9º. 	Chiknauitipaj tlaijtoli. 
Mexican_constitution 	No se podrá coartar el derecho de asociarse o reunirse pacíficamente con cualquier objeto lícito; pero solamente los ciudadanos de la República podrán hacerlo para tomar parte en los asuntos políticos del país. 	Amo uelis aki mits iljuis amo kuali timosentilis o timonechikos pan inoj katli tichiua ken moneki ka imelajka uan ken tlajtoua tlanauatili; inoj uelis kichiuasej nochi mexkoeuanij kema onkas tlasauaniltlapejpenil. 
Mexican_constitution 	Ninguna reunión armada, tiene derecho de deliberar. 	Yonsenechikolistli ka tepostlatopontli, kipiaxitlaualis mits kamanaljuis. 
Mexican_constitution 	No se considerará ilegal, y no podrá ser disuelta una asamblea o reunión que tenga por objeto hacer una petición o presentar una protesta por algún acto, a una autoridad, si no se profieren injurias contra ésta, ni se hiciere uso de violencias o amenazas para intimidarla u obligarla a resolver en el sentido que se desee. 	Amo moijtos amo xitlauak, uan amo uelis kitlamiltisej se nechikolistli tla yajuanti se tlenijki tlajtlanij o kiixpantise inintlaneneuilis ixpa se tekichijketl, tla amo tleno tlamantliiljuili, amo mochiua tlauilanalotl uan amo kichiualtisej makichiua uan kipatiuisej ka inemilis. 
Mexican_constitution 	Artículo 10. 	Majtlaktlitipaj tlaijtoli. 
Mexican_constitution 	Los habitantes de los Estados Unidos Mexicanos tienen derecho a poseer armas en su domicilio, para su seguridad y legítima defensa, con excepción de las prohibidas por la Ley Federal y de las reservadas para el uso exclusivo del Ejército, Armada, Fuerza Aérea y Guardia Nacional. 	Nochi mexkoeuanij kipia xilaualistli kipiasej tepostlatopontli pan ininchampa, ka inoj mokuitlauis uan momanauis, san ke, amo uelis kipias uan kitekiuis katli mauiltipa o katli tlajtoua tlanauatili, uan katli kitekiuiaj tsonkotomej katli tlamokitlauia tepostotomej, uan tsonkototlamokuitlauianij tlen tomexkotlal. 
Mexican_constitution 	La ley federal determinará los casos, condiciones, requisitos y lugares en que se podrá autorizar a los habitantes la portación de armas. 	Mexkotlanauatili tlejtos tlake monekis, kenijki uan kanke uelis kinimakase tlen mexkoeuanij katli uelis kinemiltis tepostlatopontli. 
Mexican_constitution 	Artículo 11. 	Majtlaktli uan sentipaj tlaijtoli. 
Mexican_constitution 	Toda persona tiene derecho para entrar en la República, salir de ella, viajar por su territorio y mudar de residencia, sin necesidad de carta de seguridad, pasaporte, salvoconducto u otros requisitos semejantes. 	Nochi tlakamej kipiaj xitlaualistli kalakisej pan tomexkotlal, uelis kisas pan inoj, kipaxalos kampa kinekis uan uelis kipaltas ichampaeuayotl, uan amo monekis kitlajtlanisej amatlamokuitlauili, amatlapanoltili, kena uelis kitlajtlanisej se tlenijki ka moixpantis. 
Mexican_constitution 	El ejercicio de este derecho estará subordinado a las facultades de la autoridad judicial, en los casos de responsabilidad criminal o civil, y a las de la autoridad administrativa, por lo que toca a las limitaciones que impongan las leyes sobre emigración, inmigración y salubridad general de la República, o sobre extranjeros perniciosos residentes en el país. 	Ni xitlaualistli kipia eltos pan tekitinij tlen kijtos mamochiua ka xitlaualistli, kema akinejki temikti o kichijki se tlenijki ka iuikaluaj, uan amatekichiuanij kisenkauase amatlapanoltili, amatl asitilistli uan kalpajtlichikaualistli, uan katli asi analieuanij nika mochantia san ke mauililmej. 
Mexican_constitution 	En caso de persecución, por motivos de orden político, toda persona tiene derecho de solicitar asilo; por causas de carácter humanitario se recibirá refugio. >La ley regulará sus procedencias y excepciones. 	Kema akinejki temikti o kichijki se tlenijki ka iuikalua, uan amatekichiuanij kisenkauase amatlapanoltili, amatl asitilistli uan kalpajtlichikaualistli, uan katli asi analieuanij nika mochantiya san ke mauililmej. 
Mexican_constitution 	Artículo 12. 	Majtlaktli uan ometipaj tlaijtoli. 
Mexican_constitution 	En los Estados Unidos Mexicanos no se concederán títulos de nobleza, ni prerrogativas y honores hereditarios, ni se dará efecto alguno a los otorgados por cualquier otro país. 	Pan ni tomexkotlali amo motemaka amatsontitokaitl, kampa tlayakanketl tekichijketl monechikoua tlanauatili uan tlen kijtos mochiuas, tla pan tetlalpa onka nika amo tikinpanitasej. 
Mexican_constitution 	Artículo 13. 	Majtlaktli uan eyitipaj tlaijtoli. 
Mexican_constitution 	Nadie puede ser juzgado por leyes privativas ni por tribunales especiales. >Ninguna persona o corporación puede tener fuero, ni gozar más emolumentos que los que sean compensación de servicios públicos y estén fijados por la ley. 	Amo uelis ajkinejki mits kaltsakuas, yon se tekitijketl uelis tetlaijiyouiltisej yon ika tekitinij tlen san tetlajtlakoltise. >Yon se tekichijketl uelis moueyichiuas uan kisenkauas tlan amo tlajtoua pan tlanauatili. 
Mexican_constitution 	Subsiste el fuero de guerra para los delitos y faltas contra la disciplina militar; pero los tribunales militares en ningún caso y por ningún motivo podrán extender su jurisdicción sobre personas que no pertenezcan al Ejército. 	Pan tsonkotokalmej kena onka tlanauatili ka kisenkauase tla akinejki se tsonkoto mopolos o se tlenijki kichijki, san inoj nechikoltekichiuanij amo uelis kichiuas kampa amo kimelaua itlanauatil, amo uelis tlateljuis se maseuali katli amo ya tsonkoto. 
Mexican_constitution 	Cuando en un delito o falta del orden militar estuviese complicado un paisano, conocerá del caso la autoridad civil que corresponda. 	Tla se tsonkoto kichijki se tlaixpanoli o tlajtlakoli uan kiasik se maseuali, uajka kiiximatis seyok tekichijketl katli kimelaua. 
Mexican_constitution 	Artículo 14. 	Majtlaktli uan nauitipaj tlaijtoli. 
Mexican_constitution 	A ninguna ley se dará efecto retroactivo en perjuicio de persona alguna. 	Tla eltok se yankuik tlanauatili uan katli eltoya mits tlanauia, uajka kisenkauasej ka yankuis tlanauatili. 
